date,browser,visits
2015-09-18,Chrome,6538335
2015-09-18,Internet Explorer,4269072
2015-09-18,Safari,3116354
2015-09-18,Firefox,1660814
2015-09-18,Android Browser,369294
2015-09-18,Edge,200528
2015-09-18,Safari (in-app),197321
2015-09-18,Opera Mini,78959
2015-09-18,Amazon Silk,51137
2015-09-18,Opera,46571
2015-09-18,UC Browser,30716
2015-09-18,BlackBerry,20374
2015-09-18,IE with Chrome Frame,6305
2015-09-18,Maxthon,4286
2015-09-18,YaBrowser,3890
2015-09-18,Coc Coc,2799
2015-09-18,Mozilla Compatible Agent,2146
2015-09-18,SeaMonkey,2063
2015-09-18,Nokia Browser,1555
2015-09-18,Mzla50,1088
2015-09-19,Chrome,4181251
2015-09-19,Safari,2600605
2015-09-19,Internet Explorer,1411638
2015-09-19,Firefox,973442
2015-09-19,Android Browser,324827
2015-09-19,Edge,160100
2015-09-19,Safari (in-app),145590
2015-09-19,Opera Mini,73925
2015-09-19,Amazon Silk,47761
2015-09-19,Opera,39121
2015-09-19,UC Browser,29654
2015-09-19,BlackBerry,18239
2015-09-19,Maxthon,3586
2015-09-19,YaBrowser,3411
2015-09-19,Coc Coc,2500
2015-09-19,IE with Chrome Frame,2377
2015-09-19,SeaMonkey,1616
2015-09-19,Nokia Browser,1483
2015-09-19,Mozilla Compatible Agent,1379
2015-09-19,Mzla50,1270
2015-09-20,Chrome,4622519
2015-09-20,Safari,2806450
2015-09-20,Internet Explorer,1453236
2015-09-20,Firefox,1045505
2015-09-20,Android Browser,329782
2015-09-20,Edge,182993
2015-09-20,Safari (in-app),134298
2015-09-20,Opera Mini,81903
2015-09-20,Amazon Silk,50817
2015-09-20,Opera,41683
2015-09-20,UC Browser,31663
2015-09-20,BlackBerry,18788
2015-09-20,Maxthon,3907
2015-09-20,YaBrowser,3457
2015-09-20,Coc Coc,2937
2015-09-20,IE with Chrome Frame,1850
2015-09-20,SeaMonkey,1690
2015-09-20,Mozilla Compatible Agent,1618
2015-09-20,Nokia Browser,1417
2015-09-20,Mzla50,1208
2015-09-21,Chrome,8069761
2015-09-21,Internet Explorer,5110463
2015-09-21,Safari,3542400
2015-09-21,Firefox,1988872
2015-09-21,Android Browser,397533
2015-09-21,Edge,250803
2015-09-21,Safari (in-app),162268
2015-09-21,Opera Mini,88952
2015-09-21,Opera,54552
2015-09-21,Amazon Silk,51197
2015-09-21,UC Browser,32661
