date,os,visits
2015-09-18,(not set),46302
2015-09-18,Android,2407304
2015-09-18,BlackBerry,23628
2015-09-18,Chrome OS,165291
2015-09-18,Linux,121758
2015-09-18,Macintosh,1347259
2015-09-18,Nokia,1794
2015-09-18,Samsung,1326
2015-09-18,Windows,9753869
2015-09-18,Windows Phone,74936
2015-09-18,iOS,2662893
2015-09-19,(not set),43771
2015-09-19,Android,2079282
2015-09-19,BlackBerry,21077
2015-09-19,Chrome OS,48825
2015-09-19,Linux,83463
2015-09-19,Macintosh,947166
2015-09-19,Nokia,1651
2015-09-19,Samsung,1247
2015-09-19,Windows,4462731
2015-09-19,Windows Phone,64515
2015-09-19,iOS,2272240
2015-09-20,(not set),48719
2015-09-20,Android,2104892
2015-09-20,BlackBerry,22291
2015-09-20,Chrome OS,63989
2015-09-20,Linux,82733
2015-09-20,Macintosh,1179695
2015-09-20,Nokia,1893
2015-09-20,Samsung,1370
2015-09-20,Windows,4901355
2015-09-20,Windows Phone,65609
2015-09-20,iOS,2347340
2015-09-21,(not set),49975
2015-09-21,Android,2612090
2015-09-21,BlackBerry,26381
2015-09-21,Chrome OS,188539
2015-09-21,Linux,127353
2015-09-21,Macintosh,1753304
2015-09-21,Nokia,1999
2015-09-21,Samsung,1394
2015-09-21,Windows,12111404
2015-09-21,Windows Phone,78171
2015-09-21,iOS,2849758
2015-09-22,(not set),50566
2015-09-22,Android,2627419
2015-09-22,BlackBerry,26225
2015-09-22,Chrome OS,195103
2015-09-22,Linux,124844
2015-09-22,Macintosh,1685535
2015-09-22,Nokia,2085
2015-09-22,Samsung,1413
2015-09-22,SymbianOS,1096
2015-09-22,Windows,11635748
2015-09-22,Windows Phone,78260
2015-09-22,iOS,2839064
2015-09-23,(not set),46986
2015-09-23,Android,2559606
2015-09-23,BlackBerry,24453
2015-09-23,Chrome OS,186763
2015-09-23,Linux,127499
2015-09-23,Macintosh,1651249
2015-09-23,Nokia,1910
2015-09-23,Samsung,1354
2015-09-23,Windows,11241104
2015-09-23,Windows Phone,77006
2015-09-23,iOS,2780505
2015-09-24,(not set),44887
2015-09-24,Android,2504874
2015-09-24,BlackBerry,23466
2015-09-24,Chrome OS,204124
2015-09-24,Linux,130744
2015-09-24,Macintosh,1571875
2015-09-24,Nokia,1836
2015-09-24,Samsung,1403
2015-09-24,Windows,10918136
2015-09-24,Windows Phone,74958
2015-09-24,iOS,2725804
2015-09-25,(not set),43270
2015-09-25,Android,2391406
2015-09-25,BlackBerry,23009
2015-09-25,Chrome OS,170673
2015-09-25,Linux,122276
2015-09-25,Macintosh,1350938
2015-09-25,Nokia,1769
2015-09-25,Samsung,1339
2015-09-25,Windows,9627569
2015-09-25,Windows Phone,74101
2015-09-25,iOS,2615786
2015-09-26,(not set),41707
2015-09-26,Android,2158709
2015-09-26,BlackBerry,21101
2015-09-26,Chrome OS,49062
2015-09-26,Linux,89547
2015-09-26,Macintosh,964896
2015-09-26,Nokia,1793
2015-09-26,Samsung,1261
2015-09-26,Windows,4541789
2015-09-26,Windows Phone,66314
2015-09-26,iOS,2333492
2015-09-27,(not set),48982
2015-09-27,Android,3316971
2015-09-27,BlackBerry,29207
2015-09-27,Chrome OS,81465
2015-09-27,Linux,114500
2015-09-27,Macintosh,1506683
2015-09-27,Nokia,1952
2015-09-27,Samsung,1475
2015-09-27,SymbianOS,1040
2015-09-27,Windows,6294832
2015-09-27,Windows Phone,100763
2015-09-27,Xbox,2202
2015-09-27,iOS,3849807
2015-09-28,(not set),55001
2015-09-28,Android,3448757
2015-09-28,BlackBerry,31323
2015-09-28,Chrome OS,210042
2015-09-28,Linux,178648
2015-09-28,Macintosh,2135386
2015-09-28,Nokia,2170
2015-09-28,Samsung,1589
2015-09-28,SymbianOS,1148
2015-09-28,Windows,13822071
2015-09-28,Windows Phone,107704
2015-09-28,Xbox,1461
2015-09-28,iOS,3732770
2015-09-29,(not set),53319
2015-09-29,Android,2952867
2015-09-29,BlackBerry,28620
2015-09-29,Chrome OS,233895
2015-09-29,Linux,154768
2015-09-29,Macintosh,1938633
2015-09-29,Nokia,2090
2015-09-29,Samsung,1588
2015-09-29,SymbianOS,1128
2015-09-29,Windows,13339573
2015-09-29,Windows Phone,88837
2015-09-29,iOS,3203669
2015-09-30,(not set),51035
2015-09-30,Android,2795168
2015-09-30,BlackBerry,26781
2015-09-30,Chrome OS,225539
2015-09-30,Linux,143352
2015-09-30,Macintosh,1894601
2015-09-30,Nokia,2018
2015-09-30,Samsung,1576
2015-09-30,SymbianOS,1107
2015-09-30,Windows,12776397
2015-09-30,Windows Phone,81687
2015-09-30,iOS,3144096
2015-10-01,(not set),53739
2015-10-01,Android,2937969
2015-10-01,BlackBerry,28913
2015-10-01,Chrome OS,233834
2015-10-01,Linux,144524
2015-10-01,Macintosh,1901331
2015-10-01,Nokia,2053
2015-10-01,Samsung,1717
2015-10-01,SymbianOS,1207
2015-10-01,Windows,13007130
2015-10-01,Windows Phone,84158
2015-10-01,iOS,3292328
2015-10-02,(not set),51483
2015-10-02,Android,2798829
2015-10-02,BlackBerry,26902
2015-10-02,Chrome OS,191072
2015-10-02,Linux,136436
2015-10-02,Macintosh,1595051
2015-10-02,Nokia,2272
2015-10-02,Samsung,1601
2015-10-02,SymbianOS,1270
2015-10-02,Windows,11151757
2015-10-02,Windows Phone,80791
2015-10-02,iOS,3039366
2015-10-03,(not set),47588
2015-10-03,Android,2420715
2015-10-03,BlackBerry,23103
2015-10-03,Chrome OS,56859
2015-10-03,Linux,101312
2015-10-03,Macintosh,1134907
2015-10-03,Nokia,2063
2015-10-03,Samsung,1569
2015-10-03,SymbianOS,1142
2015-10-03,Windows,5551815
2015-10-03,Windows Phone,67542
2015-10-03,iOS,2617699
2015-10-04,(not set),48988
2015-10-04,Android,2393496
2015-10-04,BlackBerry,22596
2015-10-04,Chrome OS,70974
2015-10-04,Linux,98254
2015-10-04,Macintosh,1356502
2015-10-04,Nokia,2171
2015-10-04,Samsung,1599
2015-10-04,SymbianOS,1206
2015-10-04,Windows,5792085
2015-10-04,Windows Phone,66050
2015-10-04,iOS,2603861
2015-10-05,(not set),52629
2015-10-05,Android,2790859
2015-10-05,BlackBerry,26766
2015-10-05,Chrome OS,207747
2015-10-05,Linux,139067
2015-10-05,Macintosh,1865419
2015-10-05,Nokia,2187
2015-10-05,Samsung,1441
2015-10-05,SymbianOS,1103
2015-10-05,Windows,12679169
2015-10-05,Windows Phone,78866
2015-10-05,iOS,2956807
2015-10-06,(not set),52276
2015-10-06,Android,2763395
2015-10-06,BlackBerry,26951
2015-10-06,Chrome OS,216699
2015-10-06,Linux,132635
2015-10-06,Macintosh,1785274
2015-10-06,Nokia,2143
2015-10-06,Samsung,1548
2015-10-06,SymbianOS,1178
2015-10-06,Windows,12384359
2015-10-06,Windows Phone,80670
2015-10-06,iOS,2914914
2015-10-07,(not set),52284
2015-10-07,Android,2766800
2015-10-07,BlackBerry,27074
2015-10-07,Chrome OS,221257
2015-10-07,Linux,131319
2015-10-07,Macintosh,1752247
2015-10-07,Nokia,2163
2015-10-07,Samsung,1498
2015-10-07,SymbianOS,1193
2015-10-07,Windows,12149528
2015-10-07,Windows Phone,81605
2015-10-07,iOS,2948283
2015-10-08,(not set),52491
2015-10-08,Android,2730267
2015-10-08,BlackBerry,26873
2015-10-08,Chrome OS,224261
2015-10-08,Linux,134651
2015-10-08,Macintosh,1685420
2015-10-08,Nokia,2115
2015-10-08,Samsung,1547
2015-10-08,SymbianOS,1131
2015-10-08,Windows,11766942
2015-10-08,Windows Phone,81828
2015-10-08,iOS,2907751
2015-10-09,(not set),49115
2015-10-09,Android,2550825
2015-10-09,BlackBerry,24802
2015-10-09,Chrome OS,173280
2015-10-09,Linux,126148
2015-10-09,Macintosh,1413849
2015-10-09,Nokia,1924
2015-10-09,Samsung,1479
2015-10-09,SymbianOS,1166
2015-10-09,Windows,10076709
