date,browser,visits
2024-01-04,Chrome,27463
2024-01-04,Safari,3911
2024-01-04,Edge,3882
2024-01-04,Firefox,773
2024-01-04,Android Webview,741
2024-01-04,Safari (in-app),616
2024-01-04,Samsung Internet,299
2024-01-04,Opera,288
2024-01-04,Opera Mini,119
2024-01-03,Chrome,32615
2024-01-03,Safari,5283
2024-01-03,Edge,4750
2024-01-03,Android Webview,1617
2024-01-03,Safari (in-app),1059
2024-01-03,Firefox,1010
2024-01-03,Samsung Internet,489
2024-01-03,Opera,373
2024-01-03,Opera Mini,117
2024-01-03,UC Browser,115
2024-01-02,Chrome,28571
2024-01-02,Safari,4474
2024-01-02,Edge,3812
2024-01-02,Android Webview,2626
2024-01-02,Safari (in-app),1090
2024-01-02,Firefox,960
2024-01-02,Samsung Internet,340
2024-01-02,Opera,323
2024-01-01,Chrome,16220
2024-01-01,Android Webview,4263
2024-01-01,Safari,3112
2024-01-01,Edge,1149
2024-01-01,Safari (in-app),1061
2024-01-01,Firefox,653
2024-01-01,Samsung Internet,255
2024-01-01,Opera,242
2024-01-01,UC Browser,102
2023-12-31,Chrome,13168
2023-12-31,Safari,2530
2023-12-31,Edge,670
2023-12-31,Android Webview,322
2023-12-31,Firefox,310
2023-12-31,Safari (in-app),263
2023-12-31,Samsung Internet,254
2023-12-31,Opera,193
2023-12-30,Chrome,12905
2023-12-30,Safari,2713
2023-12-30,Edge,795
2023-12-30,Firefox,296
2023-12-30,Samsung Internet,244
2023-12-30,Opera,237
2023-12-30,Android Webview,221
2023-12-30,Safari (in-app),184
2023-12-30,UC Browser,104
2023-12-29,Chrome,18504
2023-12-29,Safari,3475
2023-12-29,Edge,1974
2023-12-29,Firefox,555
2023-12-29,Android Webview,301
2023-12-29,Samsung Internet,288
2023-12-29,Safari (in-app),276
2023-12-29,Opera,250
2023-12-29,UC Browser,102
2023-12-28,Chrome,23137
2023-12-28,Safari,4092
2023-12-28,Edge,2748
2023-12-28,Firefox,529
2023-12-28,Safari (in-app),375
2023-12-28,Android Webview,337
2023-12-28,Samsung Internet,298
2023-12-28,Opera,255
2023-12-27,Chrome,25034
2023-12-27,Safari,3721
2023-12-27,Edge,2593
2023-12-27,Firefox,560
2023-12-27,Android Webview,336
2023-12-27,Safari (in-app),323
2023-12-27,Samsung Internet,311
2023-12-27,Opera,260
2023-12-27,Opera Mini,108
2023-12-26,Chrome,24543
2023-12-26,Safari,3276
2023-12-26,Edge,2178
2023-12-26,Firefox,550
2023-12-26,Safari (in-app),312
2023-12-26,Samsung Internet,280
2023-12-26,Opera,255
2023-12-26,Android Webview,237
2023-12-26,UC Browser,102
2023-12-25,Chrome,17792
2023-12-25,Safari,2416
2023-12-25,Edge,824
2023-12-25,Firefox,348
2023-12-25,Samsung Internet,263
