date,mobile_device,visits
2024-01-04,Chrome,17948
2024-01-04,,4302
2024-01-04,Safari,3886
2024-01-04,Edge,3867
2024-01-04,iPhone,3730
2024-01-03,Chrome,20293
2024-01-03,iPhone,5256
2024-01-03,Edge,4695
2024-01-03,Safari,4605
2024-01-02,Chrome,17079
2024-01-02,iPhone,4648
2024-01-02,Safari,3989
2024-01-02,Edge,3784
2024-01-01,Chrome,8101
2024-01-01,iPhone,3648
2024-01-01,Safari,1934
2024-01-01,Edge,1122
2023-12-31,Chrome,6239
2023-12-31,iPhone,2602
2023-12-31,Safari,1369
2023-12-30,Chrome,6645
2023-12-30,iPhone,2857
2023-12-30,Safari,1599
2023-12-29,Chrome,11167
2023-12-29,iPhone,3433
2023-12-29,Safari,2431
2023-12-29,Edge,1944
2023-12-28,Chrome,14982
2023-12-28,iPhone,3948
2023-12-28,Safari,2837
2023-12-28,Edge,2711
2023-12-27,Chrome,14006
2023-12-27,iPhone,4252
2023-12-27,Safari,2986
2023-12-27,Edge,2556
2023-12-26,Chrome,11566
2023-12-26,iPhone,4525
2023-12-26,Safari,2424
2023-12-26,Edge,2135
2023-12-26,SM-G900P,1500
2023-12-26,Pixel 2,1475
2023-12-26,Nexus 5,1452
2023-12-25,Chrome,7211
2023-12-25,iPhone,3659
2023-12-25,Pixel 2,1404
2023-12-25,Nexus 5,1372
2023-12-25,SM-G900P,1361
2023-12-25,Safari,1316
2023-12-24,Chrome,6288
2023-12-24,iPhone,3040
2023-12-24,Safari,1228
2023-12-23,Chrome,6754
2023-12-23,iPhone,3685
2023-12-23,Safari,1462
2023-12-22,Chrome,13051
2023-12-22,iPhone,4247
2023-12-22,Safari,2758
2023-12-22,Edge,2440
2023-12-21,Chrome,17574
2023-12-21,iPhone,4104
2023-12-21,Edge,3926
2023-12-21,Safari,3837
2023-12-20,Chrome,20187
2023-12-20,Safari,4796
2023-12-20,iPhone,4484
2023-12-20,Edge,4285
2023-12-19,Chrome,20091
2023-12-19,Safari,4750
2023-12-19,Edge,4524
2023-12-19,iPhone,4478
2023-12-18,Chrome,20020
2023-12-18,Safari,5401
2023-12-18,Edge,4425
2023-12-18,iPhone,4200
2023-12-17,Chrome,10176
2023-12-17,iPhone,3532
2023-12-17,Safari,3185
2023-12-17,Edge,1408
2023-12-16,Chrome,7992
2023-12-16,iPhone,3353
2023-12-16,Safari,2417
2023-12-16,Edge,1017
2023-12-15,Chrome,17153
2023-12-15,Safari,4775
2023-12-15,iPhone,4396
2023-12-15,Edge,3571
2023-12-15,ChromeBook,1139
2023-12-14,Chrome,20915
2023-12-14,Safari,6040
2023-12-14,iPhone,4851
2023-12-14,Edge,4798
2023-12-14,ChromeBook,1319
2023-12-13,Chrome,22477
2023-12-13,Safari,6388
2023-12-13,Edge,5240
2023-12-13,iPhone,4947
2023-12-13,ChromeBook,1281
2023-12-12,Chrome,23531
2023-12-12,Safari,7063
2023-12-12,Edge,5168
2023-12-12,iPhone,4940
2023-12-12,ChromeBook,1323
2023-12-12,(not set),1099
2023-12-11,Chrome,23910
2023-12-11,Safari,7394
2023-12-11,Edge,5347
2023-12-11,iPhone,4931
2023-12-11,ChromeBook,1426
2023-12-11,(not set),1045
2023-12-10,Chrome,11015
2023-12-10,Safari,4606
2023-12-10,iPhone,3667
2023-12-10,Edge,1800
2023-12-09,Chrome,8991
2023-12-09,iPhone,3484
2023-12-09,Safari,3097
2023-12-09,Edge,1244
2023-12-08,Chrome,18845
2023-12-08,Safari,5655
2023-12-08,iPhone,4630
2023-12-08,Edge,4460
2023-12-08,ChromeBook,1127
2023-12-07,Chrome,23534
2023-12-07,Safari,7377
2023-12-07,iPhone,5816
2023-12-07,Edge,5703
2023-12-07,ChromeBook,1335
2023-12-07,(not set),1257
2023-12-06,Chrome,24457
2023-12-06,Safari,7381
2023-12-06,iPhone,5580
2023-12-06,Edge,5537
2023-12-06,ChromeBook,1373
2023-12-06,(not set),1122
2023-12-05,Chrome,24608
2023-12-05,Safari,7784
2023-12-05,Edge,5659
2023-12-05,iPhone,5523
2023-12-05,ChromeBook,1261
2023-12-05,(not set),1116
2023-12-04,Chrome,25068
2023-12-04,Safari,7520
2023-12-04,iPhone,5837
2023-12-04,Edge,5566
2023-12-04,(not set),1498
2023-12-04,ChromeBook,1293
2023-12-04,Redmi Note 8,1196
2023-12-03,Chrome,11950
2023-12-03,iPhone,6026
2023-12-03,Safari,4768
2023-12-03,M2003J15SC,2119
2023-12-03,Edge,1731
2023-12-03,23021RAAEG,1235
2023-12-03,2201117TG,1212
2023-12-03,M2004J19C,1115
2023-12-03,Redmi Note 8,1112
2023-12-03,23053RN02A,1089
2023-12-03,Redmi Note 9 Pro,1089
2023-12-03,SM-A135F,1041
2023-12-03,(not set),1033
2023-12-02,Chrome,11556
2023-12-02,iPhone,3844
2023-12-02,Safari,3401
2023-12-02,Edge,1557
2023-12-02,M2003J15SC,1002
2023-12-01,Chrome,20563
2023-12-01,Safari,5923
2023-12-01,iPhone,5141
2023-12-01,Edge,4188
2023-12-01,ChromeBook,1142
2023-12-01,(not set),1040
2023-11-30,Chrome,23323
2023-11-30,Safari,7029
2023-11-30,Edge,5146
2023-11-30,iPhone,4545
2023-11-30,ChromeBook,1310
2023-11-29,Chrome,24216
2023-11-29,Safari,7328
2023-11-29,Edge,5418
2023-11-29,iPhone,4576
2023-11-29,ChromeBook,1228
2023-11-28,Chrome,24568
2023-11-28,Safari,7606
2023-11-28,Edge,5345
2023-11-28,iPhone,4637
2023-11-28,ChromeBook,1288
2023-11-27,Chrome,24017
2023-11-27,Safari,7406
2023-11-27,Edge,5159
2023-11-27,iPhone,4269
2023-11-27,ChromeBook,1048
2023-11-26,Chrome,10770
2023-11-26,Safari,3763
2023-11-26,iPhone,3455
2023-11-26,Edge,1624
2023-11-25,Chrome,8735
2023-11-25,iPhone,3343
2023-11-25,Safari,2564
2023-11-25,Edge,1142
2023-11-24,Chrome,13766
2023-11-24,iPhone,3639
2023-11-24,Safari,3375
2023-11-24,Edge,2467
2023-11-23,Chrome,13908
2023-11-23,iPhone,3529
2023-11-23,Safari,3377
2023-11-23,Edge,2641
2023-11-22,Chrome,19917
2023-11-22,Safari,5023
2023-11-22,iPhone,4694
2023-11-22,Edge,4156
2023-11-21,Chrome,22709
2023-11-21,Safari,6176
2023-11-21,Edge,5201
2023-11-21,iPhone,4927
2023-11-20,Chrome,22636
2023-11-20,Safari,6671
2023-11-20,Edge,5235
2023-11-20,iPhone,4534
2023-11-19,Chrome,9132
2023-11-19,Safari,3097
2023-11-19,iPhone,2101
2023-11-19,Edge,1320
2023-11-18,Chrome,7644
2023-11-18,Safari,2013
2023-11-18,iPhone,1923
2023-11-17,Chrome,17913
2023-11-17,Safari,5033
2023-11-17,Edge,3997
2023-11-17,iPhone,3740
2023-11-16,Chrome,23171
2023-11-16,Safari,6659
2023-11-16,Edge,5013
2023-11-16,iPhone,4810
2023-11-16,ChromeBook,1246
2023-11-15,Chrome,23542
2023-11-15,Safari,7278
2023-11-15,Edge,5654
2023-11-15,iPhone,5515
2023-11-15,ChromeBook,1250
2023-11-15,Firefox,1073
2023-11-15,(not set),1051
2023-11-14,Chrome,24238
2023-11-14,Safari,7605
2023-11-14,Edge,5417
2023-11-14,iPhone,5147
2023-11-14,ChromeBook,1149
2023-11-13,Chrome,23370
2023-11-13,Safari,7562
2023-11-13,Edge,5131
2023-11-13,iPhone,4891
2023-11-13,ChromeBook,1131
2023-11-12,Chrome,11134
2023-11-12,Safari,4320
2023-11-12,iPhone,3533
2023-11-12,Edge,1680
2023-11-11,Chrome,8914
2023-11-11,iPhone,3074
2023-11-11,Safari,2906
2023-11-11,Edge,1147
2023-11-10,Chrome,15151
2023-11-10,Safari,5035
2023-11-10,iPhone,4219
2023-11-10,Edge,3216
2023-11-09,Chrome,22096
2023-11-09,Safari,6720
2023-11-09,iPhone,5261
2023-11-09,Edge,4893
2023-11-08,Chrome,24166
2023-11-08,Safari,6855
2023-11-08,Edge,5578
2023-11-08,iPhone,5264
2023-11-08,ChromeBook,1202
2023-11-08,Firefox,1020
2023-11-07,Chrome,24821
2023-11-07,Safari,7112
2023-11-07,Edge,5729
2023-11-07,iPhone,5082
2023-11-06,Chrome,23428
2023-11-06,Safari,7086
2023-11-06,Edge,5530
2023-11-06,iPhone,5151
2023-11-05,Chrome,11431
2023-11-05,Safari,4216
2023-11-05,iPhone,4207
2023-11-05,Edge,1661
2023-11-04,Chrome,9009
2023-11-04,iPhone,3803
2023-11-04,Safari,2688
2023-11-04,Edge,1077
2023-11-03,Chrome,19377
2023-11-03,Safari,5195
2023-11-03,iPhone,4695
2023-11-03,Edge,4002
2023-11-02,Chrome,23427
2023-11-02,Safari,6255
2023-11-02,Edge,5165
2023-11-02,iPhone,5018
2023-11-02,ChromeBook,1063
2023-11-01,Chrome,22629
2023-11-01,Safari,6538
2023-11-01,Edge,4963
2023-11-01,iPhone,4683
2023-10-31,Chrome,23621
2023-10-31,Safari,6271
2023-10-31,Edge,5004
2023-10-31,iPhone,4420
2023-10-30,Chrome,23064
2023-10-30,Safari,6903
2023-10-30,Edge,5216
2023-10-30,iPhone,4484
2023-10-29,Chrome,10599
2023-10-29,iPhone,3708
2023-10-29,Safari,3489
2023-10-29,Edge,1590
2023-10-28,Chrome,8549
2023-10-28,iPhone,3581
2023-10-28,Safari,2386
2023-10-28,Edge,1078
2023-10-27,Chrome,18633
2023-10-27,Safari,4990
2023-10-27,iPhone,4389
2023-10-27,Edge,3904
2023-10-26,Chrome,26450
2023-10-26,Safari,6348
2023-10-26,iPhone,5026
2023-10-26,Edge,4804
2023-10-26,ChromeBook,1166
2023-10-25,Chrome,23423
2023-10-25,Safari,6646
2023-10-25,iPhone,5185
2023-10-25,Edge,5060
2023-10-25,ChromeBook,1187
2023-10-24,Chrome,23462
2023-10-24,Safari,6959
2023-10-24,Edge,5308
2023-10-24,iPhone,5019
2023-10-24,ChromeBook,1187
2023-10-23,Chrome,23459
2023-10-23,Safari,6846
2023-10-23,Edge,5246
2023-10-23,iPhone,4947
2023-10-23,ChromeBook,1095
2023-10-22,Chrome,10556
2023-10-22,Safari,4005
2023-10-22,iPhone,3808
2023-10-22,Edge,1594
2023-10-21,Chrome,9021
2023-10-21,iPhone,4093
2023-10-21,Safari,2670
2023-10-21,Edge,1160
2023-10-20,Chrome,18699
2023-10-20,iPhone,5209
2023-10-20,Safari,5028
