date,mobile_device,visits
2023-09-02,(not set),3444
2023-09-02,1,1
2023-09-02,1 Plus,1
2023-09-02,1.4,3
2023-09-02,100011885,1
2023-09-02,1609,1
2023-09-02,1610,1
2023-09-02,1723,1
2023-09-02,1724,2
2023-09-02,1811,2
2023-09-02,1812,2
2023-09-02,1819,1
2023-09-02,1820,10
2023-09-02,1823,1
2023-09-02,1901,4
2023-09-02,1902,1
2023-09-02,1904,5
2023-09-02,1906,14
2023-09-02,1907,2
2023-09-02,1909,2
2023-09-02,1915,1
2023-09-02,1920,1
2023-09-02,1938,2
2023-09-02,2.2,1
2023-09-02,2.3,3
2023-09-02,2.4,3
2023-09-02,21061119AG,7
2023-09-02,21061119BI,3
2023-09-02,21081111RG,2
2023-09-02,21091116AI,2
2023-09-02,21091116I,1
2023-09-02,2109119DG,2
2023-09-02,211033MI,1
2023-09-02,21121119SG,5
2023-09-02,21121119VL,1
2023-09-02,2112123AG,1
2023-09-02,22011119TI,1
2023-09-02,2201116PI,1
2023-09-02,2201116SC,1
2023-09-02,2201116SG,5
2023-09-02,2201116TG,4
2023-09-02,2201117SG,3
2023-09-02,2201117SL,1
2023-09-02,2201117TG,12
2023-09-02,2201117TI,1
2023-09-02,22021211RG,1
2023-09-02,220233L2C,1
2023-09-02,220233L2G,3
2023-09-02,220233L2I,2
2023-09-02,220333QAG,2
2023-09-02,220333QBI,2
2023-09-02,220333QNY,2
2023-09-02,22041216G,1
2023-09-02,22041219C,1
2023-09-02,22041219G,1
2023-09-02,22041219PI,1
2023-09-02,22071219CG,1
2023-09-02,220733SFG,5
2023-09-02,220733SI,1
2023-09-02,2209116AG,1
2023-09-02,22101316C,1
2023-09-02,22101316G,3
2023-09-02,22101316UG,1
2023-09-02,22101316UP,1
2023-09-02,22101320I,1
2023-09-02,22111317I,1
2023-09-02,22111317PG,1
2023-09-02,22120RN86G,1
2023-09-02,22120RN86I,1
2023-09-02,2212ARNC4L,2
2023-09-02,23021RAAEG,8
2023-09-02,23028RN4DI,2
2023-09-02,23028RNCAG,1
2023-09-02,3.1,1
2023-09-02,3.2,1
2023-09-02,3.4,1
2023-09-02,4.2,1
2023-09-02,5.1 Plus,2
2023-09-02,5.4,6
2023-09-02,5002B,1
2023-09-02,5002R,1
2023-09-02,5007Z,1
2023-09-02,6.1,1
2023-09-02,6.2,1
2023-09-02,6125F,1
2023-09-02,6165S,1
2023-09-02,640,1
2023-09-02,7.2,1
2023-09-02,9032Z,1
2023-09-02,A1,1
2023-09-02,A14,1
2023-09-02,A15,2
2023-09-02,A16 Plus,8
2023-09-02,A23,1
2023-09-02,A328,1
2023-09-02,A32F,1
2023-09-02,A33,1
2023-09-02,A37f,1
2023-09-02,A37fw,3
2023-09-02,A37m,4
2023-09-02,A37t,3
2023-09-02,A5010,1
2023-09-02,A507LM,2
2023-09-02,A507LS,2
2023-09-02,A509W,2
2023-09-02,A509WM,2
2023-09-02,A511LQ,1
2023-09-02,A512W,2
2023-09-02,A57,8
2023-09-02,A571L,2
2023-09-02,A571W,2
2023-09-02,A6000,2
2023-09-02,A6010,2
2023-09-02,A6020a46,1
2023-09-02,A631W,2
2023-09-02,A661L,1
2023-09-02,A661W,1
2023-09-02,A661WP,2
2023-09-02,A662L,11
2023-09-02,A7-20F,1
2023-09-02,A83,2
2023-09-02,AB7,1
2023-09-02,AC2001,2
2023-09-02,ADT-AN00,1
2023-09-02,AF9020,1
2023-09-02,AFTGAZL,1
2023-09-02,AH9910,1
2023-09-02,ALE-L21,2
2023-09-02,ALP-L29,1
2023-09-02,AMN-LX9,3
2023-09-02,ANE-LX3,2
2023-09-02,ANY-LX3,1
2023-09-02,ARCTIC,1
2023-09-02,ART-L29,6
2023-09-02,Android TV,1
2023-09-02,Atom,1
2023-09-02,Atom ii,1
2023-09-02,B1,2
2023-09-02,B1F,8
2023-09-02,B1P,7
2023-09-02,B1c,3
2023-09-02,B1g,4
2023-09-02,BA2,10
2023-09-02,BAC-L21,1
2023-09-02,BB2,9
2023-09-02,BB4k,2
2023-09-02,BC1,3
2023-09-02,BC2,4
2023-09-02,BC2c,4
2023-09-02,BC3,1
2023-09-02,BD1,1
2023-09-02,BD2,4
2023-09-02,BD2P,6
2023-09-02,BD2d,3
2023-09-02,BD3,3
2023-09-02,BD4a,3
2023-09-02,BD4h,3
2023-09-02,BD4j,4
2023-09-02,BE2011,1
2023-09-02,BE2013,3
2023-09-02,BE2029,2
2023-09-02,BE6,8
2023-09-02,BE6j,6
2023-09-02,BE7,1
2023-09-02,BE8,4
2023-09-02,BF6,9
