date,screen_resolution,visits
2024-01-04,1920x1080,5831
2024-01-04,1280x720,4958
2024-01-04,1024x768,2795
2024-01-04,1536x864,2664
2024-01-04,1366x768,2576
2024-01-04,1440x900,2025
2024-01-04,360x800,1210
2024-01-04,375x812,1129
2024-01-03,1920x1080,6811
2024-01-03,1280x720,5461
2024-01-03,1024x768,3668
2024-01-03,1536x864,3377
2024-01-03,1366x768,3167
2024-01-03,1440x900,2442
2024-01-03,360x800,1732
2024-01-03,375x812,1605
2024-01-03,390x844,1325
2024-01-03,414x896,1196
2024-01-02,1920x1080,5514
2024-01-02,1280x720,4507
2024-01-02,1024x768,3575
2024-01-02,1536x864,2709
2024-01-02,1366x768,2486
2024-01-02,1440x900,2157
2024-01-02,360x800,1844
2024-01-02,375x812,1730
2024-01-02,390x844,1166
2024-01-02,414x896,1159
2024-01-01,1024x768,3684
2024-01-01,360x800,2061
2024-01-01,1366x768,1333
2024-01-01,1280x720,1265
2024-01-01,375x812,1152
2024-01-01,414x896,1132
2024-01-01,1920x1080,1075
2024-01-01,1536x864,1040
2023-12-31,1024x768,3404
2023-12-30,1024x768,3534
2023-12-30,375x812,1287
2023-12-30,1366x768,1146
2023-12-29,1024x768,3506
2023-12-29,1280x720,2603
2023-12-29,1920x1080,2500
2023-12-29,1536x864,1683
2023-12-29,1366x768,1659
2023-12-29,1440x900,1290
2023-12-29,375x812,1189
2023-12-28,1920x1080,3795
2023-12-28,1024x768,3484
2023-12-28,1280x720,3383
2023-12-28,1536x864,2145
2023-12-28,1366x768,2012
2023-12-28,1440x900,1549
2023-12-28,375x812,1195
2023-12-28,390x844,1084
2023-12-28,1280x960,1078
2023-12-27,375x812,3657
2023-12-27,1920x1080,3636
2023-12-27,1024x768,3588
2023-12-27,1280x720,3469
2023-12-27,1536x864,2146
2023-12-27,1366x768,1992
2023-12-27,1440x900,1608
2023-12-27,390x844,1041
2023-12-26,375x812,6270
2023-12-26,1024x768,3430
2023-12-26,1920x1080,2865
2023-12-26,1280x720,2752
2023-12-26,1536x864,1938
2023-12-26,1366x768,1743
2023-12-26,1440x900,1311
2023-12-25,375x812,5848
2023-12-25,1024x768,3388
2023-12-25,1366x768,1059
