domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.usaid.gov,1032918,721433,1707026,1.652624893747616,179.34707676830496,0.50976456988841323
agrilinks.org,21805,15169,31503,1.4447603760605365,180.16551085260261,0.48328365053886724
www.marketlinks.org,15572,11553,21453,1.3776650398150527,168.35063035839974,0.50372463395838685
www.globalwaters.org,14785,11053,24740,1.6733175515725398,176.88749228102807,0.51843084206966517
www.land-links.org,13453,10593,16651,1.2377164944622017,172.87443505634428,0.49304987735077677
urban-links.org,3886,2642,5635,1.4500772002058673,181.37668180648481,0.5074626865671642
scms.usaid.gov,1693,699,13089,7.7312463083284113,1187.0354351376257,0.34199645599527467
aidscape.usaid.gov,613,412,816,1.3311582381729201,207.294600588907,0.34584013050570961
www-origin.usaid.gov,569,179,3499,6.1493848857644995,321.53901365377857,0.74516695957820733
pk.usembassy.gov,335,304,396,1.182089552238806,54.567772262686567,0.33432835820895523
ng.usembassy.gov,224,207,294,1.3125,108.31955767410714,0.36160714285714285
za.usembassy.gov,203,191,236,1.1625615763546797,103.03302770935962,0.43842364532019706
iq.usembassy.gov,138,129,162,1.173913043478261,88.264793304347833,0.21014492753623187
www.state.gov,107,96,136,1.2710280373831775,98.6436903271028,0.514018691588785
aidscapeuat.usaid.gov,66,65,105,1.5909090909090908,39.906156257575759,0.2878787878787879
www.whitehouse.gov,36,35,48,1.3333333333333333,38.254051166666663,0.47222222222222221
dev.agrilinks.org,33,8,212,6.4242424242424239,606.76499845454543,0.27272727272727271
jo.usembassy.gov,33,27,50,1.5151515151515151,134.64186418181816,0.30303030303030304
et.usembassy.gov,27,24,37,1.3703703703703705,68.112604592592589,0.29629629629629628
admin.agrilinks.org,22,18,20,0.90909090909090906,22.851390999999996,0.63636363636363635
