date,mobile_device,visits
2023-09-02,(not set),76036
2023-09-02,1,3
2023-09-02,1.4,1
2023-09-02,100005206,1
2023-09-02,100011885,1
2023-09-02,100011886,4
2023-09-02,100011886A,1
2023-09-02,100015685-A,1
2023-09-02,100026191,1
2023-09-02,100071481,2
2023-09-02,100071483,1
2023-09-02,100071485,5
2023-09-02,1016,1
2023-09-02,1050F,1
2023-09-02,1050L,1
2023-09-02,13 Lite,1
2023-09-02,1601,4
2023-09-02,1609,2
2023-09-02,1610,2
2023-09-02,1611,1
2023-09-02,1714,2
2023-09-02,1718,3
2023-09-02,1802,2
2023-09-02,1803,1
2023-09-02,1804,1
2023-09-02,1807,4
2023-09-02,1811,10
2023-09-02,1812,2
2023-09-02,1814,4
2023-09-02,1817,1
2023-09-02,1818,1
2023-09-02,1819,1
2023-09-02,1820,8
2023-09-02,1823,1
2023-09-02,1901,4
2023-09-02,1902,1
2023-09-02,1904,4
2023-09-02,1906,21
2023-09-02,1907_19,1
2023-09-02,1908,2
2023-09-02,1917,1
2023-09-02,1918,1
2023-09-02,1919,2
2023-09-02,1920,2
2023-09-02,1921,1
2023-09-02,1935,1
2023-09-02,1938,1
2023-09-02,2,2
2023-09-02,2 V,1
2023-09-02,2.1,1
2023-09-02,2.2,2
2023-09-02,2.3,2
2023-09-02,2019,1
2023-09-02,21051182G,1
2023-09-02,21061110AG,1
2023-09-02,21061119AG,2
2023-09-02,21061119BI,3
2023-09-02,2107113SG,3
2023-09-02,2107113SI,1
2023-09-02,21081111RG,5
2023-09-02,211033MI,1
2023-09-02,21121119SG,2
2023-09-02,21121210G,2
2023-09-02,2201116PG,2
2023-09-02,2201116PI,1
2023-09-02,2201116SG,5
2023-09-02,2201116SI,2
2023-09-02,2201116TG,5
2023-09-02,2201117PG,1
2023-09-02,2201117PI,1
2023-09-02,2201117SG,4
2023-09-02,2201117SY,2
2023-09-02,2201117TG,2
2023-09-02,2201117TI,2
2023-09-02,2201122C,1
2023-09-02,2201122G,1
2023-09-02,2201123G,1
2023-09-02,22021211RC,1
2023-09-02,220233L2G,3
2023-09-02,220233L2I,1
2023-09-02,2203121C,4
2023-09-02,220333QAG,1
2023-09-02,220333QBI,3
2023-09-02,22041219PI,1
2023-09-02,2207117BPG,1
2023-09-02,22071212AG,1
2023-09-02,22071219AI,2
2023-09-02,220733SFG,2
2023-09-02,220733SG,6
2023-09-02,220733SH,1
2023-09-02,220733SI,3
2023-09-02,220733SL,1
2023-09-02,220733SPH,2
2023-09-02,220733SPI,1
2023-09-02,22081212UG,1
2023-09-02,22101316C,1
2023-09-02,22101316G,1
2023-09-02,2210132C,1
2023-09-02,22111317I,3
2023-09-02,22120RN86G,3
2023-09-02,22127PC95I,1
2023-09-02,22127RK46C,22
2023-09-02,2212ARNC4L,1
2023-09-02,23021RAAEG,2
2023-09-02,23026RN54G,2
2023-09-02,23028RA60L,1
2023-09-02,23028RN4DG,1
2023-09-02,23028RNCAG,1
2023-09-02,23030RAC7Y,1
2023-09-02,2e,1
2023-09-02,3.2,1
2023-09-02,3.4,3
2023-09-02,3V,1
2023-09-02,4188C,3
2023-09-02,4188O,2
2023-09-02,4188R,4
2023-09-02,4188S,2
2023-09-02,4G Dual,1
2023-09-02,5.1,1
2023-09-02,5.1 Plus,1
2023-09-02,5.3,3
2023-09-02,5002E,1
2023-09-02,5002H_EEA,1
2023-09-02,5002L,1
2023-09-02,5002R,11
2023-09-02,5004R,4
2023-09-02,5004S,1
2023-09-02,5005R,3
2023-09-02,5007G,1
2023-09-02,5007S,5
2023-09-02,5007W,1
2023-09-02,5007Z,5
2023-09-02,5010D,1
2023-09-02,5029D,1
2023-09-02,5032W,4
2023-09-02,5033E,2
2023-09-02,5033EP,1
2023-09-02,5033M,1
2023-09-02,5033X_EEA,1
2023-09-02,5049S,2
2023-09-02,5059R,2
2023-09-02,5062W,3
2023-09-02,5062Z,3
2023-09-02,5087Z,7
2023-09-02,6.1,2
2023-09-02,6062W,1
2023-09-02,7 Plus,1
2023-09-02,7.1,1
2023-09-02,8 V 5G UW,1
2023-09-02,8.3 5G,1
2023-09-02,9029W,2
2023-09-02,9032W,2
2023-09-02,9032Z,5
2023-09-02,9048S,1
2023-09-02,9137W,4
2023-09-02,9183W,1
2023-09-02,9198S,1
2023-09-02,9309X_EEA,1
2023-09-02,A10,1
2023-09-02,A10-70L,1
2023-09-02,A1601,5
2023-09-02,A2010-a,1
2023-09-02,A2016b30,1
2023-09-02,A23,1
2023-09-02,A3-A11,1
2023-09-02,A3000,2
2023-09-02,A31,1
2023-09-02,A33,1
2023-09-02,A3300-GV,1
2023-09-02,A33m,1
2023-09-02,A37f,8
2023-09-02,A37fw,7
2023-09-02,A3S,1
2023-09-02,A3X,1
2023-09-02,A44,1
2023-09-02,A5000,3
2023-09-02,A5010,1
2023-09-02,A502DL,2
2023-09-02,A503DL,2
2023-09-02,A507DL,8
2023-09-02,A507LM,1
2023-09-02,A509DL,15
2023-09-02,A509WM,1
2023-09-02,A510W,1
2023-09-02,A536,1
2023-09-02,A551L,1
2023-09-02,A57,4
2023-09-02,A571L,1
2023-09-02,A574BL,2
2023-09-02,A6000,1
2023-09-02,A6003,1
2023-09-02,A600DL,3
2023-09-02,A6010,1
2023-09-02,A6013,7
2023-09-02,A621BL,2
2023-09-02,A662L,2
2023-09-02,A680 ROW,1
2023-09-02,A7-20F,1
2023-09-02,A7-30DC,1
2023-09-02,A71 5G,1
2023-09-02,A72,1
2023-09-02,A73,1
2023-09-02,ABR-AL60,1
2023-09-02,AC2001,4
2023-09-02,AC8,1
2023-09-02,AFTKA,1
2023-09-02,AFTKMST12,1
2023-09-02,AFTMM,7
2023-09-02,AGR-L09,1
2023-09-02,AGS-L09,1
2023-09-02,AGS-L09 Mediapad T5,1
2023-09-02,AGS-W09,2
2023-09-02,AI2202,1
2023-09-02,AKA-L29,1
2023-09-02,ALE-L21,7
2023-09-02,ALE-L23,1
2023-09-02,AMN-LX2,1
2023-09-02,ANA-NX9,3
2023-09-02,ANE-LX1,1
2023-09-02,ANE-LX2J,1
2023-09-02,ANE-LX3,2
2023-09-02,ANG-LX2,1
2023-09-02,ANN-AN00,2
2023-09-02,AQM-AL10,2
2023-09-02,AQM-LX1,8
2023-09-02,ART-L28,2
2023-09-02,ART-L29,9
2023-09-02,ART-L29N,2
2023-09-02,ASTRO,1
2023-09-02,ATU-L21,1
2023-09-02,ATU-L22,1
2023-09-02,ATU-L31,1
2023-09-02,AUM-AL29,2
2023-09-02,Advance L5,3
2023-09-02,Astro 55R,6
2023-09-02,Astro 8R,4
2023-09-02,Ax5s,1
2023-09-02,B130DL,3
2023-09-02,B131DL,25
2023-09-02,B140DL,12
2023-09-02,B1F,3
2023-09-02,B1P,4
2023-09-02,B1g,2
2023-09-02,B6000-F,1
2023-09-02,B8080-H,1
2023-09-02,BA2,5
2023-09-02,BAH2-W19,1
2023-09-02,BAL-AL00,1
2023-09-02,BB2,6
2023-09-02,BB4k,2
2023-09-02,BBD100-1,1
2023-09-02,BBE100-4,1
2023-09-02,BC1s,2
2023-09-02,BC2,1
2023-09-02,BC2c,2
2023-09-02,BC3,1
2023-09-02,BD2,1
2023-09-02,BD2P,1
2023-09-02,BD2d,1
2023-09-02,BD3,1
2023-09-02,BD4,1
2023-09-02,BD4h,3
2023-09-02,BD4j,4
2023-09-02,BE2011,1
2023-09-02,BE2012,3
2023-09-02,BE2015,1
2023-09-02,BE2025,2
2023-09-02,BE2028,6
2023-09-02,BE6,2
2023-09-02,BE6j,2
2023-09-02,BE7,5
2023-09-02,BE8,1
2023-09-02,BF6,4
2023-09-02,BF7,8
2023-09-02,BGO-DL09,1
2023-09-02,BLA-L29,1
2023-09-02,BLN-AL40,1
2023-09-02,BMH-AN10,1
2023-09-02,BMH-AN20,11
2023-09-02,BNE-LX1,1
2023-09-02,BV9800 Pro,1
2023-09-02,Blade A3 2020,2
2023-09-02,Blade A3 Lite,2
2023-09-02,Blade A5 2019RU,1
2023-09-02,Blade A5 2020,2
2023-09-02,Blade A7 2020,1
2023-09-02,Blade L210,1
2023-09-02,C01 Plus,2
2023-09-02,C1,1
2023-09-02,C100,1
2023-09-02,C2 2nd Edition,1
2023-09-02,C2 Tennen,1
2023-09-02,C20,4
2023-09-02,C2105,1
2023-09-02,C22,1
2023-09-02,C31,1
2023-09-02,C3600,1
2023-09-02,C5L,6
2023-09-02,C5L Max,23
2023-09-02,C60,1
2023-09-02,C6930,4
2023-09-02,C6L 2021,3
2023-09-02,CA6,1
2023-09-02,CAM-AL00,1
2023-09-02,CAM-L21,3
2023-09-02,CAM-TL00,1
2023-09-02,CC6,2
2023-09-02,CC7,3
2023-09-02,CC9,1
2023-09-02,CD6j,1
2023-09-02,CD7,1
2023-09-02,CD8,1
2023-09-02,CD8J,1
2023-09-02,CDY-NX9B,2
2023-09-02,CE7,1
2023-09-02,CF7,2
2023-09-02,CG6,4
2023-09-02,CG8,1
2023-09-02,CH6h,1
2023-09-02,CH6i,3
2023-09-02,CH7n,1
2023-09-02,CHM-U01,2
2023-09-02,CI6,6
2023-09-02,CI6n,3
2023-09-02,CI8,2
2023-09-02,CK7n,1
2023-09-02,CLT-L04,2
2023-09-02,CLT-L29,4
2023-09-02,CMA-AN00,1
2023-09-02,CMA-LX1,1
2023-09-02,COR-AL10,1
2023-09-02,CP3320AS2,3
2023-09-02,CP3648AT,2
2023-09-02,CPH1605,1
2023-09-02,CPH1609,2
2023-09-02,CPH1613,1
2023-09-02,CPH1717,2
2023-09-02,CPH1723,1
2023-09-02,CPH1725,1
2023-09-02,CPH1729,3
2023-09-02,CPH1801,1
2023-09-02,CPH1803,14
2023-09-02,CPH1809,3
2023-09-02,CPH1819,2
2023-09-02,CPH1823,2
2023-09-02,CPH1853,2
2023-09-02,CPH1881,1
2023-09-02,CPH1893,1
2023-09-02,CPH1901,3
2023-09-02,CPH1903,2
2023-09-02,CPH1909,20
2023-09-02,CPH1911,4
2023-09-02,CPH1923,3
2023-09-02,CPH1931,3
2023-09-02,CPH1933,1
2023-09-02,CPH1937,9
2023-09-02,CPH1938,1
2023-09-02,CPH1969,2
2023-09-02,CPH1979,1
2023-09-02,CPH1989,2
2023-09-02,CPH2015,3
2023-09-02,CPH2021,2
2023-09-02,CPH2043,2
2023-09-02,CPH2059,2
2023-09-02,CPH2061,2
2023-09-02,CPH2069,2
2023-09-02,CPH2083,4
2023-09-02,CPH2095,3
2023-09-02,CPH2113,1
2023-09-02,CPH2127,3
2023-09-02,CPH2179,5
2023-09-02,CPH2185,8
2023-09-02,CPH2197,1
2023-09-02,CPH2203,1
2023-09-02,CPH2211,2
2023-09-02,CPH2217,1
2023-09-02,CPH2219,1
2023-09-02,CPH2223,1
2023-09-02,CPH2237,2
2023-09-02,CPH2239,6
