date,device,visits
2024-01-04,desktop,292209
2024-01-04,mobile,192914
2024-01-04,tablet,6021
2024-01-04,smart tv,49
2024-01-03,desktop,287836
2024-01-03,mobile,200542
2024-01-03,tablet,6054
2024-01-03,smart tv,41
2024-01-02,desktop,259255
2024-01-02,mobile,204493
2024-01-02,tablet,5927
2024-01-02,smart tv,45
2024-01-01,mobile,179172
2024-01-01,desktop,101440
2024-01-01,tablet,5862
2024-01-01,smart tv,36
2023-12-31,mobile,164230
2023-12-31,desktop,77976
2023-12-31,tablet,5091
2023-12-31,smart tv,32
2023-12-30,mobile,168262
2023-12-30,desktop,81118
2023-12-30,tablet,4889
2023-12-30,smart tv,32
2023-12-29,mobile,180692
2023-12-29,desktop,146879
2023-12-29,tablet,4999
2023-12-29,smart tv,32
2023-12-28,mobile,174042
2023-12-28,desktop,170344
2023-12-28,tablet,5001
2023-12-28,smart tv,27
2023-12-27,mobile,174227
2023-12-27,desktop,172942
2023-12-27,tablet,5076
2023-12-27,smart tv,32
2023-12-26,mobile,157967
2023-12-26,desktop,140041
2023-12-26,tablet,4599
2023-12-26,smart tv,40
2023-12-25,mobile,135913
2023-12-25,desktop,64525
2023-12-25,tablet,3975
2023-12-25,smart tv,33
2023-12-24,mobile,144659
2023-12-24,desktop,61551
2023-12-24,tablet,4343
2023-12-24,smart tv,37
2023-12-23,mobile,146922
2023-12-23,desktop,74946
2023-12-23,tablet,4682
2023-12-23,smart tv,31
2023-12-22,desktop,147626
2023-12-22,mobile,144997
2023-12-22,tablet,4492
2023-12-22,smart tv,38
2023-12-21,desktop,196637
2023-12-21,mobile,145729
2023-12-21,tablet,4614
2023-12-21,smart tv,41
2023-12-20,desktop,221595
2023-12-20,mobile,153622
2023-12-20,tablet,4963
2023-12-20,smart tv,23
2023-12-19,desktop,242919
2023-12-19,mobile,151917
2023-12-19,tablet,4976
2023-12-19,smart tv,39
2023-12-18,desktop,258288
2023-12-18,mobile,150948
2023-12-18,tablet,5231
2023-12-18,smart tv,38
2023-12-17,mobile,145121
2023-12-17,desktop,96111
2023-12-17,tablet,4910
2023-12-17,smart tv,41
2023-12-16,mobile,133057
2023-12-16,desktop,82633
2023-12-16,tablet,4272
2023-12-16,smart tv,22
2023-12-15,desktop,222837
2023-12-15,mobile,142922
2023-12-15,tablet,4608
2023-12-15,smart tv,33
2023-12-14,desktop,271115
2023-12-14,mobile,148604
2023-12-14,tablet,4981
2023-12-14,smart tv,22
2023-12-13,desktop,281124
2023-12-13,mobile,157290
2023-12-13,tablet,5257
2023-12-13,smart tv,39
2023-12-12,desktop,297581
2023-12-12,mobile,165147
2023-12-12,tablet,5203
2023-12-12,smart tv,33
2023-12-11,desktop,304270
2023-12-11,mobile,159730
2023-12-11,tablet,5178
2023-12-11,smart tv,45
2023-12-10,mobile,150228
2023-12-10,desktop,121891
2023-12-10,tablet,4971
2023-12-10,smart tv,40
2023-12-09,mobile,144284
2023-12-09,desktop,96934
2023-12-09,tablet,4722
2023-12-09,smart tv,33
2023-12-08,desktop,268073
2023-12-08,mobile,153488
2023-12-08,tablet,4975
2023-12-08,smart tv,24
2023-12-07,desktop,302831
2023-12-07,mobile,158207
2023-12-07,tablet,5533
2023-12-07,smart tv,24
2023-12-06,desktop,318197
2023-12-06,mobile,171302
2023-12-06,tablet,5798
2023-12-06,smart tv,33
