date,browser,visits
2024-01-04,Internet Explorer,111
2024-01-03,Internet Explorer,104
2024-01-02,Internet Explorer,123
2023-12-28,Internet Explorer,109
2023-12-27,Internet Explorer,120
2023-12-22,Internet Explorer,142
2023-12-18,Internet Explorer,126
2023-12-14,Internet Explorer,138
2023-12-13,Internet Explorer,159
2023-12-12,Internet Explorer,173
2023-12-11,Internet Explorer,195
2023-12-08,Internet Explorer,160
2023-12-07,Internet Explorer,176
2023-12-06,Internet Explorer,176
2023-12-05,Internet Explorer,187
2023-12-04,Internet Explorer,162
2023-12-01,Internet Explorer,150
2023-11-30,Internet Explorer,164
2023-11-29,Internet Explorer,205
2023-11-28,Internet Explorer,214
2023-11-27,Internet Explorer,185
2023-11-22,Internet Explorer,154
2023-11-21,Internet Explorer,221
2023-11-20,Internet Explorer,194
2023-11-17,Internet Explorer,189
2023-11-16,Internet Explorer,203
2023-11-15,Internet Explorer,206
2023-11-14,Internet Explorer,203
2023-11-13,Internet Explorer,206
2023-11-10,Internet Explorer,112
2023-11-09,Internet Explorer,146
2023-11-08,Internet Explorer,169
2023-11-07,Internet Explorer,227
2023-11-06,Internet Explorer,185
2023-11-03,Internet Explorer,194
2023-11-02,Internet Explorer,240
2023-11-01,Internet Explorer,236
2023-10-31,Internet Explorer,310
2023-10-30,Internet Explorer,263
2023-10-27,Internet Explorer,236
2023-10-26,Internet Explorer,245
2023-10-25,Internet Explorer,277
2023-10-24,Internet Explorer,280
2023-10-23,Internet Explorer,291
2023-10-20,Internet Explorer,251
2023-10-19,Internet Explorer,282
2023-10-18,Internet Explorer,290
2023-10-17,Internet Explorer,345
2023-10-16,Internet Explorer,328
2023-10-13,Internet Explorer,262
2023-10-12,Internet Explorer,307
2023-10-11,Internet Explorer,375
2023-10-10,Internet Explorer,310
2023-10-09,Internet Explorer,172
2023-10-08,Internet Explorer,124
2023-10-07,Internet Explorer,109
