date,language,visits
2024-01-04,English,462851
2024-01-04,Spanish,8949
2024-01-04,Chinese,4528
2024-01-04,French,1455
2024-01-04,German,1304
2024-01-04,Portuguese,1210
2024-01-04,Russian,940
2024-01-04,Korean,847
2024-01-04,Japanese,716
2024-01-04,Italian,652
2024-01-04,Turkish,492
2024-01-04,Dutch,440
2024-01-04,Arabic,437
2024-01-04,Vietnamese,348
2024-01-04,Polish,345
2024-01-04,Greek,277
2024-01-04,Indonesian,200
2024-01-04,Swedish,183
2024-01-04,Thai,177
2024-01-04,Ukrainian,163
2024-01-04,Czech,146
2024-01-04,Persian,129
2024-01-04,Danish,128
2024-01-04,Hungarian,122
2024-01-04,Norwegian Bokmål,122
2024-01-04,(other),118
2024-01-04,Hebrew,112
2024-01-04,Finnish,80
2024-01-04,Romanian,78
2024-01-04,Croatian,60
2024-01-04,Slovak,55
2024-01-04,Bulgarian,46
2024-01-04,Hindi,45
2024-01-04,Catalan,42
2024-01-04,Slovenian,40
2024-01-04,Serbian,33
2024-01-04,Lithuanian,29
2024-01-04,Latvian,17
2024-01-03,English,458097
2024-01-03,Spanish,9323
2024-01-03,Chinese,4531
2024-01-03,French,1534
2024-01-03,German,1336
2024-01-03,Portuguese,1179
2024-01-03,Russian,966
2024-01-03,Korean,786
2024-01-03,Italian,572
2024-01-03,Japanese,529
2024-01-03,Turkish,488
2024-01-03,Dutch,443
2024-01-03,Arabic,424
2024-01-03,Polish,335
2024-01-03,Vietnamese,323
2024-01-03,Indonesian,236
2024-01-03,Greek,234
2024-01-03,Swedish,186
2024-01-03,Thai,183
2024-01-03,Ukrainian,176
2024-01-03,Czech,154
2024-01-03,Hebrew,132
2024-01-03,Danish,130
2024-01-03,Persian,124
2024-01-03,Hungarian,121
2024-01-03,Norwegian Bokmål,114
2024-01-03,(other),90
2024-01-03,Finnish,80
2024-01-03,Romanian,72
2024-01-03,Croatian,69
2024-01-03,Slovak,59
2024-01-03,Serbian,51
2024-01-03,Bulgarian,47
2024-01-03,Hindi,38
2024-01-03,Catalan,36
2024-01-03,Slovenian,36
2024-01-03,Lithuanian,20
2024-01-03,Latvian,15
2024-01-02,English,438707
2024-01-02,Spanish,8493
2024-01-02,Chinese,4845
2024-01-02,French,1314
2024-01-02,German,1287
2024-01-02,Portuguese,1152
2024-01-02,Russian,941
2024-01-02,Korean,761
2024-01-02,Turkish,586
2024-01-02,Italian,545
2024-01-02,Dutch,463
2024-01-02,Arabic,427
2024-01-02,Japanese,320
2024-01-02,Polish,298
2024-01-02,Vietnamese,290
2024-01-02,Indonesian,223
2024-01-02,Greek,209
2024-01-02,Swedish,194
2024-01-02,Thai,147
2024-01-02,Hebrew,136
2024-01-02,Norwegian Bokmål,132
2024-01-02,Danish,131
2024-01-02,Persian,131
2024-01-02,Ukrainian,129
2024-01-02,Czech,116
2024-01-02,Hungarian,104
2024-01-02,(other),94
2024-01-02,Romanian,91
2024-01-02,Finnish,69
2024-01-02,Slovak,59
2024-01-02,Croatian,51
2024-01-02,Bulgarian,43
2024-01-02,Hindi,33
2024-01-02,Slovenian,30
2024-01-02,Serbian,26
2024-01-02,Lithuanian,25
2024-01-02,Catalan,23
2024-01-02,Central Khmer,13
2024-01-02,Malay,12
2024-01-02,Latvian,11
2024-01-01,English,272508
2024-01-01,Spanish,4906
2024-01-01,Chinese,3430
2024-01-01,French,907
2024-01-01,German,904
2024-01-01,Russian,721
2024-01-01,Korean,497
2024-01-01,Arabic,432
2024-01-01,Portuguese,431
2024-01-01,Turkish,367
2024-01-01,Italian,324
