date,browser,os,visits
2024-01-04,Chrome,Windows,139467
2024-01-04,Safari,iOS,109260
2024-01-04,Edge,Windows,60787
2024-01-04,Chrome,Android,60365
2024-01-04,Safari,Macintosh,23150
2024-01-04,Chrome,Chrome OS,23132
2024-01-04,Chrome,Macintosh,21657
2024-01-04,Chrome,iOS,14464
2024-01-04,Chrome,Linux,10339
2024-01-04,Safari (in-app),iOS,7901
2024-01-04,Firefox,Windows,6333
2024-01-04,Samsung Internet,Android,4392
2024-01-04,Android Webview,Android,2965
2024-01-04,Firefox,Macintosh,2342
2024-01-04,Firefox,Android,756
2024-01-04,Amazon Silk,Android,566
2024-01-04,Opera,Windows,477
2024-01-04,(not set),iOS,419
2024-01-04,Edge,Android,344
2024-01-04,Firefox,Linux,329
2024-01-04,Opera,Android,251
2024-01-04,Mozilla Compatible Agent,Macintosh,185
2024-01-04,Edge,Macintosh,153
2024-01-04,(not set),(not set),116
2024-01-04,Internet Explorer,Windows,111
2024-01-04,Samsung Internet,Linux,105
2024-01-03,Chrome,Windows,141288
2024-01-03,Safari,iOS,109741
2024-01-03,Chrome,Android,63018
2024-01-03,Edge,Windows,62206
2024-01-03,Safari,Macintosh,22778
2024-01-03,Chrome,Macintosh,21234
2024-01-03,Chrome,Chrome OS,18795
2024-01-03,Chrome,iOS,15074
2024-01-03,Chrome,Linux,10547
2024-01-03,Safari (in-app),iOS,8673
2024-01-03,Firefox,Windows,6340
2024-01-03,Samsung Internet,Android,4825
2024-01-03,Android Webview,Android,3257
2024-01-03,Firefox,Macintosh,2364
2024-01-03,Firefox,Android,822
2024-01-03,Amazon Silk,Android,562
2024-01-03,Opera,Windows,481
2024-01-03,(not set),iOS,433
2024-01-03,Edge,Android,372
2024-01-03,Firefox,Linux,306
2024-01-03,Mozilla Compatible Agent,Macintosh,234
2024-01-03,Opera,Android,220
2024-01-03,Edge,Macintosh,163
2024-01-03,(not set),(not set),129
2024-01-03,Samsung Internet,Linux,121
2024-01-03,Internet Explorer,Windows,104
2024-01-02,Chrome,Windows,122708
2024-01-02,Safari,iOS,113838
2024-01-02,Chrome,Android,63796
2024-01-02,Edge,Windows,61025
2024-01-02,Safari,Macintosh,22035
2024-01-02,Chrome,Macintosh,21427
2024-01-02,Chrome,iOS,15107
2024-01-02,Chrome,Chrome OS,11756
2024-01-02,Chrome,Linux,10465
2024-01-02,Safari (in-app),iOS,6651
2024-01-02,Firefox,Windows,6138
2024-01-02,Samsung Internet,Android,4944
2024-01-02,Android Webview,Android,3259
2024-01-02,Firefox,Macintosh,2262
2024-01-02,Firefox,Android,839
2024-01-02,Amazon Silk,Android,543
2024-01-02,(not set),iOS,467
2024-01-02,Opera,Windows,413
