date,os,visits
2024-01-04,Windows,209466
2024-01-04,iOS,130087
2024-01-04,Android,69173
2024-01-04,Macintosh,47763
2024-01-04,Chrome OS,23132
2024-01-04,Linux,10779
2024-01-04,(not set),241
2024-01-03,Windows,211461
2024-01-03,iOS,133597
2024-01-03,Android,73582
2024-01-03,Macintosh,47403
2024-01-03,Chrome OS,18795
2024-01-03,Linux,11073
2024-01-03,(not set),238
2024-01-02,Windows,189448
2024-01-02,iOS,137272
2024-01-02,Android,74483
2024-01-02,Macintosh,45637
2024-01-02,Chrome OS,11756
2024-01-02,Linux,10996
2024-01-02,(not set),226
2024-01-01,iOS,122763
2024-01-01,Android,68728
2024-01-01,Windows,54785
2024-01-01,Macintosh,31069
2024-01-01,Linux,10763
2024-01-01,Chrome OS,3281
2024-01-01,(not set),166
2023-12-31,iOS,108139
2023-12-31,Android,60791
2023-12-31,Windows,38452
2023-12-31,Macintosh,25076
2023-12-31,Linux,11505
2023-12-31,Chrome OS,2315
2023-12-31,(not set),141
2023-12-30,iOS,113753
2023-12-30,Android,61144
2023-12-30,Windows,43043
2023-12-30,Macintosh,25167
2023-12-30,Linux,10490
2023-12-30,Chrome OS,2367
2023-12-30,(not set),853
2023-12-29,iOS,120255
2023-12-29,Windows,105976
2023-12-29,Android,61115
2023-12-29,Macintosh,29532
2023-12-29,Linux,10135
2023-12-29,Chrome OS,2695
2023-12-29,(not set),216
2023-12-28,Windows,125807
2023-12-28,iOS,118073
2023-12-28,Android,60996
2023-12-28,Macintosh,31057
2023-12-28,Linux,10423
2023-12-28,Chrome OS,2784
2023-12-28,(not set),184
2023-12-27,Windows,121853
2023-12-27,iOS,114228
2023-12-27,Android,60279
2023-12-27,Macintosh,30682
2023-12-27,Linux,17229
2023-12-27,Chrome OS,2709
2023-12-27,(not set),151
2023-12-26,iOS,103343
2023-12-26,Windows,97760
2023-12-26,Android,57027
2023-12-26,Macintosh,27919
2023-12-26,Linux,10658
2023-12-26,Chrome OS,2373
2023-12-26,(not set),155
2023-12-25,iOS,86955
2023-12-25,Android,50553
2023-12-25,Windows,33260
2023-12-25,Macintosh,18164
2023-12-25,Linux,10738
2023-12-25,Chrome OS,1355
2023-12-25,(not set),132
2023-12-24,iOS,91110
2023-12-24,Android,57493
2023-12-24,Windows,31132
2023-12-24,Macintosh,18154
2023-12-24,Linux,12290
2023-12-24,Chrome OS,1447
2023-12-24,(not set),150
2023-12-23,iOS,97530
2023-12-23,Android,56152
2023-12-23,Windows,39730
2023-12-23,Macintosh,22073
2023-12-23,Linux,11654
2023-12-23,Chrome OS,1761
2023-12-23,(not set),174
2023-12-22,Windows,104629
2023-12-22,iOS,94801
2023-12-22,Android,53193
2023-12-22,Macintosh,27981
2023-12-22,Linux,10341
2023-12-22,Chrome OS,4692
2023-12-22,(not set),176
2023-12-21,Windows,146978
2023-12-21,iOS,96621
2023-12-21,Android,54827
2023-12-21,Macintosh,33522
2023-12-21,Linux,10624
2023-12-21,Chrome OS,9809
2023-12-21,(not set),210
2023-12-20,Windows,159605
2023-12-20,iOS,101066
2023-12-20,Android,55012
2023-12-20,Macintosh,38531
2023-12-20,Chrome OS,13827
2023-12-20,Linux,11227
2023-12-20,(not set),251
2023-12-19,Windows,173724
2023-12-19,iOS,103307
2023-12-19,Android,56389
2023-12-19,Macintosh,40484
2023-12-19,Chrome OS,18322
2023-12-19,Linux,11005
2023-12-19,(not set),280
2023-12-18,Windows,183480
2023-12-18,iOS,100945
2023-12-18,Android,55715
2023-12-18,Macintosh,43304
2023-12-18,Chrome OS,20149
2023-12-18,Linux,10910
2023-12-18,(not set),176
2023-12-17,iOS,96396
2023-12-17,Android,53769
2023-12-17,Windows,49433
2023-12-17,Macintosh,28913
2023-12-17,Linux,11870
2023-12-17,Chrome OS,4622
2023-12-17,(not set),168
2023-12-16,iOS,90687
2023-12-16,Android,51244
2023-12-16,Windows,45208
2023-12-16,Macintosh,24622
2023-12-16,Linux,10349
2023-12-16,Chrome OS,3097
2023-12-16,(not set),169
2023-12-15,Windows,158972
2023-12-15,iOS,96512
2023-12-15,Android,52556
2023-12-15,Macintosh,39129
2023-12-15,Chrome OS,22002
2023-12-15,Linux,10298
2023-12-15,(not set),171
2023-12-14,Windows,187603
2023-12-14,iOS,98045
2023-12-14,Android,54736
2023-12-14,Macintosh,46190
2023-12-14,Chrome OS,28772
2023-12-14,Linux,10392
2023-12-14,(not set),267
2023-12-13,Windows,195459
2023-12-13,iOS,104913
2023-12-13,Android,56133
2023-12-13,Macintosh,48465
2023-12-13,Chrome OS,29789
2023-12-13,Linux,10976
2023-12-13,(not set),172
2023-12-12,Windows,201387
2023-12-12,iOS,111698
2023-12-12,Android,57257
2023-12-12,Macintosh,53259
2023-12-12,Chrome OS,31507
2023-12-12,Linux,10659
2023-12-12,(not set),203
2023-12-11,Windows,207877
2023-12-11,iOS,102880
2023-12-11,Android,58610
2023-12-11,Macintosh,57563
2023-12-11,Chrome OS,30973
2023-12-11,Linux,11231
2023-12-11,(not set),501
2023-12-10,iOS,101352
2023-12-10,Windows,63579
2023-12-10,Android,55123
2023-12-10,Macintosh,40676
2023-12-10,Linux,12249
2023-12-10,Chrome OS,5772
2023-12-10,(not set),163
2023-12-09,iOS,93673
2023-12-09,Android,53178
2023-12-09,Windows,51877
2023-12-09,Macintosh,29593
2023-12-09,Linux,10187
2023-12-09,Chrome OS,3827
2023-12-09,(not set),177
2023-12-08,Windows,176128
2023-12-08,iOS,101510
2023-12-08,Android,56468
2023-12-08,Macintosh,49332
2023-12-08,Chrome OS,29983
2023-12-08,Linux,11225
2023-12-08,(not set),210
2023-12-07,Windows,203319
2023-12-07,iOS,103350
2023-12-07,Android,60400
2023-12-07,Macintosh,56126
2023-12-07,Chrome OS,33914
2023-12-07,Linux,11186
2023-12-07,(not set),210
2023-12-06,Windows,209920
2023-12-06,iOS,109673
2023-12-06,Android,63491
2023-12-06,Macintosh,60362
2023-12-06,Chrome OS,36006
2023-12-06,Linux,11068
2023-12-06,(not set),214
2023-12-05,Windows,210491
2023-12-05,iOS,109559
2023-12-05,Macintosh,62853
2023-12-05,Android,62344
2023-12-05,Chrome OS,37620
2023-12-05,Linux,10942
2023-12-05,(not set),278
2023-12-04,Windows,212234
2023-12-04,iOS,112452
2023-12-04,Macintosh,64983
2023-12-04,Android,63058
2023-12-04,Chrome OS,37564
2023-12-04,Linux,11176
2023-12-04,(not set),213
2023-12-03,iOS,110669
2023-12-03,Windows,67251
2023-12-03,Android,60435
2023-12-03,Macintosh,44861
2023-12-03,Linux,11803
2023-12-03,Chrome OS,6364
2023-12-03,(not set),139
2023-12-02,iOS,105112
2023-12-02,Android,61037
2023-12-02,Windows,56356
2023-12-02,Macintosh,34054
2023-12-02,Linux,10766
2023-12-02,Chrome OS,4036
2023-12-02,(not set),173
2023-12-01,Windows,186197
2023-12-01,iOS,109774
2023-12-01,Android,61124
2023-12-01,Macintosh,51386
2023-12-01,Chrome OS,32017
2023-12-01,Linux,10814
2023-12-01,(not set),180
2023-11-30,Windows,203934
2023-11-30,iOS,110247
2023-11-30,Macintosh,64265
2023-11-30,Android,62312
2023-11-30,Chrome OS,39995
2023-11-30,Linux,10631
2023-11-30,(not set),193
2023-11-29,Windows,209761
2023-11-29,iOS,111931
2023-11-29,Android,61403
2023-11-29,Macintosh,60729
2023-11-29,Chrome OS,40029
2023-11-29,Linux,10965
2023-11-29,(not set),298
2023-11-28,Windows,217343
2023-11-28,iOS,110479
2023-11-28,Macintosh,64495
2023-11-28,Android,58806
2023-11-28,Chrome OS,40728
2023-11-28,Linux,10963
2023-11-28,(not set),347
2023-11-27,Windows,220287
2023-11-27,iOS,114210
2023-11-27,Macintosh,63879
2023-11-27,Android,60487
2023-11-27,Chrome OS,34797
2023-11-27,Linux,10964
2023-11-27,(not set),181
2023-11-26,iOS,118285
2023-11-26,Windows,65901
2023-11-26,Android,60245
2023-11-26,Macintosh,40661
2023-11-26,Linux,11697
2023-11-26,Chrome OS,5217
2023-11-26,(not set),161
2023-11-25,iOS,120513
2023-11-25,Android,61097
2023-11-25,Windows,51972
2023-11-25,Macintosh,31988
2023-11-25,Linux,10557
2023-11-25,Chrome OS,3281
2023-11-25,(not set),148
2023-11-24,iOS,121785
2023-11-24,Windows,82531
2023-11-24,Android,62838
2023-11-24,Macintosh,31283
2023-11-24,Linux,10201
2023-11-24,Chrome OS,3413
2023-11-24,(not set),118
2023-11-23,iOS,138317
2023-11-23,Android,69829
2023-11-23,Windows,61055
2023-11-23,Macintosh,28754
2023-11-23,Linux,11100
2023-11-23,Chrome OS,2658
2023-11-23,(not set),139
2023-11-22,iOS,150641
2023-11-22,Windows,143906
2023-11-22,Android,73410
2023-11-22,Macintosh,43127
2023-11-22,Linux,11138
2023-11-22,Chrome OS,5935
2023-11-22,(not set),182
2023-11-21,Windows,199049
2023-11-21,iOS,147556
2023-11-21,Android,76075
2023-11-21,Macintosh,54149
2023-11-21,Chrome OS,18562
2023-11-21,Linux,11340
2023-11-21,(not set),172
2023-11-20,Windows,220960
2023-11-20,iOS,154025
2023-11-20,Android,78618
2023-11-20,Macintosh,60636
2023-11-20,Chrome OS,24506
2023-11-20,Linux,11790
2023-11-20,(not set),288
2023-11-19,iOS,152534
2023-11-19,Android,73140
2023-11-19,Windows,69080
2023-11-19,Macintosh,47455
2023-11-19,Linux,12629
2023-11-19,Chrome OS,5618
2023-11-19,(not set),181
2023-11-18,iOS,144095
2023-11-18,Android,73357
2023-11-18,Windows,58488
2023-11-18,Macintosh,37995
2023-11-18,Linux,11242
2023-11-18,Chrome OS,3963
2023-11-18,(not set),140
2023-11-17,Windows,182058
2023-11-17,iOS,165250
2023-11-17,Android,82887
2023-11-17,Macintosh,63441
2023-11-17,Chrome OS,30186
2023-11-17,Linux,11579
2023-11-17,(not set),461
2023-11-16,Windows,218288
2023-11-16,iOS,174168
2023-11-16,Android,79282
2023-11-16,Macintosh,72699
2023-11-16,Chrome OS,38659
2023-11-16,Linux,11854
2023-11-16,(not set),353
2023-11-15,Windows,210080
2023-11-15,iOS,134511
2023-11-15,Android,70727
2023-11-15,Macintosh,64569
2023-11-15,Chrome OS,39108
2023-11-15,Linux,11086
2023-11-15,(not set),253
2023-11-14,Windows,212677
2023-11-14,iOS,133957
2023-11-14,Android,65079
2023-11-14,Macintosh,64768
2023-11-14,Chrome OS,42682
2023-11-14,Linux,11682
2023-11-14,(not set),314
2023-11-13,Windows,217126
2023-11-13,iOS,126805
2023-11-13,Macintosh,66835
2023-11-13,Android,66185
2023-11-13,Chrome OS,40083
2023-11-13,Linux,12954
2023-11-13,(not set),515
2023-11-12,iOS,124589
2023-11-12,Windows,68934
2023-11-12,Android,62151
2023-11-12,Macintosh,42622
2023-11-12,Linux,13640
2023-11-12,Chrome OS,6056
2023-11-12,(not set),253
2023-11-11,iOS,116084
2023-11-11,Android,58459
2023-11-11,Windows,53724
2023-11-11,Macintosh,32221
2023-11-11,Linux,12383
2023-11-11,Chrome OS,3753
2023-11-11,(not set),253
2023-11-10,Windows,127360
2023-11-10,iOS,121745
2023-11-10,Android,61924
2023-11-10,Macintosh,48592
2023-11-10,Chrome OS,21426
2023-11-10,Linux,12481
2023-11-10,(not set),145
2023-11-09,Windows,229328
2023-11-09,iOS,131930
2023-11-09,Android,69952
2023-11-09,Macintosh,64091
2023-11-09,Chrome OS,37723
2023-11-09,Linux,13610
2023-11-09,(not set),212
2023-11-08,Windows,222812
2023-11-08,iOS,131134
2023-11-08,Android,69215
2023-11-08,Macintosh,66618
2023-11-08,Chrome OS,39671
2023-11-08,Linux,13729
2023-11-08,(not set),231
2023-11-07,Windows,219290
2023-11-07,iOS,133825
2023-11-07,Android,69555
2023-11-07,Macintosh,65147
2023-11-07,Chrome OS,31983
2023-11-07,Linux,13541
2023-11-07,(not set),154
2023-11-06,Windows,232447
2023-11-06,iOS,142187
2023-11-06,Android,75108
2023-11-06,Macintosh,67205
2023-11-06,Chrome OS,36443
2023-11-06,Linux,13474
2023-11-06,(not set),174
2023-11-05,iOS,147923
2023-11-05,Android,72841
2023-11-05,Windows,72528
2023-11-05,Macintosh,45936
2023-11-05,Linux,14916
2023-11-05,Chrome OS,6298
2023-11-05,(not set),124
2023-11-04,iOS,118644
2023-11-04,Android,62337
2023-11-04,Windows,58191
2023-11-04,Macintosh,32203
2023-11-04,Linux,13066
2023-11-04,Chrome OS,3831
2023-11-04,(not set),366
2023-11-03,Windows,178626
2023-11-03,iOS,119493
2023-11-03,Android,60906
2023-11-03,Macintosh,50106
2023-11-03,Chrome OS,28590
2023-11-03,Linux,12612
2023-11-03,(not set),208
2023-11-02,Windows,212742
2023-11-02,iOS,124150
2023-11-02,Macintosh,62786
2023-11-02,Android,61833
2023-11-02,Chrome OS,38733
2023-11-02,Linux,13652
2023-11-02,(not set),217
2023-11-01,Windows,216159
2023-11-01,iOS,117873
2023-11-01,Android,62199
2023-11-01,Macintosh,61814
2023-11-01,Chrome OS,38083
2023-11-01,Linux,14215
2023-11-01,(not set),233
2023-10-31,Windows,213266
2023-10-31,iOS,105719
2023-10-31,Macintosh,57922
2023-10-31,Android,57378
2023-10-31,Chrome OS,33306
2023-10-31,Linux,14023
2023-10-31,(not set),271
2023-10-30,Windows,225381
2023-10-30,iOS,124656
2023-10-30,Macintosh,69683
2023-10-30,Android,64628
2023-10-30,Chrome OS,38007
2023-10-30,Linux,13836
2023-10-30,(not set),184
2023-10-29,iOS,110802
2023-10-29,Windows,64799
2023-10-29,Android,57670
2023-10-29,Macintosh,41266
2023-10-29,Linux,14623
2023-10-29,Chrome OS,5972
2023-10-29,(not set),271
2023-10-28,iOS,108794
2023-10-28,Android,56988
2023-10-28,Windows,51130
2023-10-28,Macintosh,29162
2023-10-28,Linux,12985
2023-10-28,Chrome OS,3688
2023-10-28,(not set),415
2023-10-27,Windows,173084
2023-10-27,iOS,114677
2023-10-27,Android,61083
2023-10-27,Macintosh,47709
2023-10-27,Chrome OS,27615
2023-10-27,Linux,13074
2023-10-27,(not set),260
2023-10-26,Windows,205629
2023-10-26,iOS,120389
2023-10-26,Android,66138
2023-10-26,Macintosh,60776
2023-10-26,Chrome OS,37216
2023-10-26,Linux,12947
2023-10-26,(not set),216
2023-10-25,Windows,214192
2023-10-25,iOS,128146
2023-10-25,Android,70207
2023-10-25,Macintosh,61660
2023-10-25,Chrome OS,38218
2023-10-25,Linux,13440
2023-10-25,(not set),333
2023-10-24,Windows,217839
2023-10-24,iOS,126820
2023-10-24,Android,69869
2023-10-24,Macintosh,65180
2023-10-24,Chrome OS,38912
2023-10-24,Linux,13546
2023-10-24,(not set),214
2023-10-23,Windows,224234
2023-10-23,iOS,131426
2023-10-23,Android,69170
2023-10-23,Macintosh,65340
2023-10-23,Chrome OS,36996
2023-10-23,Linux,11918
2023-10-23,(not set),168
2023-10-22,iOS,128356
2023-10-22,Windows,67778
2023-10-22,Android,65823
2023-10-22,Macintosh,42343
2023-10-22,Linux,12160
2023-10-22,Chrome OS,5618
2023-10-22,(not set),167
2023-10-21,iOS,131022
2023-10-21,Android,68010
2023-10-21,Windows,53687
2023-10-21,Macintosh,32632
2023-10-21,Linux,12818
2023-10-21,Chrome OS,3818
2023-10-21,(not set),222
2023-10-20,Windows,170523
2023-10-20,iOS,131450
2023-10-20,Android,77520
2023-10-20,Macintosh,49041
2023-10-20,Chrome OS,24437
2023-10-20,Linux,13399
2023-10-20,(not set),195
2023-10-19,Windows,203268
2023-10-19,iOS,132775
2023-10-19,Android,80521
2023-10-19,Macintosh,61459
2023-10-19,Chrome OS,32943
2023-10-19,Linux,14233
2023-10-19,(not set),209
2023-10-18,Windows,198988
2023-10-18,iOS,133142
2023-10-18,Android,70139
2023-10-18,Macintosh,62665
2023-10-18,Chrome OS,35972
2023-10-18,Linux,14458
2023-10-18,(not set),143
2023-10-17,Windows,212940
2023-10-17,iOS,139323
2023-10-17,Android,76532
2023-10-17,Macintosh,65433
2023-10-17,Chrome OS,37581
2023-10-17,Linux,14516
2023-10-17,(not set),172
2023-10-16,Windows,220831
2023-10-16,iOS,136696
2023-10-16,Android,72591
2023-10-16,Macintosh,64929
2023-10-16,Chrome OS,34035
2023-10-16,Linux,15040
2023-10-16,(not set),211
2023-10-15,iOS,128832
