date,screen_resolution,visits
2024-01-04,1920x1080,85027
2024-01-04,390x844,39602
2024-01-04,1366x768,30105
2024-01-04,1536x864,27099
2024-01-04,1280x720,23737
2024-01-04,1440x900,19103
2024-01-04,414x896,16668
2024-01-04,428x926,15966
2024-01-04,430x932,13467
2024-01-04,393x852,13445
2024-01-04,375x812,13399
2024-01-04,800x600,11141
2024-01-04,412x915,9699
2024-01-04,1280x960,9344
2024-01-04,375x667,8485
2024-01-04,360x800,7164
2024-01-04,2560x1440,6361
2024-01-04,360x780,6077
2024-01-04,810x1080,5627
2024-01-04,1600x900,4863
2024-01-04,1920x1200,4777
2024-01-04,1280x800,4754
2024-01-04,1680x1050,4619
2024-01-04,412x892,3671
2024-01-04,320x693,3046
2024-01-04,1024x768,3032
2024-01-04,768x1024,2773
2024-01-04,384x824,2709
2024-01-04,384x854,2659
2024-01-04,1280x1024,2586
2024-01-04,385x854,2536
2024-01-04,1517x852,2439
2024-01-04,384x832,2302
2024-01-04,1536x960,2152
2024-01-04,412x883,2088
2024-01-04,384x857,2062
2024-01-04,820x1180,2034
2024-01-04,1470x956,2010
2024-01-04,412x869,1895
2024-01-04,3440x1440,1885
2024-01-04,414x736,1777
2024-01-04,1512x982,1776
2024-01-04,1024x1366,1608
2024-01-04,2048x1152,1537
2024-01-04,320x568,1504
2024-01-04,1300x730,1489
2024-01-04,360x760,1402
2024-01-04,393x873,1370
2024-01-04,432x960,1369
2024-01-04,1728x1117,1269
2024-01-04,834x1194,1225
2024-01-04,360x740,1175
2024-01-04,1600x1600,1173
2024-01-04,2560x1080,1125
2024-01-04,320x712,1121
2024-01-04,412x846,1035
2024-01-03,1920x1080,88825
2024-01-03,390x844,41751
2024-01-03,1536x864,27925
2024-01-03,1366x768,26380
2024-01-03,1280x720,23828
2024-01-03,1440x900,19318
2024-01-03,1280x960,17753
2024-01-03,414x896,17663
2024-01-03,428x926,17243
2024-01-03,375x812,13667
2024-01-03,430x932,13662
2024-01-03,393x852,13280
2024-01-03,412x915,9788
2024-01-03,375x667,8957
2024-01-03,360x800,7474
2024-01-03,800x600,7381
2024-01-03,2560x1440,6464
2024-01-03,360x780,6122
2024-01-03,1920x1200,4993
2024-01-03,810x1080,4910
2024-01-03,1600x900,4874
2024-01-03,1680x1050,4641
2024-01-03,1280x800,4594
2024-01-03,412x892,3771
2024-01-03,320x693,3160
2024-01-03,1024x768,3076
2024-01-03,384x824,3032
2024-01-03,768x1024,2910
2024-01-03,384x854,2783
2024-01-03,385x854,2719
2024-01-03,1280x1024,2658
2024-01-03,412x883,2328
2024-01-03,384x832,2281
2024-01-03,1536x960,2231
2024-01-03,1470x956,2084
2024-01-03,820x1180,2078
2024-01-03,384x857,2073
2024-01-03,412x869,2049
2024-01-03,3440x1440,2010
2024-01-03,1512x982,1895
2024-01-03,1517x852,1869
2024-01-03,414x736,1805
2024-01-03,1024x1366,1649
2024-01-03,2560x1080,1599
2024-01-03,360x760,1552
2024-01-03,2048x1152,1527
2024-01-03,320x568,1502
2024-01-03,393x873,1376
2024-01-03,432x960,1301
2024-01-03,1728x1117,1280
2024-01-03,834x1194,1275
2024-01-03,1600x1600,1273
2024-01-03,360x740,1216
2024-01-03,320x712,1181
2024-01-03,1300x730,1178
2024-01-03,412x846,1077
2024-01-03,360x640,1068
2024-01-02,1920x1080,84865
2024-01-02,390x844,43178
2024-01-02,1536x864,26554
2024-01-02,1280x720,22670
2024-01-02,1366x768,19296
2024-01-02,1440x900,18437
2024-01-02,414x896,16896
2024-01-02,428x926,16219
2024-01-02,375x812,13750
2024-01-02,393x852,13514
2024-01-02,430x932,13421
2024-01-02,412x915,10037
2024-01-02,375x667,8812
2024-01-02,800x600,7674
2024-01-02,360x800,7218
2024-01-02,2560x1440,6691
2024-01-02,360x780,6043
2024-01-02,1920x1200,4654
2024-01-02,1600x900,4460
2024-01-02,1680x1050,4278
2024-01-02,1280x800,4194
2024-01-02,810x1080,4162
2024-01-02,412x892,3787
2024-01-02,320x693,3057
2024-01-02,1024x768,2953
2024-01-02,384x824,2944
2024-01-02,768x1024,2883
2024-01-02,385x854,2879
2024-01-02,1280x960,2849
2024-01-02,384x854,2809
2024-01-02,1280x1024,2473
2024-01-02,384x832,2295
2024-01-02,412x883,2236
2024-01-02,1536x960,2141
2024-01-02,384x857,2130
2024-01-02,412x869,2081
2024-01-02,3440x1440,1962
2024-01-02,1470x956,1948
2024-01-02,820x1180,1937
2024-01-02,414x736,1774
2024-01-02,1512x982,1745
2024-01-02,1024x1366,1681
2024-01-02,360x760,1566
2024-01-02,1600x1600,1528
2024-01-02,2048x1152,1514
2024-01-02,2560x1080,1499
2024-01-02,320x568,1464
2024-01-02,432x960,1367
2024-01-02,393x873,1360
2024-01-02,1728x1117,1284
2024-01-02,360x740,1276
2024-01-02,320x712,1249
2024-01-02,834x1194,1211
2024-01-02,1517x852,1195
2024-01-02,412x846,1131
2024-01-02,360x640,1129
2024-01-01,390x844,37934
2024-01-01,1920x1080,16190
2024-01-01,414x896,15992
2024-01-01,428x926,15015
2024-01-01,393x852,13236
2024-01-01,375x812,12933
2024-01-01,1440x900,11628
2024-01-01,430x932,11468
2024-01-01,1536x864,10592
2024-01-01,412x915,9375
2024-01-01,375x667,8548
2024-01-01,1366x768,8430
2024-01-01,800x600,6932
2024-01-01,360x800,6834
2024-01-01,1280x720,6118
2024-01-01,360x780,5874
2024-01-01,412x892,3600
2024-01-01,810x1080,3421
2024-01-01,768x1024,3023
2024-01-01,320x693,3017
2024-01-01,1024x768,2957
2024-01-01,384x824,2750
2024-01-01,384x854,2563
2024-01-01,1280x800,2553
2024-01-01,385x854,2479
2024-01-01,2560x1080,2252
2024-01-01,2560x1440,2214
2024-01-01,384x832,2139
2024-01-01,412x883,2137
2024-01-01,412x869,1945
2024-01-01,820x1180,1931
2024-01-01,1600x900,1842
2024-01-01,384x857,1784
2024-01-01,1024x1366,1686
2024-01-01,414x736,1668
2024-01-01,360x760,1505
2024-01-01,320x568,1349
2024-01-01,834x1194,1286
2024-01-01,1470x956,1252
2024-01-01,432x960,1234
2024-01-01,360x740,1222
2024-01-01,1680x1050,1160
2024-01-01,393x873,1062
2024-01-01,320x712,1058
2024-01-01,1512x982,1034
2024-01-01,412x846,1028
2023-12-31,390x844,32896
2023-12-31,414x896,13672
2023-12-31,428x926,12726
2023-12-31,1920x1080,11603
2023-12-31,375x812,11023
2023-12-31,393x852,10970
2023-12-31,430x932,9998
2023-12-31,1440x900,9166
2023-12-31,412x915,8560
2023-12-31,800x600,7824
2023-12-31,1536x864,7789
2023-12-31,375x667,7366
2023-12-31,360x800,6261
2023-12-31,1366x768,5847
2023-12-31,360x780,4939
2023-12-31,1280x720,4479
2023-12-31,412x892,3248
2023-12-31,810x1080,2777
2023-12-31,320x693,2693
2023-12-31,1024x768,2658
2023-12-31,768x1024,2656
2023-12-31,384x824,2341
2023-12-31,384x854,2285
2023-12-31,385x854,2225
2023-12-31,1280x800,2001
2023-12-31,384x832,1913
2023-12-31,412x883,1735
2023-12-31,412x869,1724
2023-12-31,414x736,1681
2023-12-31,384x857,1649
2023-12-31,2560x1440,1644
2023-12-31,820x1180,1561
2023-12-31,1024x1366,1541
2023-12-31,1600x900,1407
2023-12-31,393x873,1389
2023-12-31,320x568,1319
2023-12-31,360x760,1247
2023-12-31,834x1194,1119
2023-12-31,432x960,1081
2023-12-31,320x712,1069
2023-12-31,360x740,1069
2023-12-31,1600x1600,1019
2023-12-30,390x844,34449
2023-12-30,414x896,13965
2023-12-30,428x926,13394
2023-12-30,1920x1080,12820
2023-12-30,393x852,12006
2023-12-30,375x812,11456
2023-12-30,430x932,10984
2023-12-30,1440x900,9826
2023-12-30,412x915,8433
2023-12-30,1536x864,8266
2023-12-30,375x667,7459
2023-12-30,800x600,7156
2023-12-30,1366x768,6741
2023-12-30,360x800,6153
2023-12-30,1280x720,5169
2023-12-30,360x780,4884
2023-12-30,412x892,3280
2023-12-30,1024x768,2803
2023-12-30,810x1080,2787
2023-12-30,320x693,2717
2023-12-30,768x1024,2625
2023-12-30,384x854,2300
2023-12-30,384x824,2285
2023-12-30,385x854,2081
2023-12-30,1280x800,2072
2023-12-30,384x832,1896
2023-12-30,412x883,1824
2023-12-30,2560x1440,1777
2023-12-30,412x869,1591
2023-12-30,820x1180,1531
2023-12-30,414x736,1527
2023-12-30,384x857,1524
2023-12-30,1600x900,1519
2023-12-30,1024x1366,1448
2023-12-30,320x568,1242
2023-12-30,360x760,1227
2023-12-30,393x873,1148
2023-12-30,834x1194,1062
2023-12-30,1600x1600,1053
2023-12-30,432x960,1037
2023-12-30,360x740,1033
2023-12-29,1920x1080,41277
2023-12-29,390x844,36817
2023-12-29,1536x864,15477
2023-12-29,414x896,14873
2023-12-29,428x926,14381
2023-12-29,1280x720,12356
2023-12-29,393x852,12333
2023-12-29,375x812,11718
2023-12-29,1440x900,11600
2023-12-29,430x932,10811
2023-12-29,1366x768,9084
2023-12-29,412x915,8451
2023-12-29,375x667,7809
2023-12-29,800x600,6499
2023-12-29,360x800,6119
2023-12-29,360x780,5125
2023-12-29,2560x1080,3896
2023-12-29,412x892,3329
2023-12-29,1280x960,3285
2023-12-29,2560x1440,3095
2023-12-29,810x1080,2793
2023-12-29,1024x768,2785
2023-12-29,1280x800,2760
2023-12-29,320x693,2737
2023-12-29,1600x900,2692
2023-12-29,384x824,2373
2023-12-29,768x1024,2372
2023-12-29,1600x1600,2347
2023-12-29,384x854,2296
2023-12-29,1680x1050,2186
2023-12-29,385x854,2116
2023-12-29,1920x1200,1977
2023-12-29,384x832,1900
2023-12-29,412x883,1806
2023-12-29,412x869,1649
2023-12-29,384x857,1627
2023-12-29,820x1180,1610
2023-12-29,414x736,1432
2023-12-29,1280x1024,1359
2023-12-29,1024x1366,1357
2023-12-29,360x760,1293
2023-12-29,320x568,1288
2023-12-29,1512x982,1211
2023-12-29,1470x956,1177
2023-12-29,1536x960,1177
2023-12-29,393x873,1174
2023-12-29,834x1194,1107
2023-12-29,432x960,1082
2023-12-29,360x740,1001
2023-12-28,1920x1080,52341
2023-12-28,390x844,36324
2023-12-28,1536x864,17714
2023-12-28,414x896,14944
2023-12-28,428x926,14513
2023-12-28,1280x720,14488
2023-12-28,1440x900,12925
2023-12-28,393x852,12043
2023-12-28,375x812,11917
2023-12-28,430x932,11519
2023-12-28,1366x768,10253
2023-12-28,800x600,9630
2023-12-28,412x915,8641
2023-12-28,375x667,7667
2023-12-28,360x800,6146
2023-12-28,360x780,5119
2023-12-28,2560x1440,3567
2023-12-28,412x892,3356
2023-12-28,1600x900,3097
2023-12-28,1280x800,3046
2023-12-28,1024x768,2829
2023-12-28,810x1080,2827
2023-12-28,320x693,2805
2023-12-28,1680x1050,2795
2023-12-28,1280x960,2734
2023-12-28,1920x1200,2640
2023-12-28,768x1024,2420
2023-12-28,384x824,2370
2023-12-28,384x854,2277
2023-12-28,385x854,2132
2023-12-28,1600x1600,2063
2023-12-28,384x832,1960
