domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.fs.usda.gov,2754176,2060497,4922415,1.7872550628572756,178.94878900623917,0.41658775619277782
www.fns.usda.gov,1088445,840969,2044293,1.8781775836169949,176.47210942210765,0.34532934599359638
www.usda.gov,1084183,816470,1308582,1.2069752062151868,116.16935743201007,0.49861693090557591
www.fsis.usda.gov,778061,558522,1172716,1.5072288676594765,141.76972676856698,0.48036722056496856
www.myplate.gov,752646,518879,2723598,3.61869723615086,312.41577792913262,0.36125615495199603
fdc.nal.usda.gov,676269,502576,920125,1.3605902384997686,162.96602491456505,0.49676386171774839
www.rd.usda.gov,531720,371150,1101437,2.0714605431430075,224.89610874871548,0.34020160986985631
www.fsa.usda.gov,445674,326279,761425,1.7084797407970849,159.41374828068049,0.501902736080633
www.ams.usda.gov,367128,207874,602962,1.6423754113006908,185.27984484525834,0.37584711599224246
www.nrcs.usda.gov,350953,230203,640282,1.8244095363196782,196.85342271346309,0.39865167130641427
www.ers.usda.gov,290103,217633,417891,1.440491825317215,187.92326995693597,0.42929924888746412
www.farmers.gov,229249,187866,298598,1.3025051363364726,114.2009670741857,0.64357968846101832
www.nal.usda.gov,225159,167116,358410,1.5918084553582135,159.15302982861445,0.41188226986263043
www.ars.usda.gov,183227,137290,270658,1.4771731240483117,162.28860294487706,0.36924143275827254
fas.usda.gov,120936,78711,187149,1.547504465171661,192.04413063480683,0.40418899252497187
www.nfc.usda.gov,91580,49506,109955,1.2006442454684429,181.58912959972704,0.4462218825070976
www.nass.usda.gov,90245,58061,186578,2.0674608011524183,215.85654815127714,0.30154579201063769
www.dietaryguidelines.gov,90025,75481,111190,1.2351013607331296,128.516900259639,0.47247986670369341
snaped.fns.usda.gov,78764,59926,100648,1.2778426692397542,142.53360411627136,0.49861611903915493
www.nutrition.gov,70311,56691,91832,1.306082974214561,149.73866409534776,0.38558689252037376
