domain,page,page_title,pageviews
www.myplate.gov,www.myplate.gov/widgets/myplate-plan-start,"MyPlate Daily Checklist | MyPlate",113677
www.myplate.gov,www.myplate.gov/,"MyPlate | U.S. Department of Agriculture",90120
www.usda.gov,www.usda.gov/,USDA,76613
www.fsis.usda.gov,www.fsis.usda.gov/recalls-alerts/valley-meats-llc-recalls-ground-beef-products-due-possible-e--coli-o157h7,"Valley Meats, LLC, Recalls Ground Beef Products Due to Possible E. Coli O157:H7 Contamination | Food Safety and Inspection Service",62077
www.fns.usda.gov,www.fns.usda.gov/snap/recipient/eligibility,"SNAP Eligibility | Food and Nutrition Service",47732
www.myplate.gov,www.myplate.gov/myplate-plan,"MyPlate Plan | MyPlate",40198
www.fns.usda.gov,www.fns.usda.gov/snap/state-directory,"SNAP State Directory of Resources | Food and Nutrition Service",35632
www.fns.usda.gov,www.fns.usda.gov/snap/supplemental-nutrition-assistance-program,"Supplemental Nutrition Assistance Program (SNAP) | Food and Nutrition Service",34126
aglearn.usda.gov,aglearn.usda.gov/pluginfile.php/639884/mod_scorm/content/1/page93037.html,Menu,33820
www.nal.usda.gov,www.nal.usda.gov/human-nutrition-and-food-safety/dri-calculator,"DRI Calculator for Healthcare Professionals | National Agricultural Library",31773
www.myplate.gov,www.myplate.gov/eat-healthy/what-is-myplate,USDA MyPlate What Is MyPlate?,30829
www.fsis.usda.gov,www.fsis.usda.gov/,"Home | Food Safety and Inspection Service",30772
www.nal.usda.gov,www.nal.usda.gov/human-nutrition-and-food-safety/dri-calculator/results,"DRI Calculator Results | National Agricultural Library",29664
www.fsis.usda.gov,www.fsis.usda.gov/recalls,"Recalls & Public Health Alerts | Food Safety and Inspection Service",28005
www.farmers.gov,www.farmers.gov/,Farmers.gov,24669
www.myplate.gov,www.myplate.gov/eat-healthy/fruits,USDA MyPlate Fruit Group – One of the Five Food Groups,24530
www.fs.usda.gov,www.fs.usda.gov/working-with-us/careers,"Careers | US Forest Service",23509
www.fs.usda.gov,www.fs.usda.gov/,"Home | US Forest Service",22477
www.rd.usda.gov,www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,"Single Family Housing Guaranteed Loan Program | Rural Development",20942
fdc.nal.usda.gov,fdc.nal.usda.gov/,FoodData Central,18741
