date,visits
2024-01-04,489966
2024-01-03,483577
2024-01-02,458976
2024-01-01,289223
2023-12-31,244098
2023-12-30,256539
2023-12-29,324199
2023-12-28,343933
2023-12-27,354182
2023-12-26,309671
2023-12-25,204449
2023-12-24,208159
2023-12-23,229021
2023-12-22,299879
2023-12-21,352272
2023-12-20,377433
2023-12-19,401826
2023-12-18,408615
2023-12-17,246114
2023-12-16,220761
2023-12-15,371206
2023-12-14,413125
2023-12-13,451287
2023-12-12,466774
2023-12-11,471438
2023-12-10,281680
2023-12-09,245803
2023-12-08,426858
2023-12-07,470703
2023-12-06,488178
2023-12-05,497594
2023-12-04,511619
2023-12-03,301858
2023-12-02,264807
2023-12-01,453100
2023-11-30,495952
2023-11-29,498674
2023-11-28,505528
2023-11-27,516552
2023-11-26,295115
2023-11-25,283314
2023-11-24,318623
2023-11-23,317777
2023-11-22,439145
2023-11-21,506137
2023-11-20,554420
2023-11-19,368005
2023-11-18,324400
2023-11-17,544870
2023-11-16,588385
2023-11-15,513422
2023-11-14,524018
2023-11-13,528270
2023-11-12,324678
2023-11-11,287211
2023-11-10,386017
2023-11-09,550316
2023-11-08,547763
2023-11-07,538438
2023-11-06,570909
2023-11-05,369812
2023-11-04,284657
2023-11-03,450034
2023-11-02,524357
2023-11-01,510506
2023-10-31,487765
2023-10-30,541071
2023-10-29,293373
2023-10-28,265619
2023-10-27,432565
2023-10-26,497774
2023-10-25,516178
2023-10-24,541887
2023-10-23,539607
2023-10-22,321270
2023-10-21,297068
2023-10-20,469517
2023-10-19,505603
2023-10-18,511258
2023-10-17,534472
2023-10-16,546051
2023-10-15,327461
2023-10-14,309328
2023-10-13,477917
2023-10-12,553434
2023-10-11,532593
2023-10-10,539623
2023-10-09,457554
2023-10-08,343977
2023-10-07,327689
