date,browser,os_version,visits
2024-01-04,Chrome,10,99776
2024-01-04,Edge,10,44095
2024-01-04,Chrome,11,33059
2024-01-04,Edge,11,15012
2024-01-04,Firefox,10,5853
2024-01-04,Chrome,7,1517
2024-01-04,Chrome,8.1,647
2024-01-04,Opera,10,444
2024-01-04,Firefox,7,193
2024-01-04,Internet Explorer,10,104
2024-01-03,Chrome,10,102212
2024-01-03,Edge,10,45830
2024-01-03,Chrome,11,33484
2024-01-03,Edge,11,14789
2024-01-03,Firefox,10,5779
2024-01-03,Chrome,7,1471
2024-01-03,Chrome,8.1,566
2024-01-03,Opera,10,441
2024-01-03,Firefox,7,231
2024-01-02,Chrome,10,82492
2024-01-02,Edge,10,45021
2024-01-02,Chrome,11,31888
2024-01-02,Edge,11,14157
2024-01-02,Firefox,10,5616
2024-01-02,Chrome,7,1311
2024-01-02,Chrome,8.1,501
2024-01-02,Opera,10,380
2024-01-02,Firefox,7,209
2024-01-02,Internet Explorer,10,108
2024-01-01,Chrome,10,22884
2024-01-01,Chrome,11,14328
2024-01-01,Edge,10,6203
2024-01-01,Edge,11,6035
2024-01-01,Firefox,10,2769
2024-01-01,Chrome,7,1082
2024-01-01,Chrome,8.1,476
2024-01-01,Opera,10,342
2024-01-01,Firefox,7,157
2023-12-31,Chrome,10,15389
2023-12-31,Chrome,11,10219
2023-12-31,Edge,11,4674
2023-12-31,Edge,10,4524
2023-12-31,Firefox,10,2108
2023-12-31,Chrome,7,894
2023-12-31,Chrome,8.1,286
2023-12-31,Opera,10,260
2023-12-31,Firefox,7,124
2023-12-30,Chrome,10,16569
2023-12-30,Chrome,11,11220
2023-12-30,Edge,10,5490
2023-12-30,Edge,11,4918
2023-12-30,Firefox,10,2262
2023-12-30,Chrome,7,1009
2023-12-30,Chrome,8.1,287
2023-12-30,Opera,10,263
2023-12-30,Firefox,7,121
2023-12-29,Chrome,10,50400
2023-12-29,Edge,10,22119
2023-12-29,Chrome,11,18533
2023-12-29,Edge,11,8665
2023-12-29,Firefox,10,3457
2023-12-29,Chrome,7,1233
2023-12-29,Chrome,8.1,508
2023-12-29,Opera,10,343
2023-12-29,Firefox,7,174
2023-12-28,Chrome,10,58021
2023-12-28,Edge,10,28249
2023-12-28,Chrome,11,21566
2023-12-28,Edge,11,10309
2023-12-28,Firefox,10,3797
2023-12-28,Chrome,7,1201
2023-12-28,Chrome,8.1,532
2023-12-28,Opera,10,350
2023-12-28,Firefox,7,177
2023-12-28,Internet Explorer,10,101
2023-12-27,Chrome,10,55093
2023-12-27,Edge,10,29629
2023-12-27,Chrome,11,22012
2023-12-27,Edge,11,10296
2023-12-27,Firefox,10,3879
2023-12-27,Chrome,7,1215
2023-12-27,Chrome,8.1,510
2023-12-27,Opera,10,379
2023-12-27,Firefox,7,183
2023-12-27,Internet Explorer,10,101
2023-12-26,Chrome,10,40971
2023-12-26,Edge,10,23349
2023-12-26,Chrome,11,17898
2023-12-26,Edge,11,8463
2023-12-26,Firefox,10,3307
2023-12-26,Chrome,7,1270
2023-12-26,Chrome,8.1,451
2023-12-26,Opera,10,354
2023-12-26,Firefox,7,180
2023-12-25,Chrome,10,14776
2023-12-25,Chrome,11,8013
2023-12-25,Edge,10,3685
2023-12-25,Edge,11,3323
2023-12-25,Firefox,10,1562
2023-12-25,Chrome,7,913
2023-12-25,Chrome,8.1,405
2023-12-25,Opera,10,248
2023-12-25,Firefox,7,119
2023-12-24,Chrome,10,12973
2023-12-24,Chrome,11,7513
2023-12-24,Edge,10,3524
2023-12-24,Edge,11,3483
2023-12-24,Firefox,10,1601
2023-12-24,Chrome,7,969
2023-12-24,Chrome,8.1,276
2023-12-24,Opera,10,237
2023-12-24,Firefox,7,113
2023-12-23,Chrome,10,16352
2023-12-23,Chrome,11,8788
