date,browser,visits
2023-12-12,Chrome,22705251
2023-12-12,Safari,17222950
2023-12-12,Edge,4341696
2023-12-12,Safari (in-app),1280854
2023-12-12,Firefox,893694
2023-12-12,Samsung Internet,710561
2023-12-12,Android Webview,596414
2023-12-12,Opera,91534
2023-12-12,Amazon Silk,62064
2023-12-12,(not set),54712
2023-12-12,Mozilla Compatible Agent,24822
2023-12-12,Internet Explorer,24420
2023-12-12,YaBrowser,9385
2023-12-12,Whale Browser,4008
2023-12-12,UC Browser,3420
2023-12-12,Opera Mini,3228
2023-12-12,Lynx,1856
2023-12-12,Coc Coc,1713
2023-12-12,Mozilla,936
2023-12-12,Android Runtime,847
2023-12-12,Aloha Browser,719
2023-12-12,DuckDuckGo Browser,459
2023-12-12,PaleMoon,446
2023-12-12,SeaMonkey,426
2023-12-12,Iron,368
2023-12-12,Android Browser,325
2023-12-12,Phoenix Browser,255
2023-12-12,Vivaldi,201
2023-12-12,Meta Quest Browser,121
2023-12-12,Waterfox,113
2023-12-12,Puffin,73
2023-12-12,Seznam,46
2023-12-12,BlackBerry,44
2023-12-12,Maxthon,33
2023-12-12,Nintendo Browser,26
2023-12-12,Netscape,23
2023-12-12,IE with Chrome Frame,21
2023-12-12,Konqueror,14
2023-12-12,BrowserNG,8
2023-12-12,NetFront,6
2023-12-12,Lunascape,5
2023-12-12,Nokia Browser,5
2023-12-12,Playstation Vita Browser,4
2023-12-12,Swing,4
2023-12-12,Galeon,3
2023-12-12,Blazer,2
2023-12-12,Camino,2
2023-12-12,RockMelt,2
2023-12-12,AdobeAIR,1
2023-12-12,CoolNovo,1
2023-12-12,MRCHROME,1
2023-12-12,Playstation 4,1
2023-12-12,YE,1
2023-12-11,Chrome,23763759
2023-12-11,Safari,18064871
2023-12-11,Edge,4574071
2023-12-11,Safari (in-app),1418840
2023-12-11,Firefox,970128
2023-12-11,Samsung Internet,772039
2023-12-11,Android Webview,646336
2023-12-11,Opera,93835
2023-12-11,Amazon Silk,67886
2023-12-11,(not set),48557
2023-12-11,Mozilla Compatible Agent,27491
2023-12-11,Internet Explorer,25245
2023-12-11,YaBrowser,8570
2023-12-11,Whale Browser,4312
2023-12-11,UC Browser,3625
2023-12-11,Lynx,3483
2023-12-11,Opera Mini,3357
2023-12-11,Coc Coc,1720
2023-12-11,Mozilla,987
2023-12-11,Android Runtime,964
2023-12-11,Aloha Browser,844
2023-12-11,PaleMoon,490
2023-12-11,SeaMonkey,456
2023-12-11,DuckDuckGo Browser,441
2023-12-11,Iron,425
