page_title,active_visitors
(other),97760
"National Institute of Standards and Technology | NIST",9841
National Weather Service,2585
NWS Radar,2522
Trademark Status & Document Retrieval,301
Weather Story,299
National Oceanic and Atmospheric Administration,270
Aviation Weather Center,213
North American Industry Classification System (NAICS) U.S. Census Bureau,207
National Forecast Maps,171
Baltimore/Washington,169
AWC - METeorological Aerodrome Reports (METARs),151
"Storm Prediction Center Jan 5, 2024 1300 UTC Day 1 Convective Outlook",144
NOAA/NWS Storm Prediction Center,128
"Weather | National Oceanic and Atmospheric Administration",117
"Boston / Norton, MA",114
Climate,114
Philadelphia/Mt Holly,102
National Forecast Charts,91
Storm Prediction Center Convective Outlooks,91
Time Series Viewer,91
United States Patent and Trademark Office,90
Winter Weather Experimental Probabilistic Snow and Ice,85
"Global Entry | U.S. Customs and Border Protection",84
"State College, PA",84
"Boston/Norton, MA Weather Forecast Office Winter Weather Forecasts",82
USPTO Pay - Choose Checkout Method,78
"New York, NY",74
Snow and Ice Forecasts & Services,74
National Hurricane Center,66
"NWS - Watch, Warning, Advisory Display",64
Border Wait Times,63
"Little Rock, AR",62
"Albany, NY",59
"Twin Cities, MN",59
Experimental Graphical Hazardous Weather Outlook,56
"Tulsa, OK",56
Aviation Weather Center GFA: Observations,52
CBP Customer Service,52
"Greenville-Spartanburg, SC",52
"Storm Prediction Center Jan 5, 2024 0700 UTC Day 2 Convective Outlook",50
"Omaha/Valley, NE",49
"Binghamton, NY",47
careers,47
"St. Louis, MO",44
"Wichita, Kansas",44
"Storm Prediction Center Jan 5, 2024 Day 4-8 Severe Weather Outlook",42
AWC - Terminal Aerodrome Forecasts (TAFs),41
Global Dossier - United States Patent and Trademark Office,40
Tide Predictions - NOAA Tides & Currents,40
"Blacksburg, VA",39
Winter Weather,39
NWS Weather & Hazards,38
GOES-East - Continental U.S. (CONUS) - NOAA / NESDIS / STAR,37
"Search our trademark database | USPTO",37
U.S. Census Bureau QuickFacts: United States,37
Weather Prediction Center (WPC) Home Page,37
7-Day Forecast 33.45N 112.07W,36
Article Detail,36
"How to Apply for Global Entry | U.S. Customs and Border Protection",36
New Radar Landing Page,36
"Storm Prediction Center Jan 5, 2024 0830 UTC Day 3 Severe Thunderstorm Outlook",36
"Chicago, IL",35
GOES-East CONUS - GeoColor - NOAA / NESDIS / STAR,34
My Congressional District,34
"Springfield, MO",34
USPTO Fee Processing - Payment Methods,34
WPC Probabilistic Winter Precipitation Guidance,34
"Gray - Portland, ME",33
"Norman, OK",33
"Pittsburgh, PA",33
Census Bureau Tables,32
"Kansas City/Pleasant Hill, MO",32
"Topeka, KS",32
Trademark Search,32
Aviation Weather Center GFA: G-AIRMETs,31
Census Geocoder,31
"Des Moines, IA",31
"Grand Forks, ND",31
"Albuquerque, NM",30
Aviation Weather Center GFA: Prog Chart,30
"Seattle/Tacoma, WA",30
GYX Winter Weather Forecasts,28
"Portland, OR",28
"Salt Lake City, UT",28
"Wakefield, VA",28
Probabilistic Winter Weather Forecasts,27
Search Results,27
Storm Prediction Center Forecast Products,27
"Water cycle | National Oceanic and Atmospheric Administration",27
"Milwaukee/Sullivan, WI",26
"Search Results | U.S. Customs and Border Protection",26
"U.S. Customs and Border Protection | U.S. Customs and Border Protection",26
"Burlington, VT",25
City State & Zipcode Search Page,25
WPC's Short Range Public Discussion,25
"Fort Worth/Dallas, TX",24
GOES Imagery Viewer - NOAA / NESDIS / STAR,24
Chemical Name Search,23
"Patent Public Search | USPTO",23
Central Illinois,22
"Raleigh, NC",22
AWC - Satellite,21
"Houston/Galveston, TX",21
Population Clock,21
Area Forecast Discussion,20
Aviation Weather Center GFA: Turbulence,20
"Buffalo, NY",20
Census.gov,20
"Denver/Boulder, CO",20
"Dodge City, KS",20
"Duluth, MN",20
"Global Entry Enrollment Centers | U.S. Customs and Border Protection",20
LADMF Search (LADMF),20
"Search for patents | USPTO",20
WPC Winter Weather Forecasts,20
Winter Weather Forecasts,20
AWC - Prog Charts,19
"Indianapolis, IN",19
"Los Angeles, CA",19
,18
BTV Winter Weather Forecasts,18
"CAMEO Chemicals | NOAA",18
"Sioux Falls, SD",18
USPTO Fee Processing,18
WPC 5- and 7-Day Total Quantitative Precipitation Forecasts,18
Weather Story from NWS Philadelphia/Mt Holly,18
Login (LADMF),17
"Spokane, WA",17
Storm Prediction Center - Current Convective Watches,17
"Trademarks | USPTO",17
USPTO Fee Processing - Maintenance Fee Details,17
"Wilmington, OH",17
7-Day Forecast 42.36N 71.07W,16
"Cryptographic Module Validation Program | CSRC",16
"Grand Junction, CO",16
"Green Bay, WI",16
NWS Phoenix,16
"Quad Cities, IA/IL",16
State Facts for Students,16
Text Product Viewer,16
7-Day Forecast 47.43N 121.41W,15
"Apply online | USPTO",15
Aviation Weather Center GFA: TAFs,15
"Detroit/Pontiac, MI",15
NWS Tucson Arizona,15
"Nashville, TN",15
"Rapid City, SD",15
"SPC HREF Ensemble Viewer - 1-hr QPF and dominant type, ens mean",15
Station Home Page - NOAA Tides & Currents,15
Subscription List (LADMF),15
WPC's Short Range Forecasts (Days 0.5 - 2.5) - NDFD Precipitation,15
7-Day Forecast 35.2N 111.65W,14
"Anchorage, AK",14
"Arrival/Departure Forms: I-94 and I-94W | U.S. Customs and Border Protection",14
Aviation Weather Center GFA: Icing,14
"Louisville, KY",14
MPEP,14
"Missoula, MT",14
Name Not Found,14
"Peachtree City, GA",14
"San Joaquin Valley, CA",14
Search USPTO.gov,14
"Trusted Traveler Programs | U.S. Customs and Border Protection",14
USPTO Fee Processing - View and Pay Fees,14
WPC Quantitative Precipitation Forecasts - Day 1,14
Weather Table,14
7-Day Forecast 35.13N 89.94W,13
"Bismarck, ND",13
