date,browser,visits
2024-01-04,Chrome,2305311
2024-01-04,Safari,1463628
2024-01-04,Edge,485300
2024-01-04,Firefox,178632
2024-01-04,Internet Explorer,71504
2024-01-04,Samsung Internet,67580
2024-01-04,Safari (in-app),32757
2024-01-04,Android Webview,21537
2024-01-04,Amazon Silk,19084
2024-01-04,Opera,7534
2024-01-04,(not set),4591
2024-01-04,Mozilla Compatible Agent,2042
2024-01-04,YaBrowser,550
2024-01-04,Whale Browser,396
2024-01-04,PaleMoon,263
2024-01-04,SeaMonkey,215
2024-01-04,UC Browser,151
2024-01-04,Mozilla,138
2024-01-04,Opera Mini,126
2024-01-04,DuckDuckGo Browser,125
2024-01-03,Chrome,2111075
2024-01-03,Safari,1372632
2024-01-03,Edge,442363
2024-01-03,Firefox,173925
2024-01-03,Samsung Internet,61720
2024-01-03,Internet Explorer,59083
2024-01-03,Safari (in-app),27628
2024-01-03,Android Webview,19160
2024-01-03,Amazon Silk,17998
2024-01-03,Opera,7310
2024-01-03,(not set),4400
2024-01-03,Mozilla Compatible Agent,1645
2024-01-03,YaBrowser,502
2024-01-03,Whale Browser,430
2024-01-03,PaleMoon,252
2024-01-03,SeaMonkey,167
2024-01-03,Opera Mini,142
2024-01-03,Mozilla,129
2024-01-03,UC Browser,120
2024-01-03,DuckDuckGo Browser,102
2024-01-02,Chrome,1979283
2024-01-02,Safari,1213417
2024-01-02,Edge,394619
2024-01-02,Firefox,160263
2024-01-02,Samsung Internet,55622
2024-01-02,Internet Explorer,35386
2024-01-02,Safari (in-app),24823
2024-01-02,Android Webview,17088
2024-01-02,Amazon Silk,16498
2024-01-02,Opera,6753
2024-01-02,(not set),4414
2024-01-02,Mozilla Compatible Agent,1594
2024-01-02,YaBrowser,512
2024-01-02,Whale Browser,422
2024-01-02,PaleMoon,224
2024-01-02,SeaMonkey,149
2024-01-02,Opera Mini,147
2024-01-02,Mozilla,123
2024-01-02,UC Browser,120
2024-01-01,Chrome,1302235
2024-01-01,Safari,1101629
2024-01-01,Edge,192141
