date,os,visits
2024-01-04,Windows,1762330
2024-01-04,iOS,1298578
2024-01-04,Android,746880
2024-01-04,Macintosh,533883
2024-01-04,Chrome OS,140800
2024-01-04,Linux,135645
2024-01-04,(not set),6454
2024-01-04,Tizen,502
2024-01-04,OS/2,384
2024-01-04,Firefox OS,243
2024-01-04,Fuchsia,187
2024-01-04,Playstation 4,109
2024-01-03,Windows,1693012
2024-01-03,iOS,1181639
2024-01-03,Android,695550
2024-01-03,Macintosh,516969
2024-01-03,Linux,133845
2024-01-03,Chrome OS,125533
2024-01-03,(not set),6100
2024-01-03,Tizen,479
2024-01-03,OS/2,336
2024-01-03,Firefox OS,219
2024-01-03,Fuchsia,154
2024-01-03,Playstation 4,104
2024-01-02,Windows,1520971
2024-01-02,iOS,1042834
2024-01-02,Android,622851
2024-01-02,Macintosh,471818
2024-01-02,Linux,138099
2024-01-02,Chrome OS,107360
2024-01-02,(not set),6236
2024-01-02,Tizen,464
2024-01-02,OS/2,304
2024-01-02,Firefox OS,183
2024-01-02,Fuchsia,152
2024-01-01,iOS,953662
2024-01-01,Windows,757235
2024-01-01,Android,580748
2024-01-01,Macintosh,357107
2024-01-01,Linux,131650
2024-01-01,Chrome OS,81911
2024-01-01,(not set),6500
2024-01-01,Tizen,462
2024-01-01,OS/2,335
2024-01-01,Firefox OS,170
2024-01-01,Fuchsia,131
2023-12-31,iOS,830700
2023-12-31,Windows,592664
2023-12-31,Android,515860
2023-12-31,Macintosh,316329
2023-12-31,Linux,125922
2023-12-31,Chrome OS,78658
2023-12-31,(not set),6133
2023-12-31,Tizen,393
2023-12-31,OS/2,289
2023-12-31,Firefox OS,155
2023-12-31,Playstation 4,111
2023-12-31,Fuchsia,104
2023-12-30,iOS,889568
2023-12-30,Windows,702985
2023-12-30,Android,540770
2023-12-30,Macintosh,350002
2023-12-30,Linux,126120
2023-12-30,Chrome OS,80792
2023-12-30,(not set),6249
2023-12-30,Tizen,412
2023-12-30,OS/2,317
2023-12-30,Firefox OS,168
2023-12-30,Fuchsia,113
2023-12-30,Playstation 4,106
2023-12-29,Windows,996519
2023-12-29,iOS,912545
2023-12-29,Android,548254
2023-12-29,Macintosh,365912
2023-12-29,Linux,130865
2023-12-29,Chrome OS,83218
2023-12-29,(not set),6660
2023-12-29,Tizen,453
2023-12-29,OS/2,322
2023-12-29,Firefox OS,181
2023-12-29,Fuchsia,139
2023-12-28,Windows,1195193
2023-12-28,iOS,966149
2023-12-28,Android,588703
2023-12-28,Macintosh,367818
2023-12-28,Linux,129425
2023-12-28,Chrome OS,82214
2023-12-28,(not set),5533
2023-12-28,Tizen,451
2023-12-28,OS/2,334
2023-12-28,Firefox OS,190
2023-12-28,Fuchsia,110
2023-12-28,Playstation 4,104
2023-12-27,Windows,1092046
2023-12-27,iOS,930363
2023-12-27,Android,582668
2023-12-27,Macintosh,378580
2023-12-27,Linux,126676
2023-12-27,Chrome OS,85314
2023-12-27,(not set),1319
2023-12-27,Tizen,428
2023-12-27,OS/2,315
2023-12-27,Firefox OS,195
2023-12-27,Fuchsia,122
2023-12-27,Playstation 4,102
2023-12-26,Windows,1016803
2023-12-26,iOS,1016754
2023-12-26,Android,634129
2023-12-26,Macintosh,380554
2023-12-26,Linux,120637
2023-12-26,Chrome OS,83109
2023-12-26,(not set),1357
2023-12-26,Tizen,453
2023-12-26,OS/2,312
2023-12-26,Firefox OS,192
2023-12-26,Fuchsia,120
2023-12-26,Playstation 4,105
2023-12-25,iOS,913864
2023-12-25,Windows,649472
2023-12-25,Android,614166
2023-12-25,Macintosh,296659
2023-12-25,Linux,119494
2023-12-25,Chrome OS,79667
2023-12-25,(not set),1254
2023-12-25,Tizen,443
2023-12-25,OS/2,330
2023-12-25,Firefox OS,176
2023-12-25,Playstation 4,108
2023-12-24,iOS,893548
2023-12-24,Windows,617752
2023-12-24,Android,581455
2023-12-24,Macintosh,301116
2023-12-24,Linux,118604
2023-12-24,Chrome OS,77823
2023-12-24,(not set),1232
2023-12-24,Tizen,414
2023-12-24,OS/2,352
2023-12-24,Firefox OS,182
2023-12-24,Fuchsia,148
2023-12-23,iOS,912440
2023-12-23,Windows,722583
2023-12-23,Android,561092
2023-12-23,Macintosh,324710
2023-12-23,Linux,117657
2023-12-23,Chrome OS,78264
2023-12-23,(not set),1427
2023-12-23,Tizen,422
2023-12-23,OS/2,334
2023-12-23,Firefox OS,208
2023-12-23,Fuchsia,134
2023-12-23,Playstation 4,103
2023-12-22,Windows,1028417
2023-12-22,iOS,891964
2023-12-22,Android,547357
2023-12-22,Macintosh,355200
2023-12-22,Linux,123072
2023-12-22,Chrome OS,85990
2023-12-22,(not set),2022
2023-12-22,Tizen,417
2023-12-22,OS/2,317
2023-12-22,Firefox OS,182
2023-12-22,Playstation 4,114
2023-12-22,Fuchsia,102
2023-12-21,Windows,1120028
2023-12-21,iOS,843421
2023-12-21,Android,527829
2023-12-21,Macintosh,377057
2023-12-21,Linux,120608
2023-12-21,Chrome OS,99741
2023-12-21,(not set),1429
2023-12-21,Tizen,422
2023-12-21,OS/2,297
2023-12-21,Firefox OS,158
2023-12-21,Fuchsia,112
2023-12-21,Playstation 4,106
2023-12-20,Windows,1228471
2023-12-20,iOS,830260
2023-12-20,Android,507311
2023-12-20,Macintosh,410006
2023-12-20,Linux,117773
2023-12-20,Chrome OS,113328
2023-12-20,(not set),1349
2023-12-20,Tizen,442
2023-12-20,OS/2,265
2023-12-20,Firefox OS,155
2023-12-20,Fuchsia,109
2023-12-19,Windows,1270404
2023-12-19,iOS,845423
2023-12-19,Android,519005
2023-12-19,Macintosh,413663
2023-12-19,Chrome OS,132222
2023-12-19,Linux,116827
2023-12-19,(not set),1384
2023-12-19,Tizen,429
2023-12-19,OS/2,261
2023-12-19,Firefox OS,160
2023-12-19,Fuchsia,120
2023-12-18,Windows,1440514
2023-12-18,iOS,1096301
2023-12-18,Android,699108
2023-12-18,Macintosh,500633
2023-12-18,Chrome OS,144881
2023-12-18,Linux,124129
2023-12-18,(not set),1394
2023-12-18,Tizen,499
2023-12-18,OS/2,397
2023-12-18,Firefox OS,219
2023-12-18,Fuchsia,182
2023-12-18,Playstation 4,111
2023-12-17,iOS,1098390
2023-12-17,Windows,820165
2023-12-17,Android,687467
2023-12-17,Macintosh,436945
2023-12-17,Linux,123842
2023-12-17,Chrome OS,95822
2023-12-17,(not set),1359
2023-12-17,Tizen,469
2023-12-17,OS/2,409
2023-12-17,Firefox OS,233
2023-12-17,Fuchsia,161
2023-12-17,Playstation 4,124
2023-12-16,iOS,900694
2023-12-16,Windows,743404
2023-12-16,Android,600266
2023-12-16,Macintosh,364530
2023-12-16,Linux,122029
2023-12-16,Chrome OS,88506
2023-12-16,(not set),1294
2023-12-16,Tizen,486
2023-12-16,OS/2,364
2023-12-16,Firefox OS,187
2023-12-16,Playstation 4,123
2023-12-16,Fuchsia,119
2023-12-15,Windows,1174878
2023-12-15,iOS,830771
2023-12-15,Android,536421
2023-12-15,Macintosh,398425
2023-12-15,Linux,131223
2023-12-15,Chrome OS,130999
2023-12-15,(not set),1481
2023-12-15,Tizen,469
2023-12-15,OS/2,299
2023-12-15,Firefox OS,191
2023-12-15,Fuchsia,110
2023-12-14,Windows,1241207
2023-12-14,iOS,779324
2023-12-14,Android,493668
2023-12-14,Macintosh,401047
2023-12-14,Chrome OS,145104
2023-12-14,Linux,130280
2023-12-14,(not set),1444
2023-12-14,Tizen,418
2023-12-14,OS/2,268
2023-12-14,Firefox OS,152
2023-12-14,Fuchsia,121
2023-12-13,Windows,1226135
2023-12-13,iOS,757214
2023-12-13,Android,492212
2023-12-13,Macintosh,412272
2023-12-13,Chrome OS,146056
2023-12-13,Linux,127270
2023-12-13,(not set),1712
2023-12-13,Tizen,402
2023-12-13,OS/2,309
2023-12-13,Firefox OS,160
2023-12-12,Windows,1261357
2023-12-12,iOS,711220
2023-12-12,Android,456865
2023-12-12,Macintosh,420146
2023-12-12,Chrome OS,149683
2023-12-12,Linux,129342
2023-12-12,(not set),1306
2023-12-12,Tizen,396
2023-12-12,OS/2,292
2023-12-12,Firefox OS,144
2023-12-12,Fuchsia,107
2023-12-11,Windows,1341233
2023-12-11,iOS,802271
2023-12-11,Android,521998
2023-12-11,Macintosh,472939
2023-12-11,Chrome OS,154838
2023-12-11,Linux,130078
2023-12-11,(not set),1482
2023-12-11,Tizen,430
2023-12-11,OS/2,305
2023-12-11,Firefox OS,135
2023-12-11,Fuchsia,129
2023-12-10,iOS,1124556
2023-12-10,Windows,854960
2023-12-10,Android,719578
2023-12-10,Macintosh,445451
2023-12-10,Linux,127822
2023-12-10,Chrome OS,96693
2023-12-10,(not set),1280
2023-12-10,Tizen,489
2023-12-10,OS/2,383
2023-12-10,Fuchsia,221
2023-12-10,Firefox OS,213
2023-12-10,Playstation 4,146
2023-12-09,iOS,1112639
2023-12-09,Windows,798739
2023-12-09,Android,721136
2023-12-09,Macintosh,401473
2023-12-09,Linux,125143
2023-12-09,Chrome OS,88559
2023-12-09,(not set),1287
2023-12-09,Tizen,510
2023-12-09,OS/2,435
2023-12-09,Firefox OS,217
2023-12-09,Fuchsia,202
