domain,visits
zeno.nist.gov,1320
www2.census.gov,12495
www.wrh.noaa.gov,77686
www.wrclib.noaa.gov,98
www.wpc.woc.noaa.gov,10
www.wpc.ncep.noaa.gov,529157
www.whitehouse.gov,66
www.weather.gov,8745034
www.water.noaa.gov,17
www.uspto.gov,506558
www.usitc.gov,3
www.usda.gov,3
www.uscis.gov,53
www.usa.gov,103
www.tsunami.noaa.gov,1604
www.tsp.gov,72
www.trade.gov.http.akamai-trials.com,4
www.trade.gov,527608
www.time.gov,629034
www.tidesandcurrents.noaa.gov,2211
www.test.ncdc.noaa.gov,8
www.test.census.gov,53
www.stopfakes.gov,5818
www.state.gov,39
www.star.nesdis.noaa.gov,574237
www.spc.noaa.gov,443277
www.space.commerce.gov.a.woc.noaa.gov,13
www.space.commerce.gov,1953
www.section508.gov,7
www.search.usa.gov,15
www.scijinks.gov,5
www.qa.coast.noaa.gov,9
www.privacyshield.gov,33530
www.pmel.noaa.gov,13027
www.physics.nist.gov,812
www.photolib.noaa.gov,372
www.papahanaumokuakea.gov,2825
www.osha.gov,5
www.opm.gov,2
www.oceanexplorer.noaa.gov,83
www.ntis.gov,42
www.nssl.noaa.gov,25718
www.nrcs.usda.gov,5
www.noaa.gov,1402258
www.nist.time.gov,853
www.nhc.noaa.gov,947407
www.ndbc.noaa.gov,610301
www.ncei.noaa.gov,183442
www.nccoe.nist.gov,23978
www.nasa.gov,45
www.mbda.gov,12800
www.marinecadastre.gov,140
www.library.doc.gov,143
www.justice.gov,20
www.itl.nist.gov,40693
www.itdashboard.gov,2
www.iocm.noaa.gov,56
www.history.navy.mil,4
www.grants.gov,19
www.gps.gov,27302
www.goes-r.gov,3358
www.glerl.noaa.gov,14977
www.fws.gov,4
www.fisheries.noaa.gov,212572
www.firstnet.gov,12195
www.faa.gov,3
www.export.gov,12326
www.epa.gov,4
www.ecofoci.noaa.gov,106
www.ecfr.gov,36
www.drought.gov,42178
www.dol.gov,4
www.doi.gov,3
www.dnsops.gov,21
www.dhs.gov,26
www.darrp.noaa.gov,87
www.ctcms.nist.gov,4917
www.cstl.nist.gov,167
www.csc.noaa.gov,127
www.cpsc.gov,4
www.coralreefwatch.noaa.gov,41
www.coralreef.noaa.gov,43
www.commerce.gov,234841
www.coast.noaa.gov,749
www.co-ops.nos.noaa.gov,20
www.climate.gov,206635
www.cisa.gov,19
www.cio.gov,2
www.charts.noaa.gov,11720
www.census.gov.edgekey.net,8
www.census.gov,1365581
www.cdfifund.gov,4
www.cdc.gov,12
www.cbp.gov,2184498
www.bls.gov,6
www.beringclimate.noaa.gov,177
www.aviationweather.gov,24
www-staging.goesr.woc.noaa.gov,18
www-search.uspto.gov,44841
www-search-aws.uspto.gov,11
www-pvt-web.etc.uspto.gov,2
www-pvt-cms.etc.uspto.gov,21
www-prod.goesr.woc.noaa.gov,43
www-preview.goesr.woc.noaa.gov,30
www-nlpir.nist.gov,4924
www-mo.weather.gov,27
www-live.goesr.woc.noaa.gov,40
www-dev.star1.nesdis.noaa.gov,23
www-dev.oceanexplorer.woc.noaa.gov,24
www-dev.goesr.woc.noaa.gov,8
wof.nssl.noaa.gov,102
webcache.googleusercontent.com,85
webbook.nist.gov,160773
webapp.ditd.census.gov,3
web31-2.ditd.census.gov,3
web31-1.ditd.census.gov,3
web3.acs.census.gov,7
web23-1.ditd.census.gov,5
weather.gov,3
wdob.stage.adsd.census.gov,10
wdob.dev.adsd.census.gov,517
water.noaa.gov,1271
water.ncep.noaa.gov,19
water.i.ncep.noaa.gov,18
w2.weather.gov,5732
videos.fisheries.noaa.gov,5481
usgv6-deploymon.antd.nist.gov,35
usatrade.census.gov,21
unitsml.nist.gov,10
uat.tidesandcurrents.noaa.gov,34
ttabcenter-sit.etc.uspto.gov,79
ttabcenter-pvt.etc.uspto.gov,86
tsunami.noaa.gov,193
tsunami.coast.noaa.gov,2370
tsdr.uspto.gov,288363
tsapps.nist.gov,205
tsapps-t.nist.gov,17
tsapps-i.nist.gov,966
tsapps-d.nist.gov,7
trecvid.nist.gov,262
trec.nist.gov,8244
trc.nist.gov,7762
travel.state.gov,407
translated.turbopages.org,33
trademarkcenter.uspto.gov,433
trade.cbp.gov,462
toolkit.climate.gov,8829
tmsearch.uspto.gov,28760
tmp.fisheries.noaa.gov,607
tmep.uspto.gov,7576
tmdesigncodes.uspto.gov,2216
timegov.nist.gov,1884
timegov.boulder.nist.gov,6120
time.gov,302979
time.glb.nist.gov,734
tigerweb.test.geo.census.gov,5
tigerweb.geo.census.gov,1171
tigerweb.dev.geo.census.gov,32
tidesandcurrents.noaa.gov,326551
thunderbay.noaa.gov,1507
tfsr.uspto.gov,198
testint.cbp.gov,8
testbed.aviationweather.gov,8
test-www.fisheries.noaa.gov,10
test-www-wpc.woc.noaa.gov,272
test-apps-st.fisheries.noaa.gov,3
tess2.uspto.gov,523
teddy.staging.search.usa.gov,3
teasi.uspto.gov,352
teas.uspto.gov,2682
teas-sec-fqt.etc.uspto.gov,2
teas-sec-app.uspto.gov,56
tcamt.nist.gov,2818
tbmp.uspto.gov,1631
tao.ndbc.noaa.gov,407
tac-dashboard.nist.gov,21
swfsc-publications.fisheries.noaa.gov,128
strbase-archive.nist.gov,2350
stellwagen.noaa.gov,1330
steel.trade.gov,17
staging.pmel.noaa.gov,16
staging.cbp.gov,41
staging-www-goesr.woc.noaa.gov,4
stage.trade.gov,38
stage.econ.census.gov,3
ssd.wrh.noaa.gov,81
srdata.nist.gov,9901
srdata-t.nist.gov,5
srdata-d.nist.gov,10
spcwebsite.spc.noaa.gov,21
sos.noaa.gov,22179
smstestbed.nist.gov,63
sit-tsdr.etc.uspto.gov,1790
shoreline.qa.coast.noaa.gov,26
shoreline.noaa.gov,619
shoreline.chs.coast.noaa.gov,20
shop.nist.gov,7264
share.america.gov,3
seqdata.uspto.gov,255
secatchshares.fisheries.noaa.gov,2344
search.uspto.gov,1079
search.usa.gov,28827
search.trade.gov,136
search.noaa.gov,232
search.export.gov,40
search.eda.gov,347
search.commerce.gov,3412
search.census.gov,3
search.bea.gov,3409
scijinks.gov,46386
satable.ncep.noaa.gov,1869
satable-cprk.ncep.noaa.gov,17
sanctuaries.noaa.gov,13613
samate.nist.gov,5
salesforce.trade.gov,65
saga.pmel.noaa.gov,121
sa.usembassy.gov,5
rulings.cbp.gov,377
rpki-monitor.antd.nist.gov,143
repository.library.noaa.gov,9098
rdms-tmep-vip.uspto.gov,209
rdms-tfsr-vip.uspto.gov,14
rdms-tbmp-vip.uspto.gov,11
rdms-mpep-vip.uspto.gov,6084
radar.weather.gov,3251996
radar-v2.weather.gov.akadns.net,2
radar-qa-cp.weather.gov,17
radar-cp.weather.gov,31
radar-bo.weather.gov,19
r.search.yahoo.com,2
qwiexplorer.ces.census.gov,403
qa.coralreef.noaa.gov,10
qa.coast.noaa.gov,63
qa-commerce9.d.commerce.gov,2
pvt-tsdr.etc.uspto.gov,1427
publicsafety.nist.gov,516
prod.tidesandcurrents.noaa.gov,8
preview.weather.gov,57
preview.climate.gov,779
preview-www-goesr.woc.noaa.gov,17
preview-radar.weather.gov,2673
preview-marine.weather.gov,16
preview-idp.weather.gov,52
preview-forecast.weather.gov,93
ppubs.uspto.gov,37867
ports.tidesandcurrents.noaa.gov,32
ports.noaa.gov,20
pml.nist.gov,250
pmel.noaa.gov,260
physics.nist.gov,25600
photolib.noaa.gov,1266
patentsgazette.uspto.gov,4465
patentcenter.uspto.gov,47007
pages.nist.gov,19719
origin.wpc.ncep.noaa.gov,36687
origin-west-www-wpc.woc.noaa.gov,34
origin-west-www-spc.woc.noaa.gov,28
origin-west-www-nhc.woc.noaa.gov,14
origin-east-www-wpc.woc.noaa.gov,31
origin-east-www-spc.woc.noaa.gov,28
origin-east-www-nhc.woc.noaa.gov,19
origin-east-02-drupal-climate.woc.noaa.gov,16
origin-east-01-wordpress-space.woc.noaa.gov,17
origin-east-01-drupal-climate.woc.noaa.gov,49
origin-climate-toolkit.woc.noaa.gov,32
opd-ui.uspto.gov,2149
onthemap.ces.census.gov,2610
olympiccoast.noaa.gov,599
old.tidesandcurrents.noaa.gov,59
ofac.treasury.gov,2
oedci.uspto.gov,29801
oceanwatch.noaa.gov,253
oceantoday.noaa.gov,28021
oceanservice.noaa.gov,405169
oceans.pmel.noaa.gov,38
oceanexplorer.noaa.gov,37766
nssl.noaa.gov,275
nps.nmfs.noaa.gov,140
nosimagery.noaa.gov,35
nosimagery.chs.coast.noaa.gov,18
nominate.noaa.gov,1117
nlte.nist.gov,1355
nist.time.gov,11249
nigos.nist.gov,99
nhc-vm-wwwdev01.nhc.noaa.gov,4
nessadmin.ntis.gov,13
nctr.pmel.noaa.gov,2124
ncc.nesdis.noaa.gov,389
my.uspto.gov,4278
mrms.nssl.noaa.gov,9859
mrms-dev.nssl.noaa.gov,16
mping.nssl.noaa.gov,938
mpep.uspto.gov,5842
montereybay.noaa.gov,22625
monitor.noaa.gov,10811
monitor.dnsops.gov,83
mobile.weather.gov,21
mmlweb.nist.gov,663
mdsdev.nist.gov,2
math.nist.gov,6544
marineprotectedareas.noaa.gov,8841
marinedebris.noaa.gov,12888
marinecadastre.qa.coast.noaa.gov,24
marinecadastre.gov,1817
marine.weather.gov,237315
marine-dev.ncep.noaa.gov,4
maps2.qa.coast.noaa.gov,23
maps2.coast.noaa.gov,27
maps1.qa.coast.noaa.gov,23
maps1.coast.noaa.gov,30
maps.qa.coast.noaa.gov,22
maps.coast.noaa.gov,122
manati.star.nesdis.noaa.gov,2827
maldi.nist.gov,2017
mag.ncep.noaa.gov,2
m.cameochemicals.noaa.gov,690
localhost,15
live-www-goesr.woc.noaa.gov,18
library.doc.gov,10240
lehdtest9.did.census.gov,22
lehdtest8.did.census.gov,22
lehdtest7.did.census.gov,20
lehdtest6.did.census.gov,22
lehdtest5.did.census.gov,22
lehdtest4.did.census.gov,20
lehdtest3.did.census.gov,21
lehdtest2.did.census.gov,22
lehdtest1.did.census.gov,25
lehdtest.did.census.gov,20
lehd.ces.census.gov,11096
legacy.export.gov,3368
ledextract.ces.census.gov,4319
ladmf.ntis.gov,3546
kw.usembassy.gov,2
kinetics.nist.gov,2896
j2jexplorer.ces.census.gov,4051
itl.nist.gov,510
itad.dev.dsd.census.gov,557
it.data.census.gov,506
iprs.cbp.gov,1737
iprr.cbp.gov,559
ipm.nist.gov,16
ipidentifier.uspto.gov,2243
iocm.noaa.gov,1275
internals.coast.noaa.gov,47
inside.nssl.noaa.gov,734
imagery2.qa.coast.noaa.gov,26
imagery2.coast.noaa.gov,32
imagery1.qa.coast.noaa.gov,23
imagery1.coast.noaa.gov,31
imagery.qa.coast.noaa.gov,26
imagery.coast.noaa.gov,34
icsd.nist.gov,1268
icsd-i.nist.gov,3
i94.cbp.dhs.gov,41
hwt.nssl.noaa.gov,173
home.treasury.gov,3
hmsworkshop.fisheries.noaa.gov,356
hmspermits.noaa.gov,3674
hl7v2-iz-r1-5-testing.nist.gov,2
hl7v2-igamt-2.nist.gov,79
hfradar.ndbc.noaa.gov,373
hfp.test.econ.census.gov,3
hfp.dev.econ.census.gov,13
helpspanish.cbp.gov,12913
help.cbp.gov,513693
hawaiihumpbackwhale.noaa.gov,6787
graysreef.noaa.gov,754
graphical.mdl.nws.noaa.gov,3050
grants.gov,8
goes-r.noaa.gov,11332
globaldossier.uspto.gov,68569
globaldossier-ui.uspto.gov,168
globaldossier-cloud-sit.etc.uspto.gov,3
globaldossier-cloud-fqt.etc.uspto.gov,36
globaldossier-cloud-dev.etc.uspto.gov,21
glerl.noaa.gov,6571
gis.dev.ncdc.noaa.gov,2
geocoding.geo.census.gov,26550
geocoding.dev.geo.census.gov,8
gams.nist.gov,18764
ftp.csc.noaa.gov,19
fsitraining.state.gov,2
fqt-tsdr.etc.uspto.gov,7711
fosterscholars.noaa.gov,3352
forecast.weather.gov,21448331
forecast-dev.ncep.noaa.gov,29
foiadocuments.uspto.gov,1198
flowsmapper.geo.census.gov,1009
flowergarden.noaa.gov,492
floridakeys.noaa.gov,40334
floats.pmel.noaa.gov,138
fits.nist.gov,21653
fisheriespermits.noaa.gov,9847
firstnet.gov,14295
ferret.pmel.noaa.gov,1303
feesqapvt.etc.uspto.gov,205
fees.uspto.gov,66737
fees-dmz-alx1.uspto.gov,2217
feeprocessingportal.uspto.gov,2317
fedv6-deployment.antd.nist.gov,57
farallones.noaa.gov,15538
f1.weather.gov,137
etas.uspto.gov,131
estta.uspto.gov,86
esta.cbp.dhs.gov,969
erulings.cbp.gov,23
equiphq.uspto.gov,135
epas.uspto.gov,1803
eospso.nasa.gov,2
enroll.recruiting.cbp.gov,2
emissary.edgenuity.com,5
embargo.data.census.gov,12
eisavpn.cbp.gov,93
egov.uscis.gov,3
edit.testint.cbp.gov,84
edit.staging.cbp.gov,123
edit.mbda.gov,9
edit.commerce.gov,150
edit.cbp.gov,161
edit-cldp.doc.gov,13
edges.nist.gov,138
ecofoci.noaa.gov,7231
ecc.nist.gov,22669
eastcoast.coastwatch.noaa.gov,205
earthobservatory.nasa.gov,2
eallegations.cbp.gov,411
e.drought.gov,30
dods.ndbc.noaa.gov,151
dnsops.gov,36
dlmf.nist.gov,14749
dkogan-docd8-stry0247157-commerce9.d.commerce.gov,9
dkogan-docd8-stry0245152-commerce9.d.commerce.gov,5
ditd-app061.compute.csp1.census.gov,6
ditd-app060.compute.csp1.census.gov,6
ditd-app059.compute.csp1.census.gov,6
ditd-app058.compute.csp1.census.gov,6
digital.mdl.nws.noaa.gov,3931
digital.gov,2
developer.uspto.gov,2034
dev.wrh.noaa.gov,481
dev.trade.gov,30
dev.tidesandcurrents.noaa.gov,28
dev.coast.noaa.gov,68
dev-www-wpc.woc.noaa.gov,16
dev-www-goesr.woc.noaa.gov,8
dev-west-www-wpc.woc.noaa.gov,17
dev-drupal9-climate.woc.noaa.gov,2
dev-apps-st.fisheries.noaa.gov,68
dev-02-drupal-climate.woc.noaa.gov,2
datapub.nist.gov,48
dataplumbing.nist.gov,11
data.pt.census.gov,24
data.preprod.census.gov,23
data.pmel.noaa.gov,60
data.noaa.gov,3410
data.nist.gov,2947
data.gov,6
data.fr.ditd.census.gov,2
data.fr.census.gov,125
data.er.ditd.census.gov,34
data.er.census.gov,331
data.dissdev3.census.gov,3
data.dissdev2.census.gov,2
data.dissdev1.census.gov,5
data.commerce.gov,40697
data.ci4.census.gov,3
data.ci3.census.gov,208
data.ci2.census.gov,3
data.ci1.census.gov,10
data.census.gov,121822
data.canary.census.gov,166
data.at.census.gov,236
darrp.noaa.gov,21676
cybertraining.uspto.gov,32
