domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.time.gov,www.time.gov/,"National Institute of Standards and Technology | NIST",87146541,1281542,644523,68.001314822300017,4882.0744728958725,0.32287353828434806
time.gov,time.gov/,"National Institute of Standards and Technology | NIST",76133932,701660,299379,108.5054485078243,8430.5120336841428,0.30883476327566056
radar.weather.gov,radar.weather.gov/,NWS Radar,15772592,4860440,2856974,3.2450955057566806,426.24017445290423,0.44013731267128081
www.weather.gov,www.weather.gov/,National Weather Service,11600572,9216648,3230331,1.2586541224097958,92.543136361408685,0.17272526844900662
forecast.weather.gov,forecast.weather.gov/MapClick.php,National Weather Service,3964800,3060709,1409742,1.2953861343891235,34.661502688003409,0.02583290342205025
www.noaa.gov,www.noaa.gov/,National Oceanic and Atmospheric Administration,2393578,2162347,822387,1.1069351958774425,60.342466534995737,0.49561564355767135
www.nhc.noaa.gov,www.nhc.noaa.gov/,National Hurricane Center,2272704,1705551,699177,1.332533591783535,231.98770879885842,0.59920401090322128
radar.weather.gov,radar.weather.gov/?settings=v1_eyJhZ2VuZGEiOnsiaWQiOm51bGwsImNlbnRlciI6Wy05NSwzN10sImxvY2F0aW9uIjpudWxsLCJ6b29tIjo0fSwiYW5pbWF0aW5nIjpmYWxzZSwiYmFzZSI6InN0YW5kYXJkIiwiYXJ0Y2MiOmZhbHNlLCJjb3VudHkiOmZhbHNlLCJjd2EiOmZhbHNlLCJyZmMiOmZhbHNlLCJzdGF0ZSI6ZmFsc2UsIm1lbnUiOnRydWUsInNob3J0RnVzZWRPbmx5IjpmYWxzZSwib3BhY2l0eSI6eyJhbGVydHMiOjAuOCwibG9jYWwiOjAuNiwibG9jYWxTdGF0aW9ucyI6MC44LCJuYXRpb25hbCI6MC42fX0%3D,NWS Radar,1170777,846746,378592,1.3826779223049179,1.5126283812397945,0.0018576999478001667
nist.time.gov,nist.time.gov/,"National Institute of Standards and Technology | NIST",1168803,22924,10988,50.985997208166111,3640.6241561210263,0.40193683475833186
www.weather.gov,www.weather.gov/wrh/timeseries,Time Series Viewer,1098303,488602,193371,2.2478479416785033,97.173484859399849,0.15969030008063823
timegov.boulder.nist.gov,timegov.boulder.nist.gov/,"National Institute of Standards and Technology | NIST",1068832,13702,6786,78.005546635527665,5601.0067713468216,0.40235002189461394
www.spc.noaa.gov,www.spc.noaa.gov/products/outlook/,Storm Prediction Center Convective Outlooks,1052578,269577,88535,3.9045541719063568,817.44574799542386,0.20394173093401885
www.cbp.gov,www.cbp.gov/travel/trusted-traveler-programs/global-entry,"Global Entry | U.S. Customs and Border Protection",1044281,894437,698282,1.1675288477556274,81.7303524855254,0.30214313584970209
aviationweather-cprk.ncep.noaa.gov,aviationweather-cprk.ncep.noaa.gov/metar/data,AWC - METeorological Aerodrome Reports (METARs),991331,69312,11420,14.302444021237303,7695.4192346065338,0.3021410433979686
www.spc.noaa.gov,www.spc.noaa.gov/,NOAA/NWS Storm Prediction Center,957658,664062,201290,1.4421213681855007,172.66399118462715,0.29615307004466451
aviationweather.gov,aviationweather.gov/,Aviation Weather Center,848851,733328,330739,1.1575325093273405,111.97011787819808,0.32095460694259592
www.weather.gov,www.weather.gov/idp/ridge2landing,New Radar Landing Page,818039,134553,61332,6.0796786396438582,848.58175072006827,0.21546899734677041
www.weather.gov,www.weather.gov/forecastmaps,National Forecast Maps,740229,525375,371923,1.4089536045681657,92.899849196527782,0.1601960504401618
aviationweather.gov,aviationweather.gov/data/metar/,Aviation Weather Center,673168,387923,113626,1.7353134513808153,91.34078367289267,0.18785944633342183
www.cbp.gov,www.cbp.gov/,"U.S. Customs and Border Protection | U.S. Customs and Border Protection",582874,487045,408256,1.1967579997741482,81.573009318461516,0.36128283834142638
