source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,59275488,249131892,22954731,4.20294965770674,351.13821218317571,0.46783218385312997
google,Organic Search,31694879,104001046,15259762,3.2813201779378933,304.30605535279153,0.37786678409467978
(not set),Unassigned,834113,30484844,688928,36.547618847805992,4391.9376151419483,0.948812690846444
bing,Organic Search,2154474,7774692,792680,3.6086265139426144,344.38425298199235,0.29476336219420612
yahoo,Organic Search,496530,1761613,208611,3.5478480655750912,299.44297984012451,0.29070751012023444
duckduckgo,Organic Search,528586,1402408,208095,2.6531311839511451,231.25373722593486,0.35353565928723046
(other),(other),3487277,994569,2736949,0.28519931166924795,28.193051429143427,0.47196795666074132
GetworkbyLinkup,Unassigned,249636,358714,217447,1.4369481965742121,90.428574689612077,0.53336057299427964
google,Paid Search,213397,316513,193771,1.4832120414063927,96.091673666775989,0.499524360698604
govdelivery,Email,115365,274023,73552,2.3752697958652971,230.47130989623366,0.43701295886967451
baidu,Organic Search,38575,106219,28864,2.7535709656513285,228.90608797399872,0.57879455605962415
ecosia.org,Organic Search,29409,77311,15304,2.6288211091842633,245.35900346176339,0.37974769628345062
talent.com,Unassigned,48869,65032,39399,1.3307413697845261,105.28254347254907,0.5309091653195277
aol,Organic Search,18884,57467,5723,3.0431582291887311,175.89069780644991,0.21017792840499894
instagram.com,Paid Social,37464,50018,36776,1.335095024556908,38.577068060724962,0.80402519752295543
facebook.com,Paid Social,45366,49536,40870,1.0919190583256182,30.869246282436183,0.85341445135123217
twitter.com,Paid Social,37672,42643,37226,1.1319547674665533,13.582445865868548,0.9114196220004247
indeed,Unassigned,12526,27632,10348,2.20597157911544,168.81776310202781,0.39956889669487466
newsletter,Email,18561,20372,17195,1.0975701740207964,26.222694147028715,0.76644577339583
linkedin.com,Paid Social,10413,17274,9752,1.65888792855085,71.039416170460015,0.66935561317583792
