date,browser,visits
2024-01-04,Chrome,814939
2024-01-04,Safari,393093
2024-01-04,Edge,323138
2024-01-04,Safari (in-app),25206
2024-01-04,Firefox,23984
2024-01-04,Samsung Internet,14836
2024-01-04,Android Webview,10947
2024-01-04,Internet Explorer,10056
2024-01-04,Opera,4414
2024-01-04,Mozilla Compatible Agent,2262
2024-01-04,Amazon Silk,1565
2024-01-04,(not set),1373
2024-01-04,Android Runtime,149
2024-01-04,YaBrowser,146
2024-01-04,Whale Browser,145
2024-01-04,Opera Mini,127
2024-01-03,Chrome,801689
2024-01-03,Safari,379827
2024-01-03,Edge,288929
2024-01-03,Safari (in-app),23893
2024-01-03,Firefox,23729
2024-01-03,Samsung Internet,13255
2024-01-03,Internet Explorer,8227
2024-01-03,Android Webview,8187
2024-01-03,Opera,4348
2024-01-03,Mozilla Compatible Agent,2275
2024-01-03,(not set),1268
2024-01-03,Amazon Silk,1093
2024-01-03,Whale Browser,139
2024-01-03,YaBrowser,113
2024-01-02,Chrome,595301
2024-01-02,Safari,348915
2024-01-02,Edge,211973
2024-01-02,Safari (in-app),21861
2024-01-02,Firefox,19987
2024-01-02,Samsung Internet,12522
2024-01-02,Android Webview,6933
2024-01-02,Opera,3911
2024-01-02,Mozilla Compatible Agent,2141
2024-01-02,(not set),1062
2024-01-02,Internet Explorer,994
2024-01-02,Amazon Silk,978
2024-01-02,Whale Browser,144
2024-01-02,YaBrowser,124
2024-01-02,Opera Mini,117
2024-01-01,Chrome,295531
2024-01-01,Safari,263400
2024-01-01,Edge,57015
2024-01-01,Safari (in-app),15727
2024-01-01,Firefox,10422
2024-01-01,Samsung Internet,9737
2024-01-01,Android Webview,5630
2024-01-01,Opera,3059
2024-01-01,Mozilla Compatible Agent,1779
2024-01-01,(not set),1240
2024-01-01,Amazon Silk,1004
2024-01-01,Internet Explorer,209
2024-01-01,Whale Browser,139
2023-12-31,Chrome,254526
2023-12-31,Safari,237914
2023-12-31,Edge,41051
2023-12-31,Safari (in-app),16259
2023-12-31,Samsung Internet,10080
2023-12-31,Firefox,8906
2023-12-31,Android Webview,8309
2023-12-31,(not set),3140
2023-12-31,Opera,2638
2023-12-31,Mozilla Compatible Agent,1723
2023-12-31,Amazon Silk,1436
