date,mobile_device,visits
2023-09-02,(not set),158132
2023-09-02,1,1
2023-09-02,1 Plus,1
2023-09-02,1.4,6
2023-09-02,100003561,1
2023-09-02,100003562,1
2023-09-02,100005206,1
2023-09-02,100011886,11
2023-09-02,100011886A,1
2023-09-02,100026191,1
2023-09-02,100044018P,1
2023-09-02,100071481,3
2023-09-02,100071483,5
2023-09-02,100071485,7
2023-09-02,10FHD1,1
2023-09-02,10FHD2,1
2023-09-02,10T,7
2023-09-02,11QHD1,1
2023-09-02,13 Lite,1
2023-09-02,1601,1
2023-09-02,1609,7
2023-09-02,1610,1
2023-09-02,16T,2
2023-09-02,1713,3
2023-09-02,1714,7
2023-09-02,1716,2
2023-09-02,1718,4
2023-09-02,1723,9
2023-09-02,1724,4
2023-09-02,1726,2
2023-09-02,1801,1
2023-09-02,1802,3
2023-09-02,1803,3
2023-09-02,1804,9
2023-09-02,1806,1
2023-09-02,1807,7
2023-09-02,1808,7
2023-09-02,1811,23
2023-09-02,1812,1
2023-09-02,1814,2
2023-09-02,1815,3
2023-09-02,1816,2
2023-09-02,1817,1
2023-09-02,1818,5
2023-09-02,1819,6
2023-09-02,1820,24
2023-09-02,1901,17
2023-09-02,1902,11
2023-09-02,1904,26
2023-09-02,1906,44
2023-09-02,1907,51
2023-09-02,1907_19,3
2023-09-02,1908,2
2023-09-02,1909,3
2023-09-02,1910,1
2023-09-02,1915,15
2023-09-02,1916,1
2023-09-02,1917,10
2023-09-02,1918,2
2023-09-02,1919,5
2023-09-02,1920,33
2023-09-02,1920_20,2
2023-09-02,1921,1
2023-09-02,1933,6
2023-09-02,1935,10
2023-09-02,1938,12
2023-09-02,1940,1
2023-09-02,1951,9
2023-09-02,2 Pro,1
2023-09-02,2 V,1
2023-09-02,2.1,1
2023-09-02,2.2,1
2023-09-02,2.3,3
2023-09-02,2.4,2
2023-09-02,2004,4
2023-09-02,2006,4
2023-09-02,2007,1
2023-09-02,2010,1
2023-09-02,2014811,1
2023-09-02,2014812,1
2023-09-02,2019,1
2023-09-02,2050,1
2023-09-02,2050RU,1
2023-09-02,21051182C,1
2023-09-02,21051182G,4
2023-09-02,21061110AG,18
2023-09-02,21061119AG,24
2023-09-02,21061119AL,10
2023-09-02,21061119BI,2
2023-09-02,21061119DG,14
2023-09-02,2106118C,2
2023-09-02,2107113SG,94
2023-09-02,2107113SI,2
2023-09-02,2107113SR,9
2023-09-02,21081111RG,66
2023-09-02,21091116AC,4
2023-09-02,21091116AG,14
2023-09-02,21091116AI,2
2023-09-02,21091116C,3
2023-09-02,21091116I,11
2023-09-02,21091116UC,1
2023-09-02,21091116UG,20
2023-09-02,2109119DG,48
2023-09-02,2109119DI,2
2023-09-02,211033MI,4
2023-09-02,21121119SC,2
2023-09-02,21121119SG,14
2023-09-02,21121119TL,3
2023-09-02,21121119VL,3
2023-09-02,21121210G,20
2023-09-02,2112123AG,7
2023-09-02,22011119TI,1
2023-09-02,22011119UY,23
2023-09-02,2201116PG,31
2023-09-02,2201116PI,2
2023-09-02,2201116SG,61
2023-09-02,2201116SI,2
2023-09-02,2201116SR,2
2023-09-02,2201116TG,71
2023-09-02,2201117PG,17
2023-09-02,2201117PI,3
2023-09-02,2201117SG,31
2023-09-02,2201117SI,4
2023-09-02,2201117SL,7
