date,browser,visits
2024-01-04,Internet Explorer,10056
2024-01-03,Internet Explorer,8227
2024-01-02,Internet Explorer,994
2024-01-01,Internet Explorer,209
2023-12-31,Internet Explorer,159
2023-12-30,Internet Explorer,236
2023-12-29,Internet Explorer,783
2023-12-28,Internet Explorer,1052
2023-12-27,Internet Explorer,1259
2023-12-26,Internet Explorer,655
2023-12-25,Internet Explorer,203
2023-12-24,Internet Explorer,171
2023-12-23,Internet Explorer,252
2023-12-22,Internet Explorer,814
2023-12-21,Internet Explorer,1281
2023-12-20,Internet Explorer,1335
2023-12-19,Internet Explorer,1435
2023-12-18,Internet Explorer,1401
2023-12-17,Internet Explorer,320
2023-12-16,Internet Explorer,286
2023-12-15,Internet Explorer,1185
2023-12-14,Internet Explorer,1511
2023-12-13,Internet Explorer,1701
2023-12-12,Internet Explorer,1831
2023-12-11,Internet Explorer,1825
2023-12-10,Internet Explorer,587
2023-12-09,Internet Explorer,458
2023-12-08,Internet Explorer,1347
2023-12-07,Internet Explorer,1739
2023-12-06,Internet Explorer,1846
2023-12-05,Internet Explorer,1868
2023-12-04,Internet Explorer,1925
2023-12-03,Internet Explorer,625
2023-12-02,Internet Explorer,544
2023-12-01,Internet Explorer,1412
2023-11-30,Internet Explorer,1862
2023-11-29,Internet Explorer,1894
2023-11-28,Internet Explorer,2071
2023-11-27,Internet Explorer,4017
2023-11-26,Internet Explorer,396
2023-11-25,Internet Explorer,317
2023-11-24,Internet Explorer,493
2023-11-23,Internet Explorer,368
2023-11-22,Internet Explorer,1676
2023-11-21,Internet Explorer,1898
2023-11-20,Internet Explorer,1832
2023-11-19,Internet Explorer,547
2023-11-18,Internet Explorer,426
2023-11-17,Internet Explorer,1426
2023-11-16,Internet Explorer,1668
2023-11-15,Internet Explorer,1966
2023-11-14,Internet Explorer,1880
2023-11-13,Internet Explorer,1534
2023-11-12,Internet Explorer,980
2023-11-11,Internet Explorer,1363
2023-11-10,Internet Explorer,1832
2023-11-09,Internet Explorer,10143
2023-11-08,Internet Explorer,12134
2023-11-07,Internet Explorer,12681
2023-11-06,Internet Explorer,12979
2023-11-05,Internet Explorer,2749
2023-11-04,Internet Explorer,2418
2023-11-03,Internet Explorer,9770
2023-11-02,Internet Explorer,13392
2023-11-01,Internet Explorer,13135
2023-10-31,Internet Explorer,11685
2023-10-30,Internet Explorer,12500
2023-10-29,Internet Explorer,2066
2023-10-28,Internet Explorer,2046
2023-10-27,Internet Explorer,9007
2023-10-26,Internet Explorer,12618
2023-10-25,Internet Explorer,13236
2023-10-24,Internet Explorer,13429
2023-10-23,Internet Explorer,13324
2023-10-22,Internet Explorer,2372
2023-10-21,Internet Explorer,2123
2023-10-20,Internet Explorer,9090
2023-10-19,Internet Explorer,13408
2023-10-18,Internet Explorer,13789
2023-10-17,Internet Explorer,13638
2023-10-16,Internet Explorer,13681
2023-10-15,Internet Explorer,2416
2023-10-14,Internet Explorer,2172
2023-10-13,Internet Explorer,9875
2023-10-12,Internet Explorer,12561
2023-10-11,Internet Explorer,13416
2023-10-10,Internet Explorer,12777
2023-10-09,Internet Explorer,2197
2023-10-08,Internet Explorer,1804
2023-10-07,Internet Explorer,1877
