domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.defense.gov,2510727,1921274,3778323,1.5028001849663464,137.18257731718279,0.48561830895991481
my.navy.mil,1421507,454412,1672385,1.1764746849646186,359.83757100732697,0.41614919940598255
www.dfas.mil,1187798,870174,2543434,2.1412664442944003,224.61526352171822,0.36573474614370455
www.travel.dod.mil,1056779,767021,2840832,2.6881940311077339,174.80553038842268,0.25965788495040115
www.marines.mil,1012272,618312,1780430,1.7562581993772426,164.0451035961508,0.51552053203091663
www.tricare.mil,926866,647589,2101038,2.2667656381828656,249.03633444079313,0.32532318587584397
www.militaryonesource.mil,911477,696888,1339703,1.4688127072871833,147.37120623199178,0.48491514322358109
home.army.mil,909453,607034,1440004,1.5829361165447802,183.02533586740293,0.46074508523255187
ipps-a.army.mil,859033,397278,1010168,1.1759164083335565,282.77317282002747,0.38902347174089935
www.af.mil,783973,647591,1125848,1.4324536686850184,124.28467691900644,0.51962503810717975
www.mynavyhr.navy.mil,656140,336339,1625478,2.4773386777212179,302.54436894764694,0.32657054896820803
tricare.mil,607687,443671,1401778,2.3067006534614038,243.20470123019845,0.32747779695797341
www.dla.mil,553263,439237,754010,1.3613887066368076,107.42765813597158,0.71979872140374468
www.navy.mil,552350,466391,872858,1.5771938082737396,113.12377700925053,0.57060740472526483
www.history.navy.mil,526548,430229,1013358,1.9132025950150793,177.389736759509,0.42156650485805663
armypubs.army.mil,489629,317364,1086032,2.2180589793496708,237.51835811482636,0.42597558559644139
www.dcsa.mil,465690,214339,635114,1.3638106895144839,213.68518031331641,0.53895939358800915
militarypay.defense.gov,428856,351107,776156,1.8097986270449755,175.90082350768785,0.38914927155035722
www.metoc.navy.mil,427318,112733,704733,1.6491933407906991,156.71035557859753,0.56563496038079375
www.mycg.uscg.mil,423135,122687,500753,1.183099956278729,165.5068888551763,0.51249837522303754
