domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.travel.dod.mil,www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/BAH-Rate-Lookup/,"Basic Housing Allowance | BAH Rate Lookup | Defense Travel Management Office",1622394,568686,429276,2.8528836651508915,159.80262999034025,0.18029633224661765
my.navy.mil,my.navy.mil/quick-links.html,Quick Links - MyNavy Portal,1391332,1383902,406491,1.0053688772759921,346.23339342141543,0.41435014907124929
ipps-a.army.mil,ipps-a.army.mil/,"The Integrated Personnel and Pay System - Army | Home",959119,833313,372520,1.150970883689562,280.75453588157569,0.38361576022454946
www.metoc.navy.mil,www.metoc.navy.mil/jtwc/jtwc.html,Joint Typhoon Warning Center (JTWC),704492,427058,110424,1.6496400957247026,146.76050091355745,0.56537051173376918
armypubs.army.mil,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,Army Publishing Directorate,479516,359012,238753,1.335654518511916,175.20842236832164,0.41801945338874469
www.mycg.uscg.mil,www.mycg.uscg.mil/,United States Coast Guard (USCG),384453,352804,69330,1.0897098672350654,153.16844300815717,0.52706885409462478
www.dcma.mil,www.dcma.mil/,Defense Contract Management Agency,350829,249818,32596,1.4043383583248605,308.06758420336308,0.503582608138725
www.defense.gov,www.defense.gov/,U.S. Department of Defense,345198,277226,135527,1.24518623794305,135.57101551754883,0.43111757194491135
www.marines.mil,www.marines.mil/,Marines.mil - Official website of the United States Marine Corps,296484,269274,208456,1.1010494886249693,48.493865006618954,0.64090851697527429
www.dfas.mil,www.dfas.mil/,Defense Finance Accounting Service (DFAS),273150,222022,167630,1.2302834854203637,146.09067658581552,0.27530154669357093
www.marines.mil,www.marines.mil/News/Messages/MARADMINS/,MARADMINS,258331,167623,46063,1.5411429219140571,207.50321580010856,0.33626053703847325
www.nro.gov,www.nro.gov/,> Home,254811,133608,16992,1.9071537632477098,476.03788412059225,0.52127866594814687
www.dla.mil,www.dla.mil/,The Nation's Combat Logistics Support Agency,252345,251892,243119,1.0018023597414765,8.2020196381280215,0.93634573547393329
www.dfas.mil,www.dfas.mil/RetiredMilitary/newsevents/newsletter/,Defense Finance and Accounting Service > RetiredMilitary > newsevents > newsletter,247564,197031,173943,1.2564723317650521,92.662037526465241,0.31927970725418842
my.navy.mil,my.navy.mil/,Home Page - MyNavy Portal,246988,201931,113674,1.2231306733488172,140.23363485730664,0.10952751187286747
www.navy.mil,www.navy.mil/,United States Navy - Home,226976,207752,185119,1.0925334052139088,41.967084020185254,0.76556663714428741
www.defense.gov,www.defense.gov/News/Contracts/,Contracts,216200,117141,95122,1.8456390162283061,73.962231787773433,0.36724972469075728
www.nsa.gov,www.nsa.gov/,"National Security Agency | Central Security Service",210496,177618,145622,1.1851051132205068,86.970067833926038,0.49968471663907937
www.militaryonesource.mil,www.militaryonesource.mil/all-the-ways/,"Free 24/7 Support for Military Life | Military OneSource",197433,168325,134820,1.1729333135303728,81.429426393252058,0.60094460121788207
www.shadesofgreen.org,www.shadesofgreen.org/,Home :: Shades of Green,193037,158032,110988,1.2214994431507542,119.89434023104991,0.49421636124329249
