source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,17791640,32009622,11515696,1.7991383593642858,205.14181361971671,0.388313668666857
(direct),Direct,11443459,20468108,8311815,1.7886294694637348,165.99284406412426,0.55488353652510136
bing,Organic Search,1990799,4021984,1082068,2.0202863272485065,289.02807160013845,0.39320845549952554
(not set),Unassigned,270579,690910,241225,2.5534501938435725,351.40840590327412,0.99963042216875664
yahoo,Organic Search,304757,661127,195969,2.1693578818534109,280.84896998990018,0.311772986346499
duckduckgo,Organic Search,219583,440124,158872,2.0043628149720152,210.43244953796969,0.35250451993096005
mnp public,Unassigned,212615,396785,50145,1.8662135785339697,472.34915859104007,0.38746090351104107
google,Paid Search,254035,378875,199302,1.4914283464876887,112.36417201532861,0.59012734465723227
(other),(other),1349408,345897,1264337,0.25633240650714978,30.328987807707524,0.43042282245251251
govdelivery,Email,53086,128048,38661,2.4120860490524807,250.27093047229025,0.44486305240553065
ActiveCampaign,Email,18635,35222,13475,1.8900992755567481,167.83134283182184,0.50147571773544408
gstv,Organic Video,207,21679,89,104.72946859903382,1833.60357531401,0.5748792270531401
baidu,Organic Search,5216,20766,3740,3.9812116564417179,244.522932919862,0.52473159509202449
email,Email,10355,15651,8385,1.5114437469821342,162.71864207609849,0.52457749879285365
aol,Organic Search,5449,14760,4160,2.7087538997981282,283.75538513323545,0.19379702697742704
ecosia.org,Organic Search,7660,14560,5235,1.9007832898172323,201.81097865104439,0.38133159268929506
infographic,Unassigned,87,13895,10,159.71264367816093,3245.1733477701146,0.18390804597701149
Iterable,Email,5739,11905,2690,2.0744032061334727,284.07279009008539,0.41209269907649415
leader-print-material,Unassigned,12,10628,4,885.66666666666663,18592.927770333332,0.25
mnp private,Unassigned,5334,9437,1894,1.7692163479565055,437.27845300206224,0.37570303712035996
