date,browser,os_version,visits
2024-01-04,Chrome,10,261186
2024-01-04,Edge,10,163576
2024-01-04,Chrome,11,65812
2024-01-04,Edge,11,62767
2024-01-04,Firefox,10,11284
2024-01-04,Internet Explorer,10,7154
2024-01-04,Chrome,7,4814
2024-01-04,Chrome,8,3080
2024-01-04,Opera,10,2081
2024-01-04,Chrome,8.1,732
2024-01-04,Firefox,7,401
2024-01-04,Edge,8.1,176
2024-01-04,Edge,7,148
2024-01-03,Chrome,10,272805
2024-01-03,Edge,10,134692
2024-01-03,Chrome,11,66333
2024-01-03,Edge,11,60470
2024-01-03,Firefox,10,11102
2024-01-03,Internet Explorer,10,5647
2024-01-03,Chrome,7,5002
2024-01-03,Opera,10,2175
2024-01-03,Chrome,8.1,728
2024-01-03,Firefox,7,436
2024-01-03,Edge,8.1,197
2024-01-03,Edge,7,157
2024-01-03,Chrome,8,145
2024-01-02,Chrome,10,190515
2024-01-02,Edge,10,94846
2024-01-02,Chrome,11,65526
2024-01-02,Edge,11,62118
2024-01-02,Firefox,10,10016
2024-01-02,Chrome,7,2863
2024-01-02,Opera,10,2296
2024-01-02,Chrome,8.1,811
2024-01-02,Internet Explorer,10,637
2024-01-02,Firefox,7,369
2024-01-02,Edge,8.1,207
2024-01-02,Edge,7,190
2024-01-02,Chrome,8,151
2024-01-01,Chrome,10,58767
2024-01-01,Chrome,11,36412
2024-01-01,Edge,11,28795
2024-01-01,Edge,10,24182
2024-01-01,Firefox,10,5977
2024-01-01,Chrome,7,2444
2024-01-01,Opera,10,2253
2024-01-01,Chrome,8.1,615
2024-01-01,Firefox,7,319
2024-01-01,Edge,7,182
2024-01-01,Chrome,8,131
2024-01-01,Edge,8.1,124
2024-01-01,Internet Explorer,10,118
2023-12-31,Chrome,10,42118
2023-12-31,Chrome,11,27753
2023-12-31,Edge,11,21359
2023-12-31,Edge,10,17823
2023-12-31,Firefox,10,5243
2023-12-31,Chrome,7,2105
2023-12-31,Opera,10,1927
2023-12-31,Chrome,8.1,474
2023-12-31,Firefox,7,300
2023-12-31,Edge,7,119
2023-12-31,Chrome,8,115
2023-12-30,Chrome,10,46706
2023-12-30,Chrome,11,30709
2023-12-30,Edge,11,23680
2023-12-30,Edge,10,21951
2023-12-30,Firefox,10,5738
2023-12-30,Chrome,7,2357
2023-12-30,Opera,10,2084
2023-12-30,Chrome,8.1,545
2023-12-30,Firefox,7,315
2023-12-30,Chrome,8,151
2023-12-30,Internet Explorer,10,147
2023-12-30,Edge,7,125
2023-12-30,Edge,8.1,116
2023-12-29,Chrome,10,123635
2023-12-29,Edge,10,58712
2023-12-29,Chrome,11,47152
2023-12-29,Edge,11,40377
2023-12-29,Firefox,10,7799
2023-12-29,Chrome,7,2719
2023-12-29,Opera,10,2156
2023-12-29,Chrome,8.1,765
2023-12-29,Internet Explorer,10,559
2023-12-29,Firefox,7,354
2023-12-29,Edge,7,163
2023-12-29,Chrome,8,126
2023-12-29,Edge,8.1,125
2023-12-28,Chrome,10,169561
2023-12-28,Edge,10,77926
2023-12-28,Chrome,11,57163
2023-12-28,Edge,11,51316
2023-12-28,Firefox,10,9901
2023-12-28,Chrome,7,3293
2023-12-28,Opera,10,2106
2023-12-28,Chrome,8.1,843
2023-12-28,Internet Explorer,10,674
2023-12-28,Firefox,7,425
2023-12-28,Edge,7,243
2023-12-28,Edge,8.1,205
2023-12-28,Chrome,8,153
2023-12-28,Firefox,8.1,103
2023-12-27,Chrome,10,174368
2023-12-27,Edge,10,73880
2023-12-27,Chrome,11,52948
2023-12-27,Edge,11,47238
2023-12-27,Firefox,10,8152
2023-12-27,Chrome,7,2928
2023-12-27,Opera,10,2117
2023-12-27,Internet Explorer,10,819
2023-12-27,Chrome,8.1,759
2023-12-27,Firefox,7,391
2023-12-27,Edge,8.1,168
2023-12-27,Edge,7,164
2023-12-27,Chrome,8,152
2023-12-26,Chrome,10,124657
2023-12-26,Edge,10,61179
2023-12-26,Chrome,11,47068
2023-12-26,Edge,11,40565
2023-12-26,Firefox,10,7258
2023-12-26,Chrome,7,2896
2023-12-26,Opera,10,1959
2023-12-26,Chrome,8.1,769
2023-12-26,Internet Explorer,10,451
2023-12-26,Firefox,7,390
2023-12-26,Edge,7,154
2023-12-26,Chrome,8,148
2023-12-26,Edge,8.1,124
2023-12-25,Chrome,10,41770
2023-12-25,Chrome,11,21215
2023-12-25,Edge,10,15817
2023-12-25,Edge,11,15478
2023-12-25,Firefox,10,4276
2023-12-25,Chrome,7,2650
2023-12-25,Opera,10,1778
2023-12-25,Chrome,8.1,656
2023-12-25,Firefox,7,289
2023-12-25,Internet Explorer,10,115
2023-12-25,Edge,7,113
2023-12-25,Chrome,8,107
2023-12-24,Chrome,10,37215
2023-12-24,Chrome,11,23855
2023-12-24,Edge,11,17127
2023-12-24,Edge,10,15406
2023-12-24,Firefox,10,4919
2023-12-24,Chrome,7,2210
2023-12-24,Opera,10,1991
2023-12-24,Chrome,8.1,544
2023-12-24,Firefox,7,288
2023-12-24,Edge,7,127
2023-12-24,Edge,8.1,106
2023-12-23,Chrome,10,42481
2023-12-23,Chrome,11,26580
2023-12-23,Edge,11,20304
2023-12-23,Edge,10,17382
2023-12-23,Firefox,10,5094
2023-12-23,Chrome,7,3095
2023-12-23,Opera,10,1931
2023-12-23,Chrome,8.1,583
2023-12-23,Firefox,7,290
2023-12-23,Internet Explorer,10,160
2023-12-23,Edge,7,103
2023-12-22,Chrome,10,131234
2023-12-22,Edge,10,60087
2023-12-22,Chrome,11,47600
2023-12-22,Edge,11,40474
2023-12-22,Firefox,10,7856
2023-12-22,Chrome,7,2940
2023-12-22,Opera,10,2186
2023-12-22,Chrome,8.1,746
2023-12-22,Internet Explorer,10,547
2023-12-22,Firefox,7,378
2023-12-22,Edge,7,173
2023-12-22,Chrome,8,115
2023-12-22,Edge,8.1,115
2023-12-21,Chrome,10,188352
2023-12-21,Edge,10,89633
2023-12-21,Chrome,11,53527
2023-12-21,Edge,11,47190
2023-12-21,Firefox,10,9160
2023-12-21,Chrome,7,2865
2023-12-21,Opera,10,2119
2023-12-21,Internet Explorer,10,815
2023-12-21,Chrome,8.1,767
2023-12-21,Firefox,7,369
2023-12-21,Edge,7,177
2023-12-21,Edge,8.1,170
2023-12-21,Chrome,8,119
2023-12-20,Chrome,10,202948
2023-12-20,Edge,10,94037
2023-12-20,Chrome,11,57618
2023-12-20,Edge,11,54996
