date,os_version,visits
2023-11-06,10,449148
2023-11-02,10,447576
2024-01-04,10,446973
2023-11-07,10,443781
2023-11-01,10,441712
2023-10-31,10,439450
2023-11-08,10,437452
2023-10-17,10,436442
2023-10-30,10,436303
2023-10-18,10,435610
2023-10-10,10,434200
2023-10-16,10,431220
2023-10-11,10,430364
2023-10-25,10,427369
2023-10-24,10,425795
2023-10-23,10,420430
2024-01-03,10,420286
2023-10-12,10,420188
2023-10-26,10,414962
2023-10-19,10,413222
2023-11-09,10,393211
2023-11-27,10,376735
2023-11-28,10,369281
2023-11-29,10,361941
2023-11-03,10,361926
2023-12-06,10,358239
2023-11-15,10,357622
2023-10-13,10,357461
2023-12-11,10,355149
2023-11-14,10,354823
2023-11-20,10,353994
2023-12-12,10,352813
2023-12-04,10,352733
2023-11-16,10,352531
2023-10-27,10,350557
2023-12-13,10,347765
2023-12-05,10,346787
2023-11-21,10,345987
2023-10-20,10,345227
2023-12-07,10,342421
2023-11-30,10,340763
2023-12-19,10,330741
2023-12-18,10,327693
2023-11-13,10,311654
2023-12-20,10,310506
2024-01-02,10,301240
2023-12-01,10,295972
2023-12-21,10,291452
2023-12-14,10,287223
2023-12-08,10,281345
2023-11-17,10,279701
2023-11-22,10,267064
2023-12-15,10,264243
2023-12-27,10,260910
2023-12-28,10,253342
2023-10-09,10,219832
2023-12-22,10,203579
2023-11-04,10,196433
2023-11-05,10,194821
2023-12-26,10,193484
2023-12-29,10,191931
2023-11-10,10,190929
2023-10-15,10,156726
2023-10-14,10,154258
2023-12-02,10,149422
2023-12-03,10,145162
2023-10-22,10,143422
2023-11-29,11,139155
2023-11-30,11,138136
2023-11-28,11,138134
2023-10-29,10,137562
2023-12-12,11,136805
2023-12-05,11,136474
2023-12-04,11,136348
2023-11-27,11,136340
2023-12-11,11,135401
2023-12-06,11,132426
2023-12-07,11,132027
2024-01-04,11,128301
2023-12-13,11,128057
2024-01-02,11,127940
2023-10-21,10,127506
2024-01-03,11,126421
2023-12-10,10,124725
2023-10-07,10,120547
2023-12-01,11,120532
2023-12-19,11,120532
2023-11-24,10,120001
2023-11-15,11,119691
2023-12-18,11,119424
2023-11-21,11,119000
2023-11-14,11,117541
2023-11-19,10,116871
2023-11-13,11,116110
2023-12-08,11,115472
2023-12-20,11,114554
2023-12-17,10,114359
2023-11-12,10,112678
2023-11-16,11,112021
2023-11-20,11,111650
2023-12-14,11,111142
2023-11-26,10,110421
2023-11-08,11,110161
2023-11-01,11,110020
2023-11-07,11,109807
2023-10-30,11,109112
2023-10-28,10,109066
2023-12-15,11,109064
2023-11-06,11,108768
2023-10-08,10,108656
2023-12-28,11,108232
2023-10-17,11,108055
2023-11-02,11,106006
2023-10-23,11,105880
2023-10-24,11,105432
2023-10-25,11,104726
2023-10-10,11,104698
2023-10-11,11,104581
2023-10-31,11,104439
2023-10-16,11,104172
2023-11-09,11,104120
2023-10-18,11,104017
2023-11-22,11,103454
2023-10-19,11,102209
2023-10-12,11,101885
2023-10-26,11,100206
2023-11-11,10,99229
2023-11-17,11,99160
2023-12-09,10,99012
2023-12-27,11,98142
2023-11-03,11,96981
2023-12-21,11,96608
2023-10-20,11,94241
2023-11-18,10,93365
2023-10-09,11,93302
2023-10-27,11,91504
2024-01-01,10,91262
