date,mobile_device,visits
2023-12-12,iPhone,17419857
2023-12-12,Chrome,10309732
2023-12-12,Safari,4723380
2023-12-12,Edge,4226037
2023-12-12,ChromeBook,1157490
2023-12-12,Firefox,698918
2023-12-12,(not set),687016
2023-12-12,iPad,352840
2023-12-12,SM-S908U,297198
2023-12-12,SM-S918U,289501
2023-12-12,SM-S901U,215113
2023-12-12,SM-G991U,183458
2023-12-12,SM-S911U,162291
2023-12-12,SM-G998U,150097
2023-12-12,SM-A146U,149306
2023-12-12,SM-S906U,119108
2023-12-12,SM-S916U,116886
2023-12-12,Pixel 7,93508
2023-12-12,SM-G996U,91069
2023-12-12,Pixel 6,89221
2023-12-12,Pixel 7 Pro,86133
2023-12-12,Pixel 6a,79891
2023-12-12,SM-G781U,79779
2023-12-12,SM-A326B,75530
2023-12-12,SM-A136U,72563
2023-12-12,Firefox for Android,71782
2023-12-12,SM-N986U,70339
2023-12-12,SM-S918U1,66069
2023-12-12,SM-G973U,64266
2023-12-12,moto g pure,64243
2023-12-12,Opera,64024
2023-12-12,SM-A037U,62618
2023-12-12,SM-S908U1,60463
2023-12-12,Moto G Stylus 5G,58468
2023-12-12,SM-G970U,56578
2023-12-12,Pixel 6 Pro,56066
2023-12-12,SM-G960U,53790
2023-12-12,SM-G975U,53426
2023-12-12,SM-G781V,52961
2023-12-12,Moto G Stylus 5G (2022),46665
2023-12-12,SM-G990U,45821
2023-12-12,Moto G 5G (2022),45682
2023-12-12,65E83GAVT,44878
2023-12-12,SM-A536U,43792
2023-12-12,SM-G986U,41953
2023-12-12,SM-N960U,39170
2023-12-12,SM-N981U,38535
2023-12-12,Moto G Power (2022),38307
2023-12-12,Pixel 8 Pro,38079
2023-12-12,SM-A037F,36595
2023-12-12,SM-G965U,36351
2023-12-12,SM-A546U,35919
2023-12-12,SM-N975U,35514
2023-12-12,SM-A125U,35464
2023-12-12,SM-G990U2,34384
2023-12-12,Moto G Power (2021),33148
2023-12-12,moto g play (2023),33115
2023-12-12,SM-F936U,32794
2023-12-12,Edge 5G UW,32130
2023-12-12,SM-F711U,30779
2023-12-12,SM-F721U,29661
2023-12-12,Pixel 7a,29068
2023-12-12,SM-G998U1,28525
2023-12-12,SM-G981U,28171
2023-12-12,SM-S136DL,26863
2023-12-12,SM-A716U,26817
2023-12-12,SM-A236U,26207
2023-12-12,SM-A526U,26141
2023-12-12,SM-G950U,26095
2023-12-12,SM-A426U,25304
2023-12-12,SM-F926U,25195
2023-12-12,SM-G991U1,23916
2023-12-12,SM-F731U,23506
2023-12-12,SM-G988U,23477
2023-12-12,SM-G781U1,23346
2023-12-12,SM-S918B,23010
2023-12-12,SM-S901U1,22867
2023-12-12,DE2118,22865
2023-12-12,moto g stylus 5G - 2023,22540
2023-12-12,SM-F946U,21578
2023-12-12,one 5G ace,21228
2023-12-12,SM-A135U,20781
2023-12-12,Internet Explorer,20573
2023-12-12,iPhone 13,20499
2023-12-12,moto g 5G - 2023,20467
2023-12-12,Moto G Stylus,20128
2023-12-12,Moto G Stylus (2022),19861
2023-12-12,iPhone 13 Pro Max,19482
2023-12-12,SM-N970U,19371
2023-12-12,iPhone 11,19302
2023-12-12,iPhone 14 Pro Max,19288
2023-12-12,Pixel 5,19249
2023-12-12,KFTRWI,18559
2023-12-12,Pixel 8,18505
2023-12-12,Pixel 4a,18391
2023-12-12,SM-N950U,18365
2023-12-12,SM-S911U1,17085
2023-12-12,SM-A515F,16803
2023-12-12,SM-N986U1,16779
2023-12-12,TMAF035G,16644
2023-12-12,SM-G960U1,16606
2023-12-12,SM-S906U1,16604
2023-12-12,SM-G973U1,16422
2023-12-12,SM-A325M,16381
2023-12-12,moto g play (2021),16333
2023-12-12,TMAF025G,16246
2023-12-12,SM-A217M,16174
2023-12-12,SM-S146VL,15946
2023-12-12,SM-A528B,15768
2023-12-12,SM-A102U,15319
2023-12-12,SM-A546E,15100
2023-12-12,SM-A536E,15064
2023-12-12,SM-G975U1,15011
2023-12-12,KFMAWI,14816
2023-12-12,SM-S536DL,14764
2023-12-12,SM-G955U,14605
2023-12-12,moto g stylus (2023),14533
2023-12-12,SM-G780F,14496
2023-12-12,SM-A515U,14483
2023-12-12,M2003J15SC,14454
2023-12-12,SM-A205U,14136
2023-12-12,SM-G970U1,13928
2023-12-12,Redmi Note 8,13471
2023-12-12,iPhone 12,13395
2023-12-12,SM-A715F,13234
2023-12-12,SM-S908E,13194
2023-12-12,SM-A135M,13107
2023-12-12,SM-S711U,13033
2023-12-12,SM-G996U1,13002
2023-12-12,SM-S916U1,12958
2023-12-12,M2004J19C,12957
