domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,Federal Student Aid,19781083,9434320,4846618,2.0967153965521628,140.09634859184035,0.15296142170288904
studentaid.gov,studentaid.gov/fsa-id/sign-in,Federal Student Aid,12093178,9887400,6066282,1.2230897910471914,113.6891156492913,0.01294667961243603
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing,"Log In | Federal Student Aid",8855774,7537782,4668345,1.1748514350773211,96.2188338414826,0.083300498740876291
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step,"Two-Step Verification Log-in | Federal Student Aid",7607322,7054793,4420985,1.0783198032883459,50.628474620486159,0.011929336551759918
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/sms,"Verify Two-Step Log-in - SMS | Federal Student Aid",5883722,5645985,3712298,1.0421072673767289,32.451525976362092,0.0064521956753338877
studentaid.gov,studentaid.gov/,Federal Student Aid,4506254,3610387,2709065,1.2481357261700754,95.444561357202062,0.11069284262324233
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"FAFSA® Application | Federal Student Aid",4128098,10639450,5451183,0.38799919168754021,147.61572270600965,0.135422977691516
studentaid.gov,studentaid.gov/announcements-events/fafsa-support,Federal Student Aid,4055971,3342195,2445983,1.2135653365527745,38.96292805428422,0.0873859843605774
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"Waiting Room | Federal Student Aid",2938902,612869,530354,4.7953167805844314,311.07776950121581,0.12334773010219149
studentaid.gov,studentaid.gov/aid-summary/loans,"Aid Summary | Loans | Federal Student Aid",2289360,1657460,1370708,1.3812460029201308,97.99326810635884,0.013488711643116576
studentaid.gov,studentaid.gov/aid-summary,Federal Student Aid,2023151,1675993,1419064,1.2071357099940154,142.76879074294064,0.0098067235364348183
studentaid.gov,studentaid.gov/,"Home | Federal Student Aid",1646479,4230090,3030791,0.38923025278421974,59.762323401553104,0.10182265625554066
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles?redirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles,"Log In | Federal Student Aid",1572113,1286300,1088808,1.2221977765684522,16.206389133656998,0.010621161470885486
studentaid.gov,studentaid.gov/fsa-id/create-account/launch,"Create Account | Federal Student Aid",1392154,1083752,917169,1.2845687943367117,45.30662133627709,0.030714591530165574
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/email,"Verify Two-Step Log-In - Email | Federal Student Aid",1174629,1092245,800592,1.0754272164212242,89.675330598046841,0.010721953407889256
studentaid.gov,studentaid.gov/fsa-id/lost-credentials/new-password,"Reset Your Password | Federal Student Aid",1142180,1103293,1029107,1.0352472099433243,56.472884994288322,0.0071848547937855131
studentaid.gov,studentaid.gov/fsa-id/sign-in/account-lookup,"Account Lookup | Federal Student Aid",1049210,930952,892867,1.1270291056896595,77.229097272840235,0.0095858862755544855
studentaid.gov,studentaid.gov/fsa-id/create-account,Federal Student Aid,1039195,825395,716557,1.2590274959261929,95.6945928514515,0.021148662155695153
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FcontinueTo=fafsa?continueTo=fafsa,"Log In | Federal Student Aid",1009232,936060,762634,1.0781691344571929,9.91272188109752,0.0109106253872615
studentaid.gov,studentaid.gov/fsa-id/sign-in,"Log In | Federal Student Aid",1006870,981419,809759,1.0259328584427243,217.24004641253362,0.25719188236624724
studentaid.gov,studentaid.gov/,"Waiting Room | Federal Student Aid",915887,222967,193319,4.1077244614673925,250.65904843526823,0.12675418335448743
studentaid.gov,studentaid.gov/announcements-events/save-plan,Federal Student Aid,771953,624953,533274,1.2352176883701655,95.8875843483949,0.17640526567597883
studentaid.gov,studentaid.gov/fsa-id/sign-in/reset-password,"Reset Your Password | Federal Student Aid",765855,731543,708821,1.0469035996516951,31.4364300799663,0.0075798688525486541
studentaid.gov,studentaid.gov/aid-summary/grants,"Aid Summary | Grants | Federal Student Aid",745032,634853,558500,1.1735488372898923,86.443587795886486,0.013544867867049537
studentaid.gov,studentaid.gov/apply-for-aid/fafsa/renew,Federal Student Aid,744117,528087,458650,1.4090803219923991,84.6195940598467,0.026289228858123757
studentaid.gov,studentaid.gov/fsa-id/create-account/personal-info,"Personal Information | Create Account | Federal Student Aid",703789,551280,483508,1.2766452619358584,61.627530727271065,0.024483021332172398
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa/,Federal Student Aid,675819,620557,543304,1.0890522546679837,95.436258094567208,0.010777414484084459
studentaid.gov,studentaid.gov/fsa-id/create-account/personal-info,"Create Account | Personal Information | Federal Student Aid",653328,485286,428699,1.3462741558586071,77.24060350840071,0.030794212072880734
studentaid.gov,studentaid.gov/announcements-events/fafsa-support,"Soft Launch of the 2024–25 FAFSA® Form | Federal Student Aid",642398,1914046,1446359,0.33562307279971326,97.444318565281748,0.077916622693498486
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Fstatus-center?redirectTo=%2Fstatus-center,"Log In | Federal Student Aid",601292,514444,431081,1.1688191523275615,13.290825375404935,0.0085004393092348238
studentaid.gov,studentaid.gov/fsa-id/sign-in/unlock-fsaid,"Unlock Your FSA ID | Federal Student Aid",554650,475559,451412,1.1663116458735929,81.01897007455338,0.0098641808902786
studentaid.gov,studentaid.gov/h/apply-for-aid,Federal Student Aid,552982,469501,419744,1.1778079279916336,96.557725655098423,0.028089397040687879
studentaid.gov,studentaid.gov/manage-loans/forgiveness-cancellation,Federal Student Aid,542639,451603,413087,1.2015841347378118,74.698898400403252,0.12876796655469516
studentaid.gov,studentaid.gov/fsa-id/sign-in,"Waiting Room | Federal Student Aid",529017,38313,34460,13.807767598465272,736.6905227105816,0.080808080808080815
studentaid.gov,studentaid.gov/manage-loans/repayment/prepare-payments-restart,Federal Student Aid,516835,489440,427666,1.0559721314154953,46.856275107320805,0.54695366132723111
studentaid.gov,studentaid.gov/fsa-id/create-account/account-info,"Account Information | Create Account | Federal Student Aid",507067,390015,341334,1.3001192261836083,132.02328364879386,0.010394472007486891
studentaid.gov,studentaid.gov/apply-for-aid/fafsa/fafsa-deadlines,Federal Student Aid,478088,433393,400136,1.1031281077451642,52.911803312508866,0.099528603369228391
studentaid.gov,studentaid.gov/apply-for-aid/fafsa/filling-out,Federal Student Aid,466699,397329,360796,1.1745908302691221,59.285700310785316,0.062396653654779789
studentaid.gov,studentaid.gov/loan-simulator/,"Loan Simulator | Federal Student Aid",465073,493651,443545,0.94210889879692328,54.708706606860616,0.0670433160269097
studentaid.gov,studentaid.gov/fsa-id/create-account/contact-info,"Contact Information | Create Account | Federal Student Aid",455186,376037,328581,1.2104819472551902,192.27892528960228,0.024255591869948967
studentaid.gov,studentaid.gov/help-center/contact,Federal Student Aid,438136,342294,281131,1.2800019865963177,129.21463015976315,0.13157402700602405
studentaid.gov,studentaid.gov/manage-loans/forgiveness-cancellation/public-service,Federal Student Aid,420054,369310,331267,1.1374021824483496,63.030199449767565,0.15229482006986
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Fidr%3FstartReason%3DNEW?redirectTo=%2Fidr%3FstartReason%3DNEW,"Log In | Federal Student Aid",416310,304911,293720,1.3653525127004273,24.285323893031304,0.0051621620735230935
studentaid.gov,studentaid.gov/fsa-id/create-account/account-info,"Create Account | Account Information | Federal Student Aid",413163,290210,262948,1.4236690672271803,139.82332485587676,0.013903724888873575
studentaid.gov,studentaid.gov/loan-simulator,Federal Student Aid,403727,348271,324209,1.1592351932833913,103.37301026523062,0.01673409500073219
studentaid.gov,studentaid.gov/understand-aid/types/grants/pell,Federal Student Aid,373139,321872,295680,1.1592776010339514,128.83659213755195,0.088569369190237113
studentaid.gov,studentaid.gov/mpn/,"Completing a Master Promissory Note | Federal Student Aid",358447,350128,282456,1.0237598821002605,49.776392632196021,0.043878238815518895
studentaid.gov,studentaid.gov/fsa-id/create-account/contact-info,"Create Account | Contact Information | Federal Student Aid",332875,270125,249867,1.2322998611753817,166.43398177913897,0.013304951411383619
studentaid.gov,studentaid.gov/fsa-id/create-account/confirm-verify,"Create Account | Confirm and Verify | Federal Student Aid",323865,256491,240818,1.2626758833643286,152.45449540284264,0.015174021700566491
studentaid.gov,studentaid.gov/fsa-id/create-account/challenge-questions,"Create Account | Challenge Questions | Federal Student Aid",323121,259405,243349,1.245623638711667,37.219005239028448,0.011618897091420751
studentaid.gov,studentaid.gov/mpn,Federal Student Aid,322638,263866,224905,1.2227342666353376,205.55671995770516,0.015053095131619837
studentaid.gov,studentaid.gov/fsa-id/create-account/communication-prefs,"Create Account | Communication Preferences | Federal Student Aid",321462,259885,243529,1.2369394155107067,84.537563506883089,0.012066875733497509
studentaid.gov,studentaid.gov/fsa-id/create-account/confirm-verify,"Confirm & Verify | Create Account | Federal Student Aid",321118,278235,260110,1.1541251100688268,138.13447274653615,0.013301705392923248
studentaid.gov,studentaid.gov/understand-aid/types/loans/subsidized-unsubsidized,Federal Student Aid,318086,258062,232508,1.2325952678038612,100.727632686512,0.0998364734056157
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Ffafsa-app?redirectTo=%2Ffafsa-app,"Log In | Federal Student Aid",315786,298053,260162,1.0594961298829402,89.23424803509171,0.018238367001841956
studentaid.gov,studentaid.gov/fsa-id/create-account/two-step-verification,"Two-Step Verification | Create Account | Federal Student Aid",315479,278685,259110,1.1320271991675188,51.1306806082208,0.0145791843838025
studentaid.gov,studentaid.gov/fsa-id/create-account/communication-prefs,"Communication Preferences | Create Account | Federal Student Aid",312370,279502,263285,1.1175948651530221,77.163440781366219,0.012228892816509363
studentaid.gov,studentaid.gov/fsa-id/create-account/challenge-questions,"Challenge Questions | Create Account | Federal Student Aid",310411,279803,262614,1.1093912502725132,31.634940465636117,0.011890508679320807
studentaid.gov,studentaid.gov/announcements-events/idr-account-adjustment,Federal Student Aid,307235,280693,233407,1.0945588240533251,86.584864674006639,0.30681919392361051
studentaid.gov,studentaid.gov/fsa-id/create-account/two-step-verification,"Create Account | Two-Step Verification | Federal Student Aid",298973,248457,236203,1.2033188841529923,61.333351327850473,0.021939410038759221
studentaid.gov,studentaid.gov/fsa-id/sign-in/retrieve-username,"Retrieve Your Username | Federal Student Aid",283634,260487,242757,1.0888643195245828,89.874487235026052,0.019202493790477067
studentaid.gov,studentaid.gov/apply-for-aid/fafsa/review-and-correct,Federal Student Aid,280870,225601,204365,1.2449856161985098,132.36491300259124,0.03388726113802687
studentaid.gov,studentaid.gov/help-center/answers/landing,"Help Center | Federal Student Aid",279575,243754,224687,1.1469555371399034,42.025704614982139,0.013603879320954733
