date,browser,visits
2024-01-04,Chrome,1077437
2024-01-04,Safari,773593
2024-01-04,Edge,189038
2024-01-04,Firefox,30280
2024-01-04,Samsung Internet,10708
2024-01-04,(other),9283
2024-01-04,Safari (in-app),7299
2024-01-04,Opera,6272
2024-01-04,Android Webview,1825
2024-01-04,Amazon Silk,456
2024-01-04,Mozilla Compatible Agent,167
2024-01-04,(not set),121
2024-01-04,Android Browser,44
2024-01-04,YaBrowser,27
2024-01-04,Whale Browser,26
2024-01-04,Internet Explorer,24
2024-01-04,UC Browser,22
2024-01-04,Aloha Browser,16
2024-01-04,Coc Coc,15
2024-01-04,Opera Mini,14
2024-01-04,Meta Quest Browser,6
2024-01-04,DuckDuckGo Browser,3
2024-01-04,Phoenix Browser,1
2024-01-04,SeaMonkey,1
2024-01-03,Chrome,1364533
2024-01-03,Safari,1044820
2024-01-03,Edge,232429
2024-01-03,Firefox,40809
2024-01-03,Safari (in-app),16322
2024-01-03,Samsung Internet,15132
2024-01-03,Opera,7719
2024-01-03,Android Webview,3661
2024-01-03,Amazon Silk,716
2024-01-03,Mozilla Compatible Agent,310
2024-01-03,(not set),171
2024-01-03,Android Browser,42
2024-01-03,YaBrowser,38
2024-01-03,Whale Browser,34
2024-01-03,Opera Mini,32
2024-01-03,Internet Explorer,26
2024-01-03,UC Browser,24
2024-01-03,Coc Coc,23
2024-01-03,Aloha Browser,15
2024-01-03,Mozilla,3
2024-01-03,SeaMonkey,3
2024-01-03,DuckDuckGo Browser,2
2024-01-03,Iron,2
2024-01-03,Meta Quest Browser,2
2024-01-03,Phoenix Browser,2
2024-01-03,Vivaldi,1
2024-01-02,Chrome,1374763
2024-01-02,Safari,1165834
2024-01-02,Edge,247548
2024-01-02,Firefox,40384
2024-01-02,Samsung Internet,14052
2024-01-02,Safari (in-app),10973
2024-01-02,Opera,8109
2024-01-02,Android Webview,2932
2024-01-02,Amazon Silk,723
2024-01-02,Mozilla Compatible Agent,326
2024-01-02,(not set),170
2024-01-02,Internet Explorer,43
2024-01-02,Android Browser,39
2024-01-02,YaBrowser,38
2024-01-02,Whale Browser,33
2024-01-02,UC Browser,22
2024-01-02,Aloha Browser,21
2024-01-02,Opera Mini,21
2024-01-02,Coc Coc,19
2024-01-02,Meta Quest Browser,6
2024-01-02,Phoenix Browser,6
2024-01-02,DuckDuckGo Browser,1
2024-01-02,Nokia Browser,1
2024-01-02,Puffin,1
2024-01-02,SeaMonkey,1
2024-01-01,Safari,996916
2024-01-01,Chrome,937356
2024-01-01,Edge,149570
2024-01-01,Firefox,27503
2024-01-01,Samsung Internet,11790
2024-01-01,Safari (in-app),11311
2024-01-01,Opera,6872
2024-01-01,Android Webview,2531
2024-01-01,Amazon Silk,792
2024-01-01,Mozilla Compatible Agent,255
2024-01-01,(not set),165
2024-01-01,YaBrowser,27
2024-01-01,Whale Browser,24
2024-01-01,UC Browser,20
2024-01-01,Android Browser,18
2024-01-01,Opera Mini,17
2024-01-01,Aloha Browser,16
2024-01-01,Internet Explorer,12
2024-01-01,Coc Coc,8
2024-01-01,Meta Quest Browser,3
2024-01-01,Mozilla,3
2024-01-01,Phoenix Browser,3
2024-01-01,DuckDuckGo Browser,2
2024-01-01,Nintendo Browser,2
2024-01-01,PaleMoon,2
2023-12-31,Safari,933276
2023-12-31,Chrome,769985
2023-12-31,Edge,117646
2023-12-31,Firefox,20406
2023-12-31,Safari (in-app),10715
2023-12-31,Samsung Internet,9864
2023-12-31,Opera,5247
2023-12-31,Android Webview,2300
2023-12-31,Amazon Silk,650
2023-12-31,Mozilla Compatible Agent,234
2023-12-31,(not set),152
2023-12-31,Internet Explorer,46
2023-12-31,Opera Mini,22
2023-12-31,Whale Browser,19
2023-12-31,Aloha Browser,15
2023-12-31,UC Browser,14
2023-12-31,YaBrowser,12
2023-12-31,Android Browser,11
2023-12-31,Coc Coc,7
2023-12-31,Meta Quest Browser,5
2023-12-31,DuckDuckGo Browser,2
2023-12-31,Mozilla,1
2023-12-30,Safari,336152
2023-12-30,Chrome,332491
2023-12-30,Edge,51108
2023-12-30,Firefox,11785
2023-12-30,Samsung Internet,5647
2023-12-30,Safari (in-app),3922
2023-12-30,Opera,2058
2023-12-30,Android Webview,1242
2023-12-30,Amazon Silk,374
2023-12-30,Mozilla Compatible Agent,159
2023-12-30,(not set),138
2023-12-30,UC Browser,26
2023-12-30,Opera Mini,21
2023-12-30,Android Browser,17
2023-12-30,YaBrowser,14
2023-12-30,Internet Explorer,12
2023-12-30,Whale Browser,12
2023-12-30,Aloha Browser,9
2023-12-30,Coc Coc,5
2023-12-30,Meta Quest Browser,3
2023-12-30,DuckDuckGo Browser,1
2023-12-29,Chrome,332956
2023-12-29,Safari,295579
2023-12-29,Edge,57873
2023-12-29,Firefox,11337
2023-12-29,Samsung Internet,5476
2023-12-29,Safari (in-app),3583
2023-12-29,Opera,1552
2023-12-29,Android Webview,1255
2023-12-29,Amazon Silk,342
2023-12-29,Mozilla Compatible Agent,195
2023-12-29,(not set),178
2023-12-29,Opera Mini,27
2023-12-29,UC Browser,22
2023-12-29,Internet Explorer,13
2023-12-29,Whale Browser,13
2023-12-29,Android Browser,12
2023-12-29,YaBrowser,12
2023-12-29,Aloha Browser,6
2023-12-29,Coc Coc,4
2023-12-29,Android Runtime,3
2023-12-29,Meta Quest Browser,3
2023-12-29,Mozilla,2
2023-12-29,Netscape,1
2023-12-29,PaleMoon,1
2023-12-29,SeaMonkey,1
2023-12-29,Waterfox,1
2023-12-28,Chrome,364086
2023-12-28,Safari,301110
2023-12-28,Edge,68163
2023-12-28,Firefox,12967
2023-12-28,Samsung Internet,6021
2023-12-28,Safari (in-app),3710
