date,browser,os,visits
2024-01-04,Safari,iOS,603844
2024-01-04,Chrome,Windows,578610
2024-01-04,Chrome,Macintosh,293369
2024-01-04,Safari,Macintosh,288656
2024-01-04,Edge,Windows,215023
2024-01-04,Chrome,Chrome OS,131551
2024-01-04,Chrome,Android,127835
2024-01-04,Chrome,iOS,67943
2024-01-04,Firefox,Windows,25811
2024-01-04,Chrome,Linux,13894
2024-01-04,Samsung Internet,Android,12829
2024-01-04,Safari (in-app),iOS,10030
2024-01-04,Firefox,Macintosh,7583
2024-01-04,Opera,Windows,6221
2024-01-04,Android Webview,Android,2442
2024-01-04,Edge,Android,1336
2024-01-04,Edge,Macintosh,1147
2024-01-04,Firefox,Android,875
2024-01-04,Amazon Silk,Android,553
2024-01-04,Opera,Macintosh,516
2024-01-04,Firefox,Linux,440
2024-01-04,Samsung Internet,Linux,329
2024-01-04,Opera,Android,275
2024-01-04,Mozilla Compatible Agent,Macintosh,245
2024-01-04,(not set),(not set),163
2024-01-03,Safari,iOS,722948
2024-01-03,Chrome,Windows,644371
2024-01-03,Chrome,Macintosh,335534
2024-01-03,Safari,Macintosh,330266
2024-01-03,Edge,Windows,230207
2024-01-03,Chrome,Android,156525
2024-01-03,Chrome,Chrome OS,143851
2024-01-03,Chrome,iOS,81322
2024-01-03,Firefox,Windows,29817
2024-01-03,Safari (in-app),iOS,16322
2024-01-03,Chrome,Linux,15263
2024-01-03,Samsung Internet,Android,14792
2024-01-03,Firefox,Macintosh,8978
2024-01-03,Opera,Windows,6888
2024-01-03,Android Webview,Android,3661
2024-01-03,Edge,Android,1415
2024-01-03,Edge,Macintosh,1374
2024-01-03,Firefox,Android,1115
2024-01-03,Amazon Silk,Android,716
2024-01-03,Opera,Macintosh,566
2024-01-03,Firefox,Linux,563
2024-01-03,Samsung Internet,Linux,391
2024-01-03,Mozilla Compatible Agent,Macintosh,310
2024-01-03,Opera,Android,232
2024-01-03,(not set),(not set),168
2024-01-02,Safari,iOS,824827
2024-01-02,Chrome,Windows,653170
2024-01-02,Chrome,Macintosh,341160
2024-01-02,Safari,Macintosh,341081
2024-01-02,Edge,Windows,244678
2024-01-02,Chrome,Android,157237
2024-01-02,Chrome,Chrome OS,130075
2024-01-02,Chrome,iOS,85193
2024-01-02,Firefox,Windows,30098
2024-01-02,Chrome,Linux,15645
2024-01-02,Samsung Internet,Android,13667
2024-01-02,Safari (in-app),iOS,10973
2024-01-02,Firefox,Macintosh,9280
2024-01-02,Opera,Windows,7090
2024-01-02,Android Webview,Android,2932
2024-01-02,Edge,Macintosh,1337
2024-01-02,Edge,Android,1291
2024-01-02,Firefox,Android,1120
2024-01-02,Amazon Silk,Android,723
2024-01-02,Firefox,Linux,626
2024-01-02,Opera,Macintosh,615
2024-01-02,Samsung Internet,Linux,404
2024-01-02,Mozilla Compatible Agent,Macintosh,322
2024-01-02,Opera,Android,277
2024-01-02,(not set),(not set),165
2024-01-01,Safari,iOS,745214
