domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,Federal Student Aid,19781083,9434320,4846618,2.0967153965521628,140.09634859184035,0.15296142170288904
studentaid.gov,studentaid.gov/fsa-id/sign-in,Federal Student Aid,12093178,9887400,6066282,1.2230897910471914,113.6891156492913,0.01294667961243603
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing,"Log In | Federal Student Aid",8855774,7537782,4668345,1.1748514350773211,96.2188338414826,0.083300498740876291
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step,"Two-Step Verification Log-in | Federal Student Aid",7607322,7054793,4420985,1.0783198032883459,50.628474620486159,0.011929336551759918
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/sms,"Verify Two-Step Log-in - SMS | Federal Student Aid",5883722,5645985,3712298,1.0421072673767289,32.451525976362092,0.0064521956753338877
studentaid.gov,studentaid.gov/,Federal Student Aid,4506254,3610387,2709065,1.2481357261700754,95.444561357202062,0.11069284262324233
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"FAFSA® Application | Federal Student Aid",4128098,10639450,5451183,0.38799919168754021,147.61572270600965,0.135422977691516
studentaid.gov,studentaid.gov/announcements-events/fafsa-support,Federal Student Aid,4055971,3342195,2445983,1.2135653365527745,38.96292805428422,0.0873859843605774
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"Waiting Room | Federal Student Aid",2938902,612869,530354,4.7953167805844314,311.07776950121581,0.12334773010219149
studentaid.gov,studentaid.gov/aid-summary/loans,"Aid Summary | Loans | Federal Student Aid",2289360,1657460,1370708,1.3812460029201308,97.99326810635884,0.013488711643116576
studentaid.gov,studentaid.gov/aid-summary,Federal Student Aid,2023151,1675993,1419064,1.2071357099940154,142.76879074294064,0.0098067235364348183
studentaid.gov,studentaid.gov/,"Home | Federal Student Aid",1646479,4230090,3030791,0.38923025278421974,59.762323401553104,0.10182265625554066
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles?redirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles,"Log In | Federal Student Aid",1572113,1286300,1088808,1.2221977765684522,16.206389133656998,0.010621161470885486
studentaid.gov,studentaid.gov/fsa-id/create-account/launch,"Create Account | Federal Student Aid",1392154,1083752,917169,1.2845687943367117,45.30662133627709,0.030714591530165574
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/email,"Verify Two-Step Log-In - Email | Federal Student Aid",1174629,1092245,800592,1.0754272164212242,89.675330598046841,0.010721953407889256
studentaid.gov,studentaid.gov/fsa-id/lost-credentials/new-password,"Reset Your Password | Federal Student Aid",1142180,1103293,1029107,1.0352472099433243,56.472884994288322,0.0071848547937855131
studentaid.gov,studentaid.gov/fsa-id/sign-in/account-lookup,"Account Lookup | Federal Student Aid",1049210,930952,892867,1.1270291056896595,77.229097272840235,0.0095858862755544855
studentaid.gov,studentaid.gov/fsa-id/create-account,Federal Student Aid,1039195,825395,716557,1.2590274959261929,95.6945928514515,0.021148662155695153
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FcontinueTo=fafsa?continueTo=fafsa,"Log In | Federal Student Aid",1009232,936060,762634,1.0781691344571929,9.91272188109752,0.0109106253872615
studentaid.gov,studentaid.gov/fsa-id/sign-in,"Log In | Federal Student Aid",1006870,981419,809759,1.0259328584427243,217.24004641253362,0.25719188236624724
