domain,page,page_title,pageviews
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,Federal Student Aid,15206905
studentaid.gov,studentaid.gov/fsa-id/sign-in,Federal Student Aid,6123962
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing,"Log In | Federal Student Aid",4065682
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step,"Two-Step Verification Log-in | Federal Student Aid",4030092
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/sms,"Verify Two-Step Log-in - SMS | Federal Student Aid",3112741
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"Waiting Room | Federal Student Aid",2950133
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,"FAFSA® Application | Federal Student Aid",2891688
studentaid.gov,studentaid.gov/,Federal Student Aid,2027907
studentaid.gov,studentaid.gov/announcements-events/fafsa-support,Federal Student Aid,2009670
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles?redirectTo=%2Ffafsa-apply%2F%2F2024-25%2Froles,"Log In | Federal Student Aid",1571659
studentaid.gov,studentaid.gov/,"Waiting Room | Federal Student Aid",911837
studentaid.gov,studentaid.gov/aid-summary/loans,"Aid Summary | Loans | Federal Student Aid",851362
studentaid.gov,studentaid.gov/aid-summary,Federal Student Aid,763432
studentaid.gov,studentaid.gov/fsa-id/create-account/launch,"Create Account | Federal Student Aid",739676
studentaid.gov,studentaid.gov/fsa-id/create-account/personal-info,"Personal Information | Create Account | Federal Student Aid",651126
studentaid.gov,studentaid.gov/,"Home | Federal Student Aid",635977
studentaid.gov,studentaid.gov/fsa-id/sign-in/verify-two-step/email,"Verify Two-Step Log-In - Email | Federal Student Aid",609462
studentaid.gov,studentaid.gov/announcements-events/fafsa-support,"Soft Launch of the 2024–25 FAFSA® Form | Federal Student Aid",597664
studentaid.gov,studentaid.gov/fsa-id/sign-in/landing%3FredirectTo=%2Fstatus-center?redirectTo=%2Fstatus-center,"Log In | Federal Student Aid",561814
studentaid.gov,studentaid.gov/fsa-id/sign-in,"Waiting Room | Federal Student Aid",522078
