source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,12943363,60890143,5846134,4.7043525705027358,438.96345750525654,0.28712499216780057
(direct),Direct,12876895,59733695,8045365,4.6388275279094842,397.04133651179387,0.3101974505499967
bing,Organic Search,981090,6496407,444253,6.6216218695532518,636.021309983443,0.17624275041025797
mcp,Email,654237,3000607,416243,4.5864220458335438,369.07955500643038,0.34488725033894446
yahoo,Organic Search,252162,1602836,112486,6.3563740769822576,609.454786171378,0.17380493492278773
(not set),Unassigned,231492,1415818,209036,6.1160558464223387,595.31903480966957,0.99925267395849537
duckduckgo,Organic Search,56694,256061,28700,4.5165449606660317,426.506765526105,0.27309768229442272
govdelivery,Email,90205,201150,72316,2.2299207361011031,152.9804314631894,0.42009866415387176
slate,Email,43771,190388,23224,4.3496378880994264,411.95790155369997,0.37216421831806445
SFMC,Email,16089,92805,10277,5.7682267387656161,431.7705266727578,0.2068494002113245
ecosia.org,Organic Search,12988,68708,5517,5.2901139513396984,464.8961710223283,0.22351401293501694
sfmc,Email,10197,44341,6458,4.3484358144552315,344.23914050093168,0.30852211434735705
Slate,Unassigned,4165,19998,2566,4.8014405762304921,428.386436622569,0.31356542617046818
marcomm_email,Unassigned,3183,19194,1429,6.0301602262016969,467.96535768614513,0.27521206409048066
email,Paid Other,3915,17918,1933,4.5767560664112388,459.03030609246491,0.27330779054916987
Slate,Email,4042,17661,1983,4.369371598218704,395.10358116204844,0.34611578426521522
crm,Email,4029,15213,2454,3.7758749069247952,335.03805845817823,0.4197071233556714
hs_email,Email,3574,15181,1991,4.2476217123670956,395.49791465472862,0.39283715724678231
SFMC_10980773,Email,1559,11429,641,7.3309813983322645,534.43697942783831,0.20397690827453496
marketing,Unassigned,1662,10424,735,6.2719614921780984,522.022178156438,0.2003610108303249
