date,browser,visits
2024-01-04,Chrome,97884
2024-01-04,Edge,23182
2024-01-04,Safari,22009
2024-01-04,Firefox,4073
2024-01-04,Safari (in-app),1092
2024-01-04,Samsung Internet,850
2024-01-04,Android Webview,536
2024-01-04,Opera,415
2024-01-04,(not set),386
2024-01-04,Internet Explorer,104
2024-01-03,Chrome,88955
2024-01-03,Safari,21375
2024-01-03,Edge,20796
2024-01-03,Firefox,4101
2024-01-03,Safari (in-app),884
2024-01-03,Samsung Internet,855
2024-01-03,Android Webview,403
2024-01-03,Opera,397
2024-01-03,(not set),349
2024-01-02,Chrome,81908
2024-01-02,Safari,19882
2024-01-02,Edge,19198
2024-01-02,Firefox,3630
2024-01-02,(not set),1493
2024-01-02,Safari (in-app),923
2024-01-02,Samsung Internet,831
2024-01-02,Android Webview,441
2024-01-02,Opera,383
2024-01-02,Internet Explorer,102
2024-01-01,Chrome,48128
2024-01-01,Safari,16597
2024-01-01,Edge,4526
2024-01-01,Firefox,1610
2024-01-01,Samsung Internet,711
2024-01-01,Safari (in-app),488
2024-01-01,(not set),405
2024-01-01,Android Webview,344
2024-01-01,Opera,259
2023-12-31,Chrome,41976
2023-12-31,Safari,15191
2023-12-31,Edge,3137
2023-12-31,Firefox,1301
2023-12-31,Samsung Internet,626
2023-12-31,Safari (in-app),600
2023-12-31,Android Webview,376
2023-12-31,(not set),346
2023-12-31,Opera,206
2023-12-30,Chrome,59510
2023-12-30,Safari,17487
2023-12-30,Edge,3720
2023-12-30,Firefox,1506
2023-12-30,Safari (in-app),1006
2023-12-30,Samsung Internet,665
2023-12-30,Android Webview,519
2023-12-30,Opera,258
2023-12-30,(not set),201
2023-12-29,Chrome,53812
2023-12-29,Safari,19366
2023-12-29,Edge,7998
2023-12-29,Firefox,2082
2023-12-29,Safari (in-app),1040
2023-12-29,Samsung Internet,806
2023-12-29,Android Webview,481
2023-12-29,(not set),315
2023-12-29,Opera,279
2023-12-28,Chrome,61166
2023-12-28,Safari,18250
2023-12-28,Edge,10682
2023-12-28,Firefox,2383
2023-12-28,Safari (in-app),1117
2023-12-28,Samsung Internet,770
2023-12-28,Android Webview,431
2023-12-28,(not set),387
2023-12-28,Opera,333
2023-12-28,Internet Explorer,106
2023-12-27,Chrome,60228
2023-12-27,Safari,18397
2023-12-27,Edge,11089
2023-12-27,Firefox,2420
2023-12-27,Safari (in-app),952
2023-12-27,Samsung Internet,710
2023-12-27,(not set),385
2023-12-27,Android Webview,367
2023-12-27,Opera,323
2023-12-26,Chrome,54501
2023-12-26,Safari,17255
2023-12-26,Edge,9163
2023-12-26,Firefox,2104
2023-12-26,Samsung Internet,730
2023-12-26,Safari (in-app),722
2023-12-26,Android Webview,330
2023-12-26,Opera,322
2023-12-26,(not set),258
2023-12-25,Chrome,40160
2023-12-25,Safari,14082
2023-12-25,Edge,4303
2023-12-25,Firefox,1272
2023-12-25,Safari (in-app),780
2023-12-25,Samsung Internet,592
2023-12-25,(not set),336
2023-12-25,Android Webview,316
2023-12-25,Opera,233
2023-12-24,Chrome,39031
2023-12-24,Safari,13094
2023-12-24,Edge,3505
2023-12-24,Firefox,1190
2023-12-24,Samsung Internet,567
2023-12-24,Safari (in-app),441
2023-12-24,(not set),315
2023-12-24,Opera,245
2023-12-24,Android Webview,240
2023-12-23,Chrome,56181
2023-12-23,Safari,16404
2023-12-23,Edge,3351
2023-12-23,Firefox,1306
2023-12-23,Samsung Internet,617
2023-12-23,Safari (in-app),566
2023-12-23,Android Webview,293
2023-12-23,(not set),261
2023-12-23,Opera,246
2023-12-22,Chrome,64906
2023-12-22,Safari,18269
2023-12-22,Edge,10336
2023-12-22,Firefox,2379
2023-12-22,Safari (in-app),819
2023-12-22,Samsung Internet,741
2023-12-22,(not set),329
2023-12-22,Opera,291
2023-12-22,Android Webview,282
2023-12-21,Chrome,78718
