date,browser,visits
2024-01-04,Chrome,84786
2024-01-04,Edge,20894
2024-01-04,Safari,19441
2024-01-04,Firefox,3812
2024-01-04,Safari (in-app),992
2024-01-04,Samsung Internet,759
2024-01-04,Android Webview,481
2024-01-04,Opera,381
2024-01-04,(not set),335
2024-01-04,Internet Explorer,95
2024-01-04,Mozilla Compatible Agent,89
2024-01-04,Amazon Silk,66
2024-01-04,(other),33
2024-01-04,Whale Browser,30
2024-01-04,Opera Mini,24
2024-01-04,YaBrowser,21
2024-01-04,UC Browser,10
2024-01-04,Coc Coc,9
2024-01-04,Mozilla,5
2024-01-04,Android Runtime,3
2024-01-04,Aloha Browser,2
2024-01-04,DuckDuckGo Browser,1
2024-01-04,Iron,1
2024-01-04,SeaMonkey,1
2024-01-03,Chrome,88955
2024-01-03,Safari,21375
2024-01-03,Edge,20796
2024-01-03,Firefox,4101
2024-01-03,Safari (in-app),884
2024-01-03,Samsung Internet,855
2024-01-03,Android Webview,403
2024-01-03,Opera,397
2024-01-03,(not set),349
2024-01-03,Internet Explorer,94
2024-01-03,Mozilla Compatible Agent,74
2024-01-03,Amazon Silk,64
2024-01-03,Whale Browser,32
2024-01-03,Opera Mini,24
2024-01-03,YaBrowser,14
2024-01-03,UC Browser,13
2024-01-03,Coc Coc,11
2024-01-03,Mozilla,6
2024-01-03,Aloha Browser,1
2024-01-03,Lynx,1
2024-01-03,NetFront,1
2024-01-03,PaleMoon,1
2024-01-02,Chrome,81908
2024-01-02,Safari,19882
2024-01-02,Edge,19198
2024-01-02,Firefox,3630
2024-01-02,(not set),1493
2024-01-02,Safari (in-app),923
2024-01-02,Samsung Internet,831
2024-01-02,Android Webview,441
2024-01-02,Opera,383
2024-01-02,Internet Explorer,102
2024-01-02,Mozilla Compatible Agent,91
2024-01-02,Amazon Silk,88
2024-01-02,Whale Browser,36
2024-01-02,Opera Mini,34
2024-01-02,YaBrowser,18
2024-01-02,UC Browser,14
2024-01-02,Coc Coc,9
2024-01-02,Mozilla,7
2024-01-02,Android Browser,3
2024-01-02,Android Runtime,3
2024-01-02,Aloha Browser,2
2024-01-02,DuckDuckGo Browser,2
2024-01-02,Waterfox,2
2024-01-02,Phoenix Browser,1
2024-01-02,Puffin,1
2024-01-02,Vivaldi,1
2024-01-01,Chrome,48128
2024-01-01,Safari,16597
2024-01-01,Edge,4526
2024-01-01,Firefox,1610
