date,device,visits
2024-01-04,desktop,113069
2024-01-04,mobile,33690
2024-01-04,tablet,1369
2024-01-04,smart tv,7
2024-01-03,desktop,104298
2024-01-03,mobile,33486
2024-01-03,tablet,1269
2024-01-03,smart tv,7
2024-01-02,desktop,97516
2024-01-02,mobile,30844
2024-01-02,tablet,1217
2024-01-02,smart tv,3
2024-01-01,desktop,44406
2024-01-01,mobile,27925
2024-01-01,tablet,1155
2024-01-01,smart tv,8
2023-12-31,desktop,38287
2023-12-31,mobile,26216
2023-12-31,tablet,1031
2023-12-31,smart tv,4
2023-12-30,desktop,56269
2023-12-30,mobile,29359
2023-12-30,tablet,1067
2023-12-30,smart tv,3
2023-12-29,desktop,54601
2023-12-29,mobile,30969
2023-12-29,tablet,1167
2023-12-29,smart tv,9
2023-12-28,desktop,62380
2023-12-28,mobile,31321
2023-12-28,tablet,1251
2023-12-28,smart tv,9
2023-12-27,desktop,63762
2023-12-27,mobile,31253
2023-12-27,tablet,1131
2023-12-27,smart tv,4
2023-12-26,desktop,54447
2023-12-26,mobile,29530
2023-12-26,tablet,1124
2023-12-26,smart tv,7
2023-12-25,desktop,35274
2023-12-25,mobile,26286
2023-12-25,tablet,981
2023-12-25,smart tv,3
2023-12-24,desktop,35037
2023-12-24,mobile,22673
2023-12-24,tablet,886
2023-12-24,smart tv,12
2023-12-23,desktop,49694
2023-12-23,mobile,26962
2023-12-23,tablet,979
2023-12-23,smart tv,2
2023-12-22,desktop,67176
2023-12-22,mobile,30087
2023-12-22,tablet,1063
2023-12-22,smart tv,4
2023-12-21,desktop,90043
2023-12-21,mobile,34578
2023-12-21,tablet,1231
2023-12-21,smart tv,9
2023-12-20,desktop,104834
2023-12-20,mobile,32729
2023-12-20,tablet,1183
2023-12-20,smart tv,3
2023-12-19,desktop,111013
2023-12-19,mobile,33804
2023-12-19,tablet,1289
2023-12-19,smart tv,12
2023-12-18,desktop,111880
2023-12-18,mobile,31340
2023-12-18,tablet,1311
2023-12-18,smart tv,3
2023-12-17,desktop,54910
2023-12-17,mobile,29161
2023-12-17,tablet,1238
2023-12-17,smart tv,5
2023-12-16,desktop,63253
2023-12-16,mobile,26960
2023-12-16,tablet,1141
2023-12-16,smart tv,5
2023-12-15,desktop,105958
2023-12-15,mobile,31884
2023-12-15,tablet,1340
2023-12-15,smart tv,7
2023-12-14,desktop,122483
2023-12-14,mobile,37766
2023-12-14,tablet,1524
2023-12-14,smart tv,7
2023-12-13,desktop,130736
2023-12-13,mobile,42723
2023-12-13,tablet,1783
2023-12-13,smart tv,14
2023-12-12,desktop,136466
2023-12-12,mobile,36920
2023-12-12,tablet,1560
2023-12-12,smart tv,9
2023-12-11,desktop,139841
2023-12-11,mobile,34363
2023-12-11,tablet,1490
2023-12-11,smart tv,4
2023-12-10,desktop,64320
2023-12-10,mobile,33537
2023-12-10,tablet,1467
2023-12-10,smart tv,7
2023-12-09,desktop,67073
2023-12-09,mobile,30339
2023-12-09,tablet,1218
2023-12-09,smart tv,6
2023-12-08,desktop,109719
2023-12-08,mobile,34814
2023-12-08,tablet,1448
2023-12-08,smart tv,3
2023-12-07,desktop,126295
2023-12-07,mobile,37172
2023-12-07,tablet,1591
2023-12-07,smart tv,4
2023-12-06,desktop,143394
2023-12-06,mobile,37139
2023-12-06,tablet,1706
2023-12-06,smart tv,6
