date,language,visits
2024-01-04,English,127698
2024-01-04,Chinese,12236
2024-01-04,Korean,1072
2024-01-04,Spanish,971
2024-01-04,German,757
2024-01-04,French,751
2024-01-04,Japanese,587
2024-01-04,Turkish,445
2024-01-04,Portuguese,443
2024-01-04,Italian,317
2024-01-04,Polish,274
2024-01-04,Dutch,210
2024-01-04,Russian,185
2024-01-04,Norwegian Bokmål,148
2024-01-04,Vietnamese,129
2024-01-04,Indonesian,119
2024-01-04,Arabic,111
2024-01-04,Thai,109
2024-01-04,Swedish,107
2024-01-04,Danish,102
2024-01-04,Czech,99
2024-01-04,Greek,93
2024-01-04,Romanian,53
2024-01-04,Hungarian,48
2024-01-04,Finnish,45
2024-01-04,Ukrainian,45
2024-01-04,Hebrew,35
2024-01-04,Slovak,35
2024-01-04,Slovenian,33
2024-01-04,Hindi,28
2024-01-04,(other),25
2024-01-04,Persian,25
2024-01-04,Croatian,22
2024-01-04,Catalan,15
2024-01-04,Bulgarian,14
2024-01-04,Latvian,13
2024-01-03,English,116027
2024-01-03,Chinese,14802
2024-01-03,Korean,1045
2024-01-03,Spanish,938
2024-01-03,French,675
2024-01-03,German,671
2024-01-03,Portuguese,458
2024-01-03,Turkish,433
2024-01-03,Italian,370
2024-01-03,Japanese,342
2024-01-03,Polish,272
2024-01-03,Russian,186
2024-01-03,Dutch,172
2024-01-03,Arabic,139
2024-01-03,Vietnamese,126
2024-01-03,Indonesian,119
2024-01-03,Greek,111
2024-01-03,Swedish,109
2024-01-03,Thai,102
2024-01-03,Norwegian Bokmål,99
2024-01-03,Danish,85
2024-01-03,Czech,83
2024-01-03,Finnish,69
2024-01-03,Hungarian,60
2024-01-03,Hebrew,53
2024-01-03,Ukrainian,46
2024-01-03,Hindi,32
2024-01-03,Catalan,31
2024-01-03,Persian,27
2024-01-03,(other),26
2024-01-03,Romanian,25
2024-01-03,Slovenian,24
2024-01-03,Croatian,23
2024-01-03,Slovak,23
2024-01-03,Bulgarian,13
2024-01-02,English,106450
2024-01-02,Chinese,14921
2024-01-02,Korean,1066
2024-01-02,Spanish,859
2024-01-02,German,608
2024-01-02,French,545
2024-01-02,Turkish,478
2024-01-02,Portuguese,327
2024-01-02,Polish,299
2024-01-02,Italian,293
2024-01-02,Japanese,223
2024-01-02,Dutch,192
2024-01-02,Russian,172
2024-01-02,Arabic,159
2024-01-02,Vietnamese,136
2024-01-02,Indonesian,97
2024-01-02,Danish,94
2024-01-02,Czech,90
2024-01-02,Greek,88
2024-01-02,Swedish,83
2024-01-02,Norwegian Bokmål,76
2024-01-02,Thai,67
2024-01-02,Finnish,58
2024-01-02,Hungarian,49
2024-01-02,Ukrainian,49
2024-01-02,Hebrew,44
2024-01-02,Croatian,42
2024-01-02,Romanian,35
2024-01-02,Persian,32
2024-01-02,(other),23
2024-01-02,Slovak,23
2024-01-02,Slovenian,23
2024-01-02,Hindi,17
2024-01-02,Serbian,16
2024-01-02,Lithuanian,11
2024-01-01,English,56004
2024-01-01,Chinese,13531
2024-01-01,Korean,586
2024-01-01,Spanish,364
2024-01-01,French,299
2024-01-01,Turkish,298
2024-01-01,German,250
2024-01-01,Arabic,172
2024-01-01,Polish,163
2024-01-01,Japanese,162
2024-01-01,Portuguese,139
2024-01-01,Russian,139
2024-01-01,Vietnamese,138
2024-01-01,Italian,116
2024-01-01,Dutch,90
2024-01-01,Indonesian,83
2024-01-01,Greek,62
2024-01-01,Swedish,60
2024-01-01,Norwegian Bokmål,53
2024-01-01,Thai,38
2024-01-01,Czech,31
2024-01-01,Danish,30
2024-01-01,Hebrew,30
2024-01-01,Hungarian,29
2024-01-01,Ukrainian,24
2024-01-01,Finnish,22
2024-01-01,Romanian,21
2024-01-01,Slovenian,18
2024-01-01,Persian,15
2024-01-01,Bulgarian,14
2024-01-01,Croatian,14
2024-01-01,Hindi,14
2024-01-01,Serbian,13
2023-12-31,English,48425
2023-12-31,Chinese,12968
2023-12-31,Spanish,347
2023-12-31,Turkish,322
2023-12-31,French,256
2023-12-31,Korean,201
2023-12-31,German,169
2023-12-31,Polish,156
2023-12-31,Japanese,154
2023-12-31,Arabic,153
2023-12-31,Portuguese,133
2023-12-31,Italian,128
2023-12-31,Dutch,77
2023-12-31,Russian,71
2023-12-31,Vietnamese,70
2023-12-31,Indonesian,68
2023-12-31,Swedish,55
2023-12-31,Greek,54
2023-12-31,Hebrew,47
2023-12-31,Danish,37
2023-12-31,Norwegian Bokmål,36
2023-12-31,Czech,33
2023-12-31,Persian,32
2023-12-31,Thai,22
2023-12-31,Finnish,21
2023-12-31,Hungarian,21
2023-12-31,Hindi,18
2023-12-31,(other),16
2023-12-31,Slovak,15
2023-12-31,Romanian,14
2023-12-31,Ukrainian,14
2023-12-31,Slovenian,13
2023-12-30,English,70686
2023-12-30,Chinese,11515
2023-12-30,Spanish,450
2023-12-30,Turkish,418
2023-12-30,French,312
2023-12-30,German,311
2023-12-30,Korean,190
2023-12-30,Italian,178
2023-12-30,Polish,178
2023-12-30,Japanese,174
2023-12-30,Portuguese,169
2023-12-30,Arabic,148
2023-12-30,Russian,124
2023-12-30,Dutch,104
2023-12-30,Vietnamese,98
2023-12-30,Indonesian,81
2023-12-30,Greek,69
2023-12-30,Swedish,61
2023-12-30,Norwegian Bokmål,55
2023-12-30,Danish,53
2023-12-30,Hebrew,47
2023-12-30,Czech,43
2023-12-30,Thai,42
2023-12-30,Hungarian,35
2023-12-30,Persian,30
2023-12-30,Finnish,29
2023-12-30,Hindi,18
2023-12-30,Romanian,17
2023-12-30,(other),16
2023-12-30,Ukrainian,16
2023-12-30,Serbian,12
2023-12-30,Slovenian,12
2023-12-30,Slovak,11
2023-12-29,English,71408
2023-12-29,Chinese,12312
2023-12-29,Spanish,630
2023-12-29,French,384
2023-12-29,Korean,349
2023-12-29,German,338
2023-12-29,Turkish,299
2023-12-29,Italian,271
2023-12-29,Portuguese,242
2023-12-29,Polish,219
2023-12-29,Japanese,207
2023-12-29,Russian,150
2023-12-29,Arabic,145
2023-12-29,Dutch,137
2023-12-29,Vietnamese,99
2023-12-29,Indonesian,79
2023-12-29,Swedish,72
2023-12-29,Greek,65
2023-12-29,Norwegian Bokmål,58
2023-12-29,Danish,53
2023-12-29,Finnish,37
2023-12-29,Hungarian,33
2023-12-29,Hindi,32
2023-12-29,Ukrainian,32
2023-12-29,Czech,31
2023-12-29,Hebrew,28
2023-12-29,Persian,27
2023-12-29,Thai,22
2023-12-29,(other),21
2023-12-29,Slovak,20
2023-12-29,Croatian,16
2023-12-29,Romanian,16
2023-12-29,Bulgarian,13
2023-12-29,Slovenian,11
2023-12-28,English,76038
2023-12-28,Chinese,13852
2023-12-28,Spanish,735
2023-12-28,Korean,601
2023-12-28,German,408
2023-12-28,French,397
2023-12-28,Japanese,392
2023-12-28,Turkish,338
2023-12-28,Portuguese,301
2023-12-28,Italian,241
2023-12-28,Polish,216
2023-12-28,Russian,184
2023-12-28,Arabic,149
2023-12-28,Vietnamese,141
2023-12-28,Dutch,132
2023-12-28,Norwegian Bokmål,100
2023-12-28,Swedish,89
2023-12-28,Greek,85
2023-12-28,Indonesian,83
2023-12-28,Danish,51
2023-12-28,Hebrew,49
2023-12-28,Thai,49
2023-12-28,Finnish,46
2023-12-28,Czech,44
2023-12-28,Ukrainian,41
2023-12-28,Hungarian,37
2023-12-28,Persian,31
2023-12-28,Hindi,23
2023-12-28,Romanian,23
2023-12-28,(other),21
2023-12-28,Slovak,19
2023-12-28,Bulgarian,18
2023-12-28,Croatian,13
2023-12-28,Lithuanian,12
2023-12-28,Slovenian,11
2023-12-27,English,76442
2023-12-27,Chinese,14085
2023-12-27,Spanish,735
2023-12-27,Korean,692
2023-12-27,Japanese,648
2023-12-27,French,422
2023-12-27,German,355
2023-12-27,Turkish,350
2023-12-27,Portuguese,343
2023-12-27,Russian,231
2023-12-27,Polish,218
2023-12-27,Italian,193
2023-12-27,Arabic,179
2023-12-27,Vietnamese,155
2023-12-27,Dutch,132
2023-12-27,Indonesian,117
2023-12-27,Danish,82
2023-12-27,Greek,81
2023-12-27,Swedish,69
2023-12-27,Thai,56
2023-12-27,Ukrainian,51
2023-12-27,Hebrew,46
2023-12-27,Norwegian Bokmål,45
2023-12-27,Czech,43
2023-12-27,Finnish,43
2023-12-27,Hungarian,38
2023-12-27,Romanian,34
2023-12-27,Hindi,30
2023-12-27,Persian,20
2023-12-27,(other),15
2023-12-27,Slovenian,14
2023-12-27,Catalan,13
2023-12-27,Bulgarian,12
2023-12-27,Croatian,12
2023-12-27,Estonian,12
2023-12-27,Slovak,12
2023-12-27,Latvian,11
2023-12-26,English,67124
2023-12-26,Chinese,12873
2023-12-26,Korean,789
2023-12-26,Japanese,767
2023-12-26,Spanish,712
2023-12-26,Turkish,414
2023-12-26,French,410
2023-12-26,German,315
2023-12-26,Portuguese,309
2023-12-26,Russian,261
2023-12-26,Italian,180
2023-12-26,Arabic,176
2023-12-26,Vietnamese,173
2023-12-26,Polish,146
2023-12-26,Dutch,105
2023-12-26,Indonesian,94
2023-12-26,Thai,69
2023-12-26,Greek,66
2023-12-26,Swedish,59
2023-12-26,Danish,52
2023-12-26,Hebrew,47
2023-12-26,Norwegian Bokmål,38
2023-12-26,Czech,36
2023-12-26,Persian,36
2023-12-26,Hungarian,34
2023-12-26,Finnish,28
2023-12-26,Ukrainian,28
2023-12-26,(other),23
2023-12-26,Romanian,23
2023-12-26,Hindi,22
2023-12-26,Bulgarian,15
2023-12-26,Serbian,15
2023-12-26,Croatian,13
2023-12-26,Slovak,13
2023-12-26,Slovenian,12
2023-12-25,English,45310
2023-12-25,Chinese,11405
2023-12-25,Japanese,823
2023-12-25,Korean,490
2023-12-25,Turkish,461
2023-12-25,Spanish,345
2023-12-25,French,307
2023-12-25,Russian,256
2023-12-25,German,237
2023-12-25,Arabic,185
2023-12-25,Portuguese,155
2023-12-25,Polish,135
2023-12-25,Vietnamese,134
2023-12-25,Dutch,93
2023-12-25,Italian,86
2023-12-25,Indonesian,67
2023-12-25,Swedish,65
2023-12-25,Hebrew,53
2023-12-25,Thai,52
2023-12-25,Norwegian Bokmål,42
2023-12-25,Czech,38
2023-12-25,Greek,38
2023-12-25,Danish,36
2023-12-25,Persian,31
2023-12-25,Ukrainian,24
2023-12-25,Finnish,18
2023-12-25,Hindi,18
2023-12-25,Hungarian,17
2023-12-25,(other),16
2023-12-25,Serbian,14
2023-12-25,Romanian,13
2023-12-25,Slovenian,12
2023-12-24,English,43382
2023-12-24,Chinese,11663
2023-12-24,Japanese,522
2023-12-24,Turkish,338
2023-12-24,Spanish,293
2023-12-24,Russian,250
2023-12-24,French,249
2023-12-24,Korean,233
2023-12-24,Arabic,210
2023-12-24,German,182
2023-12-24,Vietnamese,136
2023-12-24,Portuguese,128
2023-12-24,Polish,107
