date,os,visits
2024-01-04,Windows,84878
2024-01-04,iOS,19349
2024-01-04,Macintosh,15992
2024-01-04,Android,15859
2024-01-04,Linux,6865
2024-01-04,Chrome OS,5259
2024-01-04,(not set),410
2024-01-03,Windows,79479
2024-01-03,iOS,18997
2024-01-03,Android,15435
2024-01-03,Macintosh,14967
2024-01-03,Linux,6223
2024-01-03,Chrome OS,4191
2024-01-03,(not set),367
2024-01-02,Windows,72515
2024-01-02,iOS,17805
2024-01-02,Android,14927
2024-01-02,Macintosh,13993
2024-01-02,Linux,6427
2024-01-02,Chrome OS,2734
2024-01-02,(not set),1518
2024-01-01,Windows,29599
2024-01-01,iOS,15863
2024-01-01,Android,13380
2024-01-01,Macintosh,6885
2024-01-01,Linux,6686
2024-01-01,Chrome OS,665
2024-01-01,(not set),426
2023-12-31,Windows,24907
2023-12-31,iOS,14682
2023-12-31,Android,11847
2023-12-31,Linux,6567
2023-12-31,Macintosh,5675
2023-12-31,Chrome OS,471
2023-12-31,(not set),370
2023-12-30,Windows,41150
2023-12-30,iOS,17344
2023-12-30,Android,12880
2023-12-30,Linux,6728
2023-12-30,Macintosh,6525
2023-12-30,Chrome OS,471
2023-12-30,(not set),215
2023-12-29,Windows,40000
2023-12-29,iOS,18907
2023-12-29,Android,13957
2023-12-29,Macintosh,7904
2023-12-29,Linux,6474
2023-12-29,Chrome OS,500
2023-12-29,(not set),337
2023-12-28,Windows,46608
2023-12-28,iOS,17567
2023-12-28,Android,15265
2023-12-28,Macintosh,8539
2023-12-28,Linux,6235
2023-12-28,Chrome OS,537
2023-12-28,(not set),409
2023-12-27,Windows,47829
2023-12-27,iOS,17308
2023-12-27,Android,15124
2023-12-27,Macintosh,8697
2023-12-27,Linux,6509
2023-12-27,Chrome OS,514
2023-12-27,(not set),402
2023-12-26,Windows,40551
2023-12-26,iOS,16533
2023-12-26,Android,14577
2023-12-26,Macintosh,7457
2023-12-26,Linux,6360
2023-12-26,Chrome OS,434
2023-12-26,(not set),277
2023-12-25,Windows,23513
2023-12-25,iOS,14502
2023-12-25,Android,12825
2023-12-25,Linux,6389
2023-12-25,Macintosh,4594
2023-12-25,(not set),344
2023-12-25,Chrome OS,259
2023-12-24,Windows,23077
2023-12-24,iOS,12939
2023-12-24,Android,10767
2023-12-24,Linux,6650
2023-12-24,Macintosh,4605
2023-12-24,(not set),337
2023-12-24,Chrome OS,269
2023-12-23,Windows,37057
2023-12-23,iOS,16201
2023-12-23,Android,11851
2023-12-23,Linux,6514
2023-12-23,Macintosh,5257
2023-12-23,Chrome OS,383
2023-12-23,(not set),286
2023-12-22,Windows,50781
2023-12-22,iOS,17073
2023-12-22,Android,13836
2023-12-22,Macintosh,8915
2023-12-22,Linux,6259
2023-12-22,Chrome OS,1242
2023-12-22,(not set),349
2023-12-21,Windows,64463
2023-12-21,iOS,19980
2023-12-21,Macintosh,16867
2023-12-21,Android,15226
2023-12-21,Linux,6938
2023-12-21,Chrome OS,3197
2023-12-21,(not set),404
2023-12-20,Windows,76321
2023-12-20,iOS,18946
2023-12-20,Macintosh,17038
2023-12-20,Android,15184
2023-12-20,Linux,6655
2023-12-20,Chrome OS,4480
2023-12-20,(not set),389
2023-12-19,Windows,82077
2023-12-19,iOS,20013
2023-12-19,Macintosh,15331
2023-12-19,Android,15266
2023-12-19,Linux,6955
2023-12-19,Chrome OS,5831
2023-12-19,(not set),410
2023-12-18,Windows,79827
2023-12-18,iOS,18428
2023-12-18,Macintosh,16669
2023-12-18,Android,14767
2023-12-18,Linux,7549
2023-12-18,Chrome OS,6373
2023-12-18,(not set),338
2023-12-17,Windows,37143
2023-12-17,iOS,17061
2023-12-17,Android,14368
2023-12-17,Macintosh,9473
2023-12-17,Linux,6915
2023-12-17,Chrome OS,1522
2023-12-17,(not set),296
2023-12-16,Windows,47088
2023-12-16,iOS,15679
2023-12-16,Android,12692
2023-12-16,Macintosh,7702
2023-12-16,Linux,7094
2023-12-16,Chrome OS,912
2023-12-16,(not set),162
2023-12-15,Windows,76658
2023-12-15,iOS,18431
2023-12-15,Macintosh,15440
2023-12-15,Android,14956
2023-12-15,Linux,7289
2023-12-15,Chrome OS,6774
2023-12-15,(not set),361
2023-12-14,Windows,88154
2023-12-14,iOS,21746
2023-12-14,Macintosh,19546
2023-12-14,Android,17366
2023-12-14,Chrome OS,9214
2023-12-14,Linux,6893
2023-12-14,(not set),457
2023-12-13,Windows,90701
2023-12-13,iOS,23159
2023-12-13,Macintosh,21738
2023-12-13,Android,21003
2023-12-13,Chrome OS,9738
2023-12-13,Linux,6931
2023-12-13,(not set),409
2023-12-12,Windows,99929
2023-12-12,iOS,20746
2023-12-12,Macintosh,20320
2023-12-12,Android,17546
2023-12-12,Chrome OS,9995
2023-12-12,Linux,7371
2023-12-12,(not set),358
2023-12-11,Windows,99082
2023-12-11,Macintosh,21914
2023-12-11,iOS,19586
2023-12-11,Android,16716
2023-12-11,Chrome OS,9469
2023-12-11,Linux,7350
2023-12-11,(not set),322
2023-12-10,Windows,41664
2023-12-10,iOS,17978
2023-12-10,Android,16446
2023-12-10,Macintosh,13115
2023-12-10,Linux,7159
2023-12-10,Chrome OS,1980
2023-12-10,(not set),258
2023-12-09,Windows,49948
2023-12-09,iOS,16666
2023-12-09,Android,14778
2023-12-09,Macintosh,9913
2023-12-09,Linux,7065
2023-12-09,Chrome OS,1171
2023-12-09,(not set),169
2023-12-08,Windows,76247
2023-12-08,iOS,20236
2023-12-08,Macintosh,17592
2023-12-08,Android,16028
2023-12-08,Chrome OS,8696
2023-12-08,Linux,7238
2023-12-08,(not set),470
2023-12-07,Windows,87922
2023-12-07,Macintosh,20944
2023-12-07,iOS,20918
2023-12-07,Android,18051
2023-12-07,Chrome OS,9860
2023-12-07,Linux,7567
2023-12-07,(not set),418
2023-12-06,Windows,102660
2023-12-06,Macintosh,22325
2023-12-06,iOS,21514
2023-12-06,Android,17544
2023-12-06,Chrome OS,9640
2023-12-06,Linux,7145
2023-12-06,(not set),453
2023-12-05,Windows,109503
2023-12-05,Macintosh,22474
2023-12-05,iOS,21517
2023-12-05,Android,16804
2023-12-05,Chrome OS,9219
2023-12-05,Linux,7134
2023-12-05,(not set),444
2023-12-04,Windows,101180
2023-12-04,Macintosh,24000
2023-12-04,iOS,21294
2023-12-04,Android,16804
2023-12-04,Chrome OS,9348
2023-12-04,Linux,6639
2023-12-04,(not set),312
2023-12-03,Windows,46537
2023-12-03,iOS,19072
2023-12-03,Android,16232
2023-12-03,Macintosh,14538
2023-12-03,Linux,6047
2023-12-03,Chrome OS,1783
2023-12-03,(not set),350
2023-12-02,Windows,50796
2023-12-02,iOS,19589
2023-12-02,Android,16263
2023-12-02,Macintosh,11243
2023-12-02,Linux,6000
2023-12-02,Chrome OS,1140
2023-12-02,(not set),287
2023-12-01,Windows,72535
2023-12-01,iOS,19196
2023-12-01,Macintosh,18180
2023-12-01,Android,15803
2023-12-01,Chrome OS,8194
2023-12-01,Linux,6551
2023-12-01,(not set),411
2023-11-30,Windows,87776
2023-11-30,Macintosh,22357
2023-11-30,iOS,21170
2023-11-30,Android,17718
2023-11-30,Chrome OS,10199
2023-11-30,Linux,7123
2023-11-30,(not set),612
2023-11-29,Windows,93004
2023-11-29,Macintosh,24564
2023-11-29,iOS,22210
2023-11-29,Android,18479
2023-11-29,Chrome OS,9657
2023-11-29,Linux,7002
2023-11-29,(not set),445
2023-11-28,Windows,101235
2023-11-28,Macintosh,24584
2023-11-28,iOS,23882
2023-11-28,Android,19863
2023-11-28,Chrome OS,9189
2023-11-28,Linux,6891
2023-11-28,(not set),398
2023-11-27,Windows,92224
2023-11-27,Macintosh,23319
2023-11-27,iOS,22656
2023-11-27,Android,17995
2023-11-27,Chrome OS,7248
2023-11-27,Linux,7058
2023-11-27,(not set),342
2023-11-26,Windows,41665
2023-11-26,iOS,22562
2023-11-26,Android,16940
2023-11-26,Macintosh,14657
2023-11-26,Linux,6220
2023-11-26,Chrome OS,1801
2023-11-26,(not set),472
2023-11-25,Windows,46333
2023-11-25,iOS,16588
2023-11-25,Android,13588
2023-11-25,Macintosh,9917
2023-11-25,Linux,6126
2023-11-25,Chrome OS,878
2023-11-25,(not set),311
2023-11-24,Windows,40055
2023-11-24,iOS,16324
2023-11-24,Android,14143
2023-11-24,Macintosh,10305
2023-11-24,Linux,6608
2023-11-24,Chrome OS,1215
2023-11-24,(not set),357
2023-11-23,Windows,41366
2023-11-23,iOS,16650
2023-11-23,Android,15131
2023-11-23,Macintosh,9504
2023-11-23,Linux,6704
2023-11-23,Chrome OS,1341
2023-11-23,(not set),399
2023-11-22,Windows,62619
2023-11-22,iOS,17225
2023-11-22,Android,16288
2023-11-22,Macintosh,14734
2023-11-22,Linux,7062
2023-11-22,Chrome OS,2055
2023-11-22,(not set),334
2023-11-21,Windows,93372
