date,screen_resolution,visits
2024-01-04,1920x1080,28064
2024-01-04,1536x864,10860
2024-01-04,1280x720,8371
2024-01-04,1600x1600,8157
2024-01-04,1366x768,8112
2024-01-04,1440x900,6840
2024-01-04,1280x960,6331
2024-01-04,390x844,5559
2024-01-04,1024x768,3987
2024-01-04,2560x1440,3922
2024-01-04,800x600,3042
2024-01-04,414x896,2370
2024-01-04,360x800,2225
2024-01-04,1920x1200,2197
2024-01-04,375x812,2150
2024-01-04,393x852,2113
2024-01-04,428x926,2073
2024-01-04,1280x800,1806
2024-01-04,430x932,1696
2024-01-04,412x915,1572
2024-01-04,375x667,1441
2024-01-04,1680x1050,1312
2024-01-04,3440x1440,1230
2024-01-04,810x1080,1209
2024-01-04,1600x900,1183
2024-01-04,1536x960,1085
2024-01-04,360x780,1005
2024-01-03,1920x1080,26746
2024-01-03,1600x1600,10296
2024-01-03,1536x864,10123
2024-01-03,1280x720,7498
2024-01-03,1366x768,6973
2024-01-03,1440x900,6840
2024-01-03,390x844,5297
2024-01-03,2560x1440,3783
2024-01-03,1024x768,3752
2024-01-03,800x600,2861
2024-01-03,414x896,2300
2024-01-03,1920x1200,2141
2024-01-03,360x800,2092
2024-01-03,375x812,2041
2024-01-03,393x852,2008
2024-01-03,428x926,1953
2024-01-03,1280x800,1862
2024-01-03,430x932,1716
2024-01-03,412x915,1696
2024-01-03,1280x960,1628
2024-01-03,375x667,1466
2024-01-03,1680x1050,1344
2024-01-03,3440x1440,1317
2024-01-03,1600x900,1086
2024-01-03,360x780,1024
2024-01-03,1536x960,1017
2024-01-02,1920x1080,24043
2024-01-02,1600x1600,10237
2024-01-02,1536x864,9546
2024-01-02,1280x720,6651
2024-01-02,1440x900,6375
2024-01-02,1366x768,5910
2024-01-02,390x844,5006
2024-01-02,800x600,3889
2024-01-02,2560x1440,3347
2024-01-02,1024x768,3295
2024-01-02,360x800,2133
2024-01-02,414x896,2106
2024-01-02,375x812,1976
2024-01-02,428x926,1921
2024-01-02,1920x1200,1890
2024-01-02,393x852,1850
2024-01-02,430x932,1658
2024-01-02,1280x800,1618
2024-01-02,412x915,1546
2024-01-02,375x667,1354
2024-01-02,1680x1050,1216
2024-01-02,1280x1024,1199
2024-01-02,3440x1440,1103
2024-01-02,1600x900,1013
2024-01-01,1600x1600,10522
2024-01-01,1920x1080,5392
2024-01-01,390x844,4485
2024-01-01,1440x900,4025
2024-01-01,1536x864,4011
2024-01-01,1024x768,2795
2024-01-01,1366x768,2691
2024-01-01,1280x720,2305
2024-01-01,414x896,1892
2024-01-01,375x812,1859
2024-01-01,800x600,1836
2024-01-01,360x800,1657
2024-01-01,393x852,1650
2024-01-01,428x926,1597
2024-01-01,375x667,1414
2024-01-01,412x915,1400
2024-01-01,430x932,1362
2024-01-01,1280x1024,1235
2023-12-31,1600x1600,11393
2023-12-31,390x844,4025
2023-12-31,1920x1080,3746
2023-12-31,1440x900,3558
2023-12-31,1536x864,3173
2023-12-31,1024x768,2701
2023-12-31,1366x768,1938
2023-12-31,800x600,1816
2023-12-31,375x812,1736
2023-12-31,414x896,1652
2023-12-31,393x852,1543
2023-12-31,1280x720,1516
2023-12-31,428x926,1504
2023-12-31,360x800,1464
2023-12-31,430x932,1328
2023-12-31,412x915,1325
2023-12-31,1280x1024,1309
2023-12-31,375x667,1176
2023-12-30,800x600,15966
2023-12-30,1600x1600,9303
2023-12-30,390x844,5010
2023-12-30,1920x1080,4206
2023-12-30,1440x900,4005
2023-12-30,1536x864,3734
2023-12-30,1024x768,2713
2023-12-30,1366x768,2418
2023-12-30,414x896,1940
2023-12-30,375x812,1922
2023-12-30,428x926,1880
2023-12-30,1280x720,1843
2023-12-30,393x852,1826
2023-12-30,430x932,1717
2023-12-30,360x800,1629
2023-12-30,375x667,1550
2023-12-30,412x915,1411
2023-12-30,1280x1024,1302
2023-12-29,1920x1080,9917
2023-12-29,1600x1600,8735
2023-12-29,1536x864,5371
2023-12-29,390x844,5361
2023-12-29,1440x900,4394
2023-12-29,1280x720,3530
2023-12-29,1024x768,3000
2023-12-29,1366x768,2836
2023-12-29,1280x960,2811
2023-12-29,800x600,2198
2023-12-29,414x896,2103
2023-12-29,375x812,2022
2023-12-29,375x667,1970
2023-12-29,428x926,1945
2023-12-29,393x852,1915
2023-12-29,360x800,1887
2023-12-29,430x932,1695
2023-12-29,412x915,1561
2023-12-29,2560x1440,1373
2023-12-29,1280x1024,1150
2023-12-28,1920x1080,13067
2023-12-28,1600x1600,9631
2023-12-28,1536x864,6303
2023-12-28,390x844,5132
2023-12-28,1440x900,4767
2023-12-28,1280x720,4347
2023-12-28,1366x768,3219
2023-12-28,1024x768,3027
2023-12-28,414x896,2115
2023-12-28,375x812,2110
2023-12-28,360x800,2006
2023-12-28,800x600,1950
2023-12-28,428x926,1891
2023-12-28,393x852,1862
2023-12-28,375x667,1646
2023-12-28,412x915,1596
2023-12-28,430x932,1573
2023-12-28,2560x1440,1564
2023-12-28,1280x1024,1196
2023-12-28,1280x800,1126
2023-12-27,1920x1080,13474
2023-12-27,1600x1600,9573
2023-12-27,1536x864,6653
2023-12-27,390x844,5097
2023-12-27,1440x900,4775
2023-12-27,1280x720,4498
2023-12-27,1366x768,3228
2023-12-27,1024x768,3038
2023-12-27,800x600,2275
2023-12-27,360x800,2150
2023-12-27,414x896,2046
2023-12-27,375x812,2015
2023-12-27,428x926,1828
2023-12-27,393x852,1809
2023-12-27,2560x1440,1632
2023-12-27,430x932,1567
2023-12-27,375x667,1498
2023-12-27,412x915,1497
2023-12-27,1280x1024,1143
2023-12-27,1280x800,1070
2023-12-27,360x780,1021
2023-12-26,1920x1080,10583
2023-12-26,1600x1600,7908
2023-12-26,1536x864,5945
2023-12-26,390x844,4668
2023-12-26,1440x900,4307
2023-12-26,1280x720,3818
2023-12-26,1366x768,3053
2023-12-26,1024x768,2936
2023-12-26,414x896,1990
2023-12-26,800x600,1961
2023-12-26,360x800,1951
2023-12-26,375x667,1907
2023-12-26,375x812,1854
2023-12-26,428x926,1643
2023-12-26,393x852,1609
2023-12-26,412x915,1577
2023-12-26,430x932,1421
2023-12-26,2560x1440,1265
2023-12-26,1280x1024,1012
2023-12-25,1600x1600,6336
2023-12-25,1920x1080,4761
2023-12-25,390x844,3901
2023-12-25,1536x864,3671
2023-12-25,1440x900,3204
2023-12-25,1024x768,2739
2023-12-25,375x667,2276
2023-12-25,1366x768,2055
2023-12-25,800x600,2007
2023-12-25,1280x720,1901
2023-12-25,360x800,1721
2023-12-25,414x896,1667
2023-12-25,375x812,1518
2023-12-25,412x915,1425
2023-12-25,393x852,1342
2023-12-25,428x926,1312
2023-12-25,430x932,1161
2023-12-25,1280x1024,1114
