exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
energy.gov/,228072,271178,216322,1.1890017187554807,25.767253323511873,228072
afdc.energy.gov/stations/,135627,513393,104634,3.7853303545754162,122.88706525986714,135627
energy.gov/newsroom,48626,89806,45566,1.846872043762596,45.20404721753794,48626
energy.gov/eere/solar/homeowners-guide-federal-tax-credit-solar-photovoltaics,31478,37791,26988,1.2005527670118814,72.84837029036152,31478
energy.gov/eere/wind/advantages-and-challenges-wind-energy,28573,40656,24772,1.4228817415042172,148.10467924264165,28573
energy.gov/energysaver/heat-pump-systems,28039,34295,25291,1.2231178002068548,48.624558650451156,28039
energy.gov/eere/solar/how-does-solar-work,28015,39498,24165,1.409887560235588,108.687667321078,28015
energy.gov/eere/wind/how-do-wind-turbines-work,26696,38938,23146,1.4585705723703926,118.15860053940665,26696
afdc.energy.gov/vehicles/how-do-hybrid-electric-cars-work,23116,30188,21298,1.3059352829209205,56.496020072676934,23116
sandia.gov/,22142,28472,17566,1.285882034143257,42.38131153464005,22142
energy.gov/policy/articles/making-our-homes-more-efficient-clean-energy-tax-credits-consumers,22062,32964,19084,1.4941528419907533,116.1533859124286,22062
energy.gov/scep/wap/how-apply-weatherization-assistance,21560,37627,18929,1.7452226345083488,93.51043599257885,21560
energy.gov/ne/articles/advantages-and-challenges-nuclear-energy,20716,27238,16729,1.3148291175902684,120.47576752268778,20716
energy.gov/articles/correcting-record-about-electric-vehicle-sales,19916,21938,19226,1.1015264109258887,16.528871259289012,19916
energy.gov/swpa/generation-schedules,19404,25295,6554,1.3035971964543394,43.739074417645845,19404
afdc.energy.gov/laws/all,19204,28500,16985,1.4840658196209122,82.56488231618412,19204
energy.gov/eere/renewable-energy,18626,26284,15736,1.4111457102974336,103.431278857511,18626
afdc.energy.gov/laws/search,16882,79134,15092,4.687477786992063,108.28112782845635,16882
energy.gov/ne/articles/nuclear-101-how-does-nuclear-reactor-work,16638,20265,14357,1.217994951316264,79.08222142084385,16638
energy.gov/energysaver/heat-pump-water-heaters,16433,19911,14798,1.2116472950769792,43.764193999878295,16433
