date,visits
2024-01-04,146872
2024-01-03,139471
2024-01-02,128692
2024-01-01,74461
2023-12-31,64419
2023-12-30,87987
2023-12-29,88176
2023-12-28,95116
2023-12-27,97005
2023-12-26,86838
2023-12-25,62208
2023-12-24,59276
2023-12-23,77977
2023-12-22,98918
2023-12-21,124221
2023-12-20,136981
2023-12-19,144664
2023-12-18,142893
2023-12-17,86363
2023-12-16,91062
2023-12-15,140145
2023-12-14,161182
2023-12-13,173642
2023-12-12,174059
2023-12-11,177568
2023-12-10,97366
2023-12-09,99016
2023-12-08,144107
2023-12-07,163989
2023-12-06,179964
2023-12-05,186077
2023-12-04,178249
2023-12-03,104164
2023-12-02,103851
2023-12-01,139914
2023-11-30,167548
2023-11-29,172898
2023-11-28,190985
2023-11-27,173233
2023-11-26,104107
2023-11-25,91538
2023-11-24,88843
2023-11-23,90326
2023-11-22,120670
2023-11-21,158536
2023-11-20,160889
2023-11-19,102142
2023-11-18,100424
2023-11-17,147586
2023-11-16,173073
2023-11-15,169298
2023-11-14,176784
2023-11-13,171152
2023-11-12,96052
2023-11-11,94469
2023-11-10,127577
2023-11-09,159228
2023-11-08,176037
2023-11-07,165072
2023-11-06,165696
2023-11-05,93886
2023-11-04,94476
2023-11-03,135711
2023-11-02,163808
2023-11-01,167246
2023-10-31,180551
2023-10-30,170327
2023-10-29,94997
2023-10-28,89984
2023-10-27,136435
2023-10-26,162394
2023-10-25,170842
2023-10-24,166494
2023-10-23,162547
2023-10-22,94059
2023-10-21,96484
2023-10-20,139775
2023-10-19,173266
2023-10-18,171221
2023-10-17,165984
2023-10-16,169501
2023-10-15,100125
2023-10-14,98688
2023-10-13,152274
2023-10-12,156652
2023-10-11,155486
2023-10-10,171637
2023-10-09,135461
2023-10-08,88579
2023-10-07,90895
