date,os_version,visits
2023-12-05,10,80387
2023-12-06,10,76561
2023-10-31,10,75820
2023-12-12,10,75249
2023-12-04,10,70433
2023-12-11,10,70216
2023-10-10,10,69924
2023-11-28,10,69338
2023-11-21,10,68454
2023-11-14,10,67600
2023-11-16,10,65003
2023-12-13,10,64379
2023-11-29,10,63787
2023-12-14,10,63537
2024-01-04,10,62977
2023-11-08,10,62467
2023-11-27,10,62442
2023-10-30,10,62376
2023-11-01,10,62332
2023-10-25,10,62202
2023-11-15,10,62184
2023-12-07,10,61814
2023-11-06,10,61147
2023-10-18,10,61133
2023-11-30,10,60821
2023-12-19,10,60496
2023-10-17,10,59258
2023-10-16,10,59106
2023-11-13,10,58912
2023-11-07,10,58888
2023-10-19,10,58590
2023-11-02,10,58262
2023-11-20,10,57987
2024-01-03,10,57908
2023-10-23,10,57760
2023-10-26,10,57733
2023-12-18,10,57091
2023-12-15,10,56992
2023-10-24,10,56325
2023-10-11,10,56066
2023-11-09,10,54908
2023-10-12,10,54728
2023-12-20,10,54254
2023-12-08,10,53046
2023-10-13,10,52708
2024-01-02,10,52402
2023-11-17,10,51928
2023-12-01,10,49848
2023-12-21,10,47442
2023-11-03,10,47314
2023-10-27,10,45487
2023-10-09,10,44685
2023-10-20,10,43958
2023-11-22,10,42808
2023-12-16,10,38570
2023-12-09,10,38275
2023-12-22,10,37926
2023-11-10,10,37597
2023-12-02,10,37032
2023-11-18,10,34600
2023-11-25,10,34378
2023-12-28,10,33925
2023-12-30,10,33754
2023-12-27,10,33597
2023-11-04,10,33088
2023-11-11,10,32244
2023-12-23,10,30708
2023-10-21,10,30563
2023-11-28,11,30322
2023-10-07,10,30310
2023-12-03,10,29772
2023-12-26,10,28938
2023-12-29,10,28805
2023-10-14,10,28582
2023-11-27,11,28445
2023-12-04,11,28128
2023-11-29,11,27917
2023-10-28,10,27578
2023-11-15,11,27451
2023-11-23,10,27232
2023-12-10,10,27078
2023-10-18,11,27070
2023-12-05,11,26822
2023-11-13,11,26593
2023-11-24,10,26592
2023-10-19,11,26583
2023-10-30,11,26555
2023-11-14,11,26530
2023-11-30,11,26382
2023-12-17,10,26371
2023-11-08,11,26272
