date,browser,visits
2024-01-04,Chrome,217763
2024-01-04,Safari,54340
2024-01-04,Edge,49835
2024-01-04,Firefox,11391
2024-01-04,Samsung Internet,2174
2024-01-04,Safari (in-app),1499
2024-01-04,Android Webview,1345
2024-01-04,Opera,768
2024-01-04,Amazon Silk,404
2024-01-04,Internet Explorer,224
2024-01-04,Mozilla Compatible Agent,153
2024-01-03,Chrome,204935
2024-01-03,Safari,57768
2024-01-03,Edge,46877
2024-01-03,Firefox,10125
2024-01-03,Samsung Internet,2254
2024-01-03,Safari (in-app),1534
2024-01-03,Android Webview,1296
2024-01-03,Opera,793
2024-01-03,Amazon Silk,388
2024-01-03,Internet Explorer,187
2024-01-03,Mozilla Compatible Agent,146
2024-01-02,Chrome,189484
2024-01-02,Safari,52244
2024-01-02,Edge,41337
2024-01-02,Firefox,8075
2024-01-02,Samsung Internet,2135
2024-01-02,Safari (in-app),1542
2024-01-02,Android Webview,1324
2024-01-02,Opera,740
2024-01-02,Amazon Silk,418
2024-01-02,Internet Explorer,172
2024-01-02,Mozilla Compatible Agent,141
2024-01-01,Chrome,100158
2024-01-01,Safari,55042
2024-01-01,Edge,9196
2024-01-01,Firefox,3941
2024-01-01,Samsung Internet,2095
2024-01-01,Safari (in-app),1966
2024-01-01,Android Webview,1372
2024-01-01,Opera,508
2024-01-01,Amazon Silk,468
2024-01-01,Mozilla Compatible Agent,162
2023-12-31,Chrome,76798
2023-12-31,Safari,38155
2023-12-31,Edge,6562
2023-12-31,Firefox,3387
2023-12-31,Samsung Internet,1812
2023-12-31,Safari (in-app),1124
2023-12-31,Android Webview,1068
2023-12-31,Opera,451
2023-12-31,Amazon Silk,376
2023-12-31,Mozilla Compatible Agent,128
2023-12-30,Chrome,87349
2023-12-30,Safari,41191
2023-12-30,Edge,7556
2023-12-30,Firefox,3796
2023-12-30,Samsung Internet,1939
2023-12-30,Safari (in-app),1288
2023-12-30,Android Webview,1175
2023-12-30,Opera,493
2023-12-30,Amazon Silk,380
2023-12-30,Mozilla Compatible Agent,114
2023-12-29,Chrome,114072
2023-12-29,Safari,46529
2023-12-29,Edge,19954
2023-12-29,Firefox,5630
2023-12-29,Samsung Internet,2105
2023-12-29,Safari (in-app),1278
2023-12-29,Android Webview,1143
2023-12-29,Opera,595
2023-12-29,Amazon Silk,378
2023-12-29,Internet Explorer,144
2023-12-29,Mozilla Compatible Agent,138
2023-12-28,Chrome,135082
2023-12-28,Safari,48350
2023-12-28,Edge,26133
2023-12-28,Firefox,6517
2023-12-28,Samsung Internet,2127
2023-12-28,Safari (in-app),1653
2023-12-28,Android Webview,1212
2023-12-28,Opera,681
2023-12-28,Amazon Silk,385
2023-12-28,Mozilla Compatible Agent,141
2023-12-28,Internet Explorer,124
2023-12-27,Chrome,137360
2023-12-27,Safari,49224
2023-12-27,Edge,27087
2023-12-27,Firefox,6338
2023-12-27,Samsung Internet,2140
2023-12-27,Safari (in-app),1256
2023-12-27,Android Webview,1214
2023-12-27,Opera,670
2023-12-27,Amazon Silk,398
2023-12-27,Mozilla Compatible Agent,156
2023-12-27,Internet Explorer,116
2023-12-27,YaBrowser,103
2023-12-26,Chrome,115795
2023-12-26,Safari,46579
2023-12-26,Edge,20744
2023-12-26,Firefox,5375
2023-12-26,Samsung Internet,2009
2023-12-26,Safari (in-app),1377
2023-12-26,Android Webview,1191
2023-12-26,Opera,600
2023-12-26,Amazon Silk,414
2023-12-26,Mozilla Compatible Agent,139
2023-12-26,YaBrowser,119
2023-12-26,Internet Explorer,106
2023-12-25,Chrome,78936
2023-12-25,Safari,37227
2023-12-25,Edge,8683
2023-12-25,Firefox,3579
2023-12-25,Samsung Internet,1623
2023-12-25,Safari (in-app),1250
2023-12-25,Android Webview,1190
2023-12-25,Opera,491
2023-12-25,Amazon Silk,343
2023-12-25,Mozilla Compatible Agent,145
2023-12-25,YaBrowser,110
2023-12-24,Chrome,75048
2023-12-24,Safari,34476
2023-12-24,Edge,6964
2023-12-24,Firefox,3263
2023-12-24,Samsung Internet,1681
2023-12-24,Safari (in-app),1150
2023-12-24,Android Webview,1009
2023-12-24,Opera,439
2023-12-24,Amazon Silk,338
2023-12-24,Mozilla Compatible Agent,134
2023-12-23,Chrome,81824
2023-12-23,Safari,38206
2023-12-23,Edge,6865
2023-12-23,Firefox,3277
2023-12-23,Samsung Internet,1755
2023-12-23,Safari (in-app),1307
2023-12-23,Android Webview,1039
2023-12-23,Opera,412
2023-12-23,Amazon Silk,395
2023-12-23,Mozilla Compatible Agent,124
2023-12-22,Chrome,135338
2023-12-22,Safari,43276
2023-12-22,Edge,23186
2023-12-22,Firefox,6023
2023-12-22,Samsung Internet,1843
2023-12-22,Safari (in-app),1444
2023-12-22,Android Webview,1075
2023-12-22,Opera,530
2023-12-22,Amazon Silk,360
2023-12-22,Mozilla Compatible Agent,142
2023-12-22,Internet Explorer,118
2023-12-21,Chrome,171619
2023-12-21,Safari,47607
2023-12-21,Edge,38808
2023-12-21,Firefox,8697
2023-12-21,Samsung Internet,2000
2023-12-21,Safari (in-app),1456
2023-12-21,Android Webview,1148
2023-12-21,Opera,675
2023-12-21,Amazon Silk,395
2023-12-21,Internet Explorer,157
2023-12-21,Mozilla Compatible Agent,139
2023-12-21,YaBrowser,111
2023-12-20,Chrome,200043
2023-12-20,Safari,51514
2023-12-20,Edge,44872
2023-12-20,Firefox,9398
2023-12-20,Samsung Internet,2058
2023-12-20,Safari (in-app),1657
2023-12-20,Android Webview,1235
2023-12-20,Opera,809
2023-12-20,Amazon Silk,393
2023-12-20,Internet Explorer,181
2023-12-20,Mozilla Compatible Agent,146
2023-12-20,(not set),124
2023-12-20,YaBrowser,118
2023-12-19,Chrome,204336
2023-12-19,Safari,53513
2023-12-19,Edge,46478
2023-12-19,Firefox,9390
2023-12-19,Samsung Internet,2151
2023-12-19,Safari (in-app),1287
2023-12-19,Android Webview,1192
2023-12-19,Opera,842
2023-12-19,Amazon Silk,420
2023-12-19,Internet Explorer,200
2023-12-19,(not set),156
2023-12-19,Mozilla Compatible Agent,154
2023-12-19,YaBrowser,113
2023-12-18,Chrome,198956
2023-12-18,Safari,53284
2023-12-18,Edge,47385
2023-12-18,Firefox,9495
2023-12-18,Samsung Internet,2049
2023-12-18,Safari (in-app),1362
2023-12-18,Android Webview,1352
2023-12-18,Opera,855
2023-12-18,Amazon Silk,409
2023-12-18,Internet Explorer,212
2023-12-18,Mozilla Compatible Agent,181
2023-12-18,YaBrowser,108
2023-12-17,Chrome,103581
2023-12-17,Safari,47120
2023-12-17,Edge,11872
2023-12-17,Firefox,4820
2023-12-17,Samsung Internet,1985
2023-12-17,Safari (in-app),1338
2023-12-17,Android Webview,1223
2023-12-17,Opera,721
2023-12-17,Amazon Silk,444
2023-12-17,Mozilla Compatible Agent,137
2023-12-17,Internet Explorer,116
2023-12-16,Chrome,93898
2023-12-16,Safari,45295
2023-12-16,Edge,9725
2023-12-16,Firefox,4482
2023-12-16,Samsung Internet,2005
2023-12-16,Safari (in-app),1265
2023-12-16,Android Webview,1242
2023-12-16,Opera,630
2023-12-16,Amazon Silk,429
2023-12-16,Mozilla Compatible Agent,168
2023-12-15,Chrome,183532
2023-12-15,Safari,54073
2023-12-15,Edge,37744
2023-12-15,Firefox,8710
2023-12-15,Samsung Internet,2115
2023-12-15,Safari (in-app),1445
2023-12-15,Android Webview,1231
2023-12-15,Opera,879
2023-12-15,Amazon Silk,423
2023-12-15,Internet Explorer,223
2023-12-15,Mozilla Compatible Agent,161
2023-12-14,Chrome,224039
2023-12-14,Safari,58237
2023-12-14,Edge,48776
2023-12-14,Firefox,9581
2023-12-14,Samsung Internet,2191
2023-12-14,Safari (in-app),1400
2023-12-14,Android Webview,1223
2023-12-14,Opera,975
2023-12-14,Amazon Silk,440
2023-12-14,Internet Explorer,204
