date,mobile_device,visits
2023-09-02,(not set),36683
2023-09-02,1 Plus,1
2023-09-02,1.3,1
2023-09-02,1.4,2
2023-09-02,100011885,2
2023-09-02,100011886,2
2023-09-02,100071483,1
2023-09-02,100071485,2
2023-09-02,1601,4
2023-09-02,1610,1
2023-09-02,1714,2
2023-09-02,1716,1
2023-09-02,1718,7
2023-09-02,1723,21
2023-09-02,1724,5
2023-09-02,1726,24
2023-09-02,1727,5
2023-09-02,1801,4
2023-09-02,1802,17
2023-09-02,1803,8
2023-09-02,1804,6
2023-09-02,1805,1
2023-09-02,1806,9
2023-09-02,1807,36
2023-09-02,1808,1
2023-09-02,1811,48
2023-09-02,1812,2
2023-09-02,1814,12
2023-09-02,1815,4
2023-09-02,1816,5
2023-09-02,1818,12
2023-09-02,1819,29
2023-09-02,1820,79
2023-09-02,1823,1
2023-09-02,1851,8
2023-09-02,1901,97
2023-09-02,1902,50
2023-09-02,1904,132
2023-09-02,1906,68
2023-09-02,1907,29
2023-09-02,1907_19,1
2023-09-02,1908,2
2023-09-02,1909,11
2023-09-02,1915,50
2023-09-02,1916,14
2023-09-02,1917,9
2023-09-02,1919,9
2023-09-02,1920,11
2023-09-02,1920_20,1
2023-09-02,1921,11
2023-09-02,1933,10
2023-09-02,1935,18
2023-09-02,1938,64
2023-09-02,1951,27
2023-09-02,2 V,1
2023-09-02,2.2,1
2023-09-02,2004,3
2023-09-02,21061110AG,3
2023-09-02,21061119BI,5
2023-09-02,21061119DG,1
2023-09-02,2107113SG,4
2023-09-02,21081111RG,1
2023-09-02,21091116AI,1
2023-09-02,21091116UC,1
2023-09-02,2109119DG,1
2023-09-02,2109119DI,1
2023-09-02,211033MI,5
2023-09-02,2112123AG,1
2023-09-02,2201116PI,3
2023-09-02,2201116SG,1
2023-09-02,2201116SI,1
2023-09-02,2201116TG,8
2023-09-02,2201117PG,1
2023-09-02,2201117PI,1
2023-09-02,2201117SI,1
2023-09-02,2201117TG,6
2023-09-02,2201117TI,6
2023-09-02,2201117TL,1
2023-09-02,2201117TY,3
2023-09-02,22011211RC,3
2023-09-02,220233L2G,3
2023-09-02,220233L2I,4
2023-09-02,2203121C,1
2023-09-02,220333QAG,2
2023-09-02,220333QBI,13
2023-09-02,220333QNY,1
2023-09-02,22041216G,1
2023-09-02,22041216UC,1
2023-09-02,22041219C,1
2023-09-02,22041219I,3
2023-09-02,22041219NY,1
2023-09-02,22041219PI,1
2023-09-02,22071219AI,2
2023-09-02,22071219CI,1
2023-09-02,220733SFG,2
2023-09-02,220733SG,2
2023-09-02,220733SH,4
2023-09-02,220733SI,7
2023-09-02,220733SL,5
2023-09-02,220733SPH,1
2023-09-02,22087RA4DI,1
2023-09-02,2209116AG,1
2023-09-02,22101316UCP,1
2023-09-02,2210132C,2
2023-09-02,22111317I,2
2023-09-02,22120RN86G,1
2023-09-02,22127PC95I,2
2023-09-02,22127RK46C,26
2023-09-02,23021RAAEG,1
2023-09-02,23026RN54G,3
2023-09-02,23027RAD4I,1
2023-09-02,23028RA60L,2
2023-09-02,23028RN4DG,3
2023-09-02,23028RN4DI,4
2023-09-02,23028RNCAG,1
2023-09-02,2303ERA42L,2
2023-09-02,23049PCD8G,2
2023-09-02,3.2,2
2023-09-02,4.2,1
2023-09-02,4063F,3
2023-09-02,4065F,1
2023-09-02,4188C,9
2023-09-02,5002E,1
2023-09-02,5002R,12
2023-09-02,5004R,1
2023-09-02,5007S,9
2023-09-02,5007Z,1
2023-09-02,5032W,1
2023-09-02,5033M,1
2023-09-02,5044R,1
2023-09-02,5049S,6
2023-09-02,5056N,1
2023-09-02,5059S,1
2023-09-02,5062W,2
2023-09-02,5062Z,1
2023-09-02,5087Z,4
2023-09-02,6.1,1
2023-09-02,6.1 Plus,1
2023-09-02,6.2,1
2023-09-02,6002A,1
2023-09-02,6165S,1
2023-09-02,7.1,1
2023-09-02,7540N,1
2023-09-02,8100,1
2023-09-02,9029W,1
2023-09-02,9032Z,2
2023-09-02,9137W,4
2023-09-02,A102SO,1
2023-09-02,A16 Plus,1
2023-09-02,A1601,2
2023-09-02,A200,1
2023-09-02,A2020U Pro,1
2023-09-02,A202SO,1
2023-09-02,A23,2
2023-09-02,A2322G,2
2023-09-02,A32F,2
2023-09-02,A37f,2
2023-09-02,A37fw,4
2023-09-02,A37m,2
2023-09-02,A45,1
2023-09-02,A5000,3
2023-09-02,A501DL,2
2023-09-02,A502DL,3
2023-09-02,A507LM,2
2023-09-02,A509DL,6
2023-09-02,A509WM,2
2023-09-02,A50UNS,1
2023-09-02,A512W,1
2023-09-02,A51w,1
2023-09-02,A52,1
2023-09-02,A55 Pro,1
2023-09-02,A551L,1
2023-09-02,A57,12
2023-09-02,A571W,2
2023-09-02,A60,1
2023-09-02,A6000,1
2023-09-02,A600DL,4
2023-09-02,A6010,1
2023-09-02,A6013,4
2023-09-02,A661W,4
2023-09-02,A662L,4
2023-09-02,A7020a48,1
2023-09-02,A77t,1
2023-09-02,A7S,1
2023-09-02,A83,2
2023-09-02,A83t,1
2023-09-02,A95,1
2023-09-02,AC2001,4
2023-09-02,AC2003,1
2023-09-02,AF9020,1
2023-09-02,AFTBAMR311,1
2023-09-02,AFTKA,2
2023-09-02,AFTMM,5
2023-09-02,AFTN,717
2023-09-02,AFTSSS,1
2023-09-02,AFTTIFF43,1
2023-09-02,AGRK-W09,2
2023-09-02,AGS-L03,1
2023-09-02,AGS-W19,1
2023-09-02,AKUS P1,1
2023-09-02,ALP-L29,2
2023-09-02,AMN-LX3,5
2023-09-02,AMN-LX9,1
2023-09-02,ANA-NX9,1
2023-09-02,ANE-LX3,1
2023-09-02,ANG-AN00,1
2023-09-02,ANG-LX2,1
2023-09-02,ANY-AN00,2
2023-09-02,ARE-AL00,1
2023-09-02,ART-AL00x,1
2023-09-02,ART-L28,3
2023-09-02,ART-L29,3
2023-09-02,ATU-L31,1
2023-09-02,ATU-LX3,1
2023-09-02,AUM-AL29,1
2023-09-02,AX1078,1
2023-09-02,AX751,1
2023-09-02,Advance 5.2,1
2023-09-02,Aris,1
2023-09-02,Astro 55R,2
2023-09-02,B131DL,11
2023-09-02,B140DL,1
2023-09-02,B1F,6
2023-09-02,B1c,2
2023-09-02,B1g,1
2023-09-02,B8080-H,1
2023-09-02,BA2,11
2023-09-02,BAH-L09,1
2023-09-02,BAH3-W09,1
2023-09-02,BAL-L49,1
2023-09-02,BB2,4
2023-09-02,BB4k,1
2023-09-02,BC1s,1
2023-09-02,BC2,2
2023-09-02,BC2c,2
2023-09-02,BC3,2
2023-09-02,BD2,2
2023-09-02,BD2P,1
2023-09-02,BD2d,2
2023-09-02,BD3,1
2023-09-02,BD4a,3
2023-09-02,BD4h,4
2023-09-02,BD4j,5
2023-09-02,BE2012,1
2023-09-02,BE2025,1
2023-09-02,BE2028,4
2023-09-02,BE2029,1
2023-09-02,BE6j,1
2023-09-02,BE7,1
2023-09-02,BE8,4
2023-09-02,BF6,8
2023-09-02,BF7,16
2023-09-02,BLADE A320,1
2023-09-02,BLL-L23,2
2023-09-02,BLN-L21,2
2023-09-02,BMH-AN10,2
2023-09-02,BMH-AN20,7
2023-09-02,BND-L21,1
2023-09-02,BND-L34,1
2023-09-02,BRAVE,3
2023-09-02,BRQ-AN00,1
2023-09-02,BRT-W09,1
2023-09-02,Blade A3 2019,1
2023-09-02,Blade A3 2020,5
2023-09-02,Blade A31,1
2023-09-02,Blade A31 Plus,2
2023-09-02,Blade A5 2020,1
2023-09-02,Blade A51,3
2023-09-02,Blade L210,5
2023-09-02,Blade L8,3
2023-09-02,Blade L9,4
2023-09-02,Blink,1
2023-09-02,C01 Plus,2
2023-09-02,C1,2
2023-09-02,C1 2nd Edition,8
2023-09-02,C10,3
2023-09-02,C110,1
2023-09-02,C2,4
2023-09-02,C20,8
2023-09-02,C21,1
2023-09-02,C21 Plus,1
2023-09-02,C22,1
2023-09-02,C3,1
2023-09-02,C31,1
2023-09-02,C32,1
2023-09-02,C5 2019,2
2023-09-02,C5L,1
2023-09-02,C5L Max,8
2023-09-02,C6806,1
2023-09-02,C790,1
2023-09-02,C7S,1
2023-09-02,CA7,1
2023-09-02,CAG-L02,1
2023-09-02,CAG-L22,1
2023-09-02,CAM-L03,3
2023-09-02,CAM-L21,1
2023-09-02,CC6,1
2023-09-02,CC9,2
2023-09-02,CD6j,2
2023-09-02,CD7,3
2023-09-02,CD8J,1
2023-09-02,CDY-AN00,2
2023-09-02,CE7j,1
2023-09-02,CG6,3
2023-09-02,CH6,2
2023-09-02,CH6h,1
2023-09-02,CHM-TL00H,1
2023-09-02,CI6,3
2023-09-02,CK6,1
2023-09-02,CK7n,2
2023-09-02,CLT-L29,2
2023-09-02,CMA-LX2,1
2023-09-02,COL-L29,2
2023-09-02,COR-AL00,2
2023-09-02,CP3320AS2,1
2023-09-02,CPH1609,5
2023-09-02,CPH1715,1
2023-09-02,CPH1723,1
2023-09-02,CPH1727,1
2023-09-02,CPH1729,6
2023-09-02,CPH1801,1
2023-09-02,CPH1803,14
2023-09-02,CPH1809,3
2023-09-02,CPH1819,1
2023-09-02,CPH1823,2
2023-09-02,CPH1853,3
2023-09-02,CPH1859,3
2023-09-02,CPH1861,1
2023-09-02,CPH1877,1
2023-09-02,CPH1901,4
2023-09-02,CPH1903,1
2023-09-02,CPH1909,33
2023-09-02,CPH1911,2
2023-09-02,CPH1923,9
2023-09-02,CPH1931,4
2023-09-02,CPH1933,5
2023-09-02,CPH1937,7
2023-09-02,CPH1938,3
2023-09-02,CPH1945,2
2023-09-02,CPH1951,1
2023-09-02,CPH1955,1
2023-09-02,CPH1969,1
2023-09-02,CPH1979,1
2023-09-02,CPH1989,2
2023-09-02,CPH2001,2
2023-09-02,CPH2015,9
2023-09-02,CPH2021,2
2023-09-02,CPH2043,2
2023-09-02,CPH2061,2
2023-09-02,CPH2067,2
2023-09-02,CPH2083,7
2023-09-02,CPH2095,5
2023-09-02,CPH2113,2
2023-09-02,CPH2119,5
2023-09-02,CPH2123,1
2023-09-02,CPH2125,1
2023-09-02,CPH2127,8
2023-09-02,CPH2145,1
2023-09-02,CPH2159,1
2023-09-02,CPH2173,1
2023-09-02,CPH2179,9
2023-09-02,CPH2185,12
2023-09-02,CPH2197,1
2023-09-02,CPH2203,1
2023-09-02,CPH2205,1
2023-09-02,CPH2211,1
2023-09-02,CPH2213,2
2023-09-02,CPH2219,6
2023-09-02,CPH2223,1
2023-09-02,CPH2239,11
2023-09-02,CPH2263,1
2023-09-02,CPH2269,9
2023-09-02,CPH2271,2
2023-09-02,CPH2285,1
2023-09-02,CPH2325,4
2023-09-02,CPH2349,7
2023-09-02,CPH2363,6
2023-09-02,CPH2365,1
2023-09-02,CPH2371,1
2023-09-02,CPH2375,4
2023-09-02,CPH2381,4
2023-09-02,CPH2385,1
2023-09-02,CPH2387,10
2023-09-02,CPH2389,1
2023-09-02,CPH2401,4
2023-09-02,CPH2413,1
2023-09-02,CPH2415,3
2023-09-02,CPH2417,1
2023-09-02,CPH2421,1
2023-09-02,CPH2423,1
2023-09-02,CPH2457,2
2023-09-02,CPH2459,1
2023-09-02,CPH2461,3
2023-09-02,CPH2467,2
2023-09-02,CPH2469,1
2023-09-02,CPH2471,2
2023-09-02,CPH2473,4
2023-09-02,CPH2477,12
2023-09-02,CPH2487,1
2023-09-02,CPH2495,1
2023-09-02,CPH2527,2
2023-09-02,CRT-LX3,1
2023-09-02,CTR-LX2,4
2023-09-02,CTR-LX3,1
2023-09-02,Celero 5G,1
2023-09-02,Cosmo LTE,1
2023-09-02,D213,1
2023-09-02,D2403,1
2023-09-02,D6503,1
2023-09-02,DE2117,1
2023-09-02,DE2118,20
2023-09-02,DLI-AL10,1
2023-09-02,DN2101,4
2023-09-02,DRA-L21,2
2023-09-02,DRA-LX2,2
2023-09-02,DRA-LX3,2
2023-09-02,DRA-LX5,12
2023-09-02,DRA-LX9,3
2023-09-02,DUA-AL00,1
2023-09-02,DUB-LX1,3
2023-09-02,DUB-LX3,3
2023-09-02,Desire 10 Lifestyle,1
2023-09-02,E20s,1
2023-09-02,E31 Lite,1
2023-09-02,E4810,2
2023-09-02,E50 Lite 64GB,1
2023-09-02,E60 Lite,1
2023-09-02,E6820,1
2023-09-02,E6833,1
2023-09-02,E6910,2
2023-09-02,E7533,1
2023-09-02,EA211002,2
2023-09-02,EA211005,1
2023-09-02,EB2101,1
2023-09-02,EB2103,1
2023-09-02,EC1002,2
2023-09-02,EC211001,2
2023-09-02,EC211002,1
2023-09-02,EGO,1
2023-09-02,ELA-AL00,1
2023-09-02,ELE-L04,1
2023-09-02,ELE-L29,2
2023-09-02,ELS-AN00,2
2023-09-02,ELS-NX9,2
2023-09-02,EML-AL00,1
2023-09-02,EML-L09,1
2023-09-02,EPIC PRO_1,1
2023-09-02,EVE-LX9,1
2023-09-02,Edge,2
2023-09-02,Edge (2022),3
2023-09-02,Edge 20,1
2023-09-02,Edge 5G UW,27
2023-09-02,Edge Plus,2
2023-09-02,Edge Plus (2022),2
2023-09-02,Edge Plus 2023,2
2023-09-02,Edge Plus 5G UW (2022),6
2023-09-02,Elite 10QH,1
2023-09-02,Elite A65,1
2023-09-02,Elite B63,2
2023-09-02,Elite B65,1
2023-09-02,Elite R55,1
2023-09-02,F1,3
2023-09-02,F211S,1
2023-09-02,FLA-LX1,1
2023-09-02,FRL-L22,2
2023-09-02,FRL-L23,6
2023-09-02,Fire HD 10 Plus,35
2023-09-02,Firefox for Android,798
2023-09-02,Firefox for Android Tablet,1
2023-09-02,G1,2
2023-09-02,G10,2
2023-09-02,G11,1
2023-09-02,G20,1
2023-09-02,G21,2
2023-09-02,G400 5G,1
2023-09-02,G50,4
2023-09-02,G50 Plus,1
2023-09-02,G8,1
2023-09-02,G8 Power,7
2023-09-02,G9 PRO,1
2023-09-02,G91 Pro,1
2023-09-02,GLK-AL00,1
2023-09-02,GLO,1
2023-09-02,GM1900,1
2023-09-02,GM1901,2
2023-09-02,GM1911,1
2023-09-02,GM1915,2
2023-09-02,GM1917,2
2023-09-02,GN2200,8
2023-09-02,GPad G3,1
2023-09-02,GRA-L09,1
2023-09-02,GT-I9500,1
2023-09-02,H1711 Ascent XT2,1
2023-09-02,H870DS,10
2023-09-02,H932,2
2023-09-02,HD1900,6
2023-09-02,HD1901,1
2023-09-02,HD1907,5
2023-09-02,HD1913,4
2023-09-02,HD1925,1
2023-09-02,HLK-AL00,3
2023-09-02,HLTE103E,1
2023-09-02,HPP-L55B,6
2023-09-02,HRY-LX1,2
2023-09-02,HRY-LX1T,1
2023-09-02,HT80,1
2023-09-02,Hot 4 Pro,1
2023-09-02,I006D,1
2023-09-02,I1928,1
2023-09-02,I2011,5
2023-09-02,I2012,3
2023-09-02,I2017,2
2023-09-02,I2019,1
2023-09-02,I2126,1
2023-09-02,I2127,1
2023-09-02,I2207,1
2023-09-02,I2208,3
2023-09-02,I2214,1
2023-09-02,ID3k,1
2023-09-02,IN1,1
2023-09-02,IN2011,1
2023-09-02,IN2013,1
2023-09-02,IN2015,2
2023-09-02,IN2017,4
2023-09-02,IN2023,1
2023-09-02,IN5,1
2023-09-02,INE-LX1,1
2023-09-02,INE-LX1r,1
2023-09-02,IV2201,5
2023-09-02,Infinity E30 Lite,2
2023-09-02,Infinix X6816,6
2023-09-02,Infinix X6816C,2
2023-09-02,J5,1
