date,device,visits
2024-01-04,desktop,248385
2024-01-04,mobile,88491
2024-01-04,tablet,3309
2024-01-04,smart tv,1096
2024-01-03,desktop,229940
2024-01-03,mobile,90154
2024-01-03,tablet,3342
2024-01-03,smart tv,1103
2024-01-02,desktop,198655
2024-01-02,mobile,88822
2024-01-02,tablet,3283
2024-01-02,smart tv,1062
2024-01-01,mobile,94189
2024-01-01,desktop,75854
2024-01-01,tablet,3147
2024-01-01,smart tv,1080
2023-12-31,mobile,69483
2023-12-31,desktop,59804
2023-12-31,tablet,2532
2023-12-31,smart tv,471
2023-12-30,mobile,76343
2023-12-30,desktop,67499
2023-12-30,tablet,2741
2023-12-30,smart tv,455
2023-12-29,desktop,110681
2023-12-29,mobile,77767
2023-12-29,tablet,2823
2023-12-29,smart tv,983
2023-12-28,desktop,135865
2023-12-28,mobile,86603
2023-12-28,tablet,2953
2023-12-28,smart tv,990
2023-12-27,desktop,133506
2023-12-27,mobile,86670
2023-12-27,tablet,3013
2023-12-27,smart tv,1009
2023-12-26,desktop,111171
2023-12-26,mobile,79866
2023-12-26,tablet,2891
2023-12-26,smart tv,1002
2023-12-25,mobile,69614
2023-12-25,desktop,60979
2023-12-25,tablet,2427
2023-12-25,smart tv,1016
2023-12-24,mobile,63664
2023-12-24,desktop,58417
2023-12-24,tablet,2467
2023-12-24,smart tv,453
2023-12-23,mobile,73750
2023-12-23,desktop,61038
2023-12-23,tablet,2598
2023-12-23,smart tv,462
2023-12-22,desktop,131498
2023-12-22,mobile,75375
2023-12-22,tablet,2699
2023-12-22,smart tv,980
2023-12-21,desktop,188915
2023-12-21,mobile,79548
2023-12-21,tablet,2782
2023-12-21,smart tv,999
2023-12-20,desktop,227401
2023-12-20,mobile,83697
2023-12-20,tablet,3202
2023-12-20,smart tv,1007
2023-12-19,desktop,231386
2023-12-19,mobile,84305
2023-12-19,tablet,3331
2023-12-19,smart tv,1024
2023-12-18,desktop,228829
2023-12-18,mobile,84257
2023-12-18,tablet,3250
2023-12-18,smart tv,1006
2023-12-17,desktop,88363
2023-12-17,mobile,79689
2023-12-17,tablet,3208
2023-12-17,smart tv,471
2023-12-16,mobile,77904
2023-12-16,desktop,77483
2023-12-16,tablet,3091
2023-12-16,smart tv,469
2023-12-15,desktop,203493
2023-12-15,mobile,84111
2023-12-15,tablet,3262
2023-12-15,smart tv,999
2023-12-14,desktop,253693
2023-12-14,mobile,89520
2023-12-14,tablet,3516
2023-12-14,smart tv,992
2023-12-13,desktop,262815
2023-12-13,mobile,89166
2023-12-13,tablet,3566
2023-12-13,smart tv,997
2023-12-12,desktop,276142
2023-12-12,mobile,88077
2023-12-12,tablet,3653
2023-12-12,smart tv,1004
2023-12-11,desktop,278211
2023-12-11,mobile,86818
2023-12-11,tablet,3816
2023-12-11,smart tv,1005
2023-12-10,desktop,118717
2023-12-10,mobile,80309
2023-12-10,tablet,3158
2023-12-10,smart tv,461
2023-12-09,desktop,95029
2023-12-09,mobile,80632
2023-12-09,tablet,3144
2023-12-09,smart tv,458
2023-12-08,desktop,226232
2023-12-08,mobile,83827
2023-12-08,tablet,3551
2023-12-08,smart tv,991
2023-12-07,desktop,280499
2023-12-07,mobile,89862
2023-12-07,tablet,3781
2023-12-07,smart tv,995
2023-12-06,desktop,302678
2023-12-06,mobile,96947
2023-12-06,tablet,4059
2023-12-06,smart tv,990
