domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.airnow.gov,/,1749950,744898,387959,2.3492478164795716,239.00998247837421,0.61207171988648112
gispub.epa.gov,/airnow/,794675,71089,41792,11.17859303127066,624.56797952400507,0.18759583057857052
netdmr.epa.gov,/netdmr-web/public/welcome.htm,610742,30760,16037,19.855071521456438,990.903382066775,0.0078023407022106634
portfoliomanager.energystar.gov,/pm/login,401101,38695,17166,10.365706163587026,834.56191843041734,0.12629538700090451
www.epa.gov,/,371186,168411,146663,2.2040484291406144,176.72994351349973,0.55866897055418
rcrapublic.epa.gov,/rcrainfoweb/action/modules/em/emindex,340548,958,769,355.47807933194156,7779.5957970480167,0.14091858037578289
www.airnow.gov,/aqi/aqi-basics/,296514,226142,206394,1.3111850076500606,61.679392956867815,0.56314616479910851
www.energystar.gov,/,261238,90557,78778,2.8847907947480591,176.76195688491228,0.48214936448866458
ordspub.epa.gov,/ords/pesticides/f,234886,33257,17900,7.06275370598671,421.25349287951406,0.18765974080644676
widget.airnow.gov,/aq-dial-widget-signage/,210273,218,142,964.55504587155963,239138.394751711,0.59633027522935778
widget.airnow.gov,/aq-dial-widget/,157081,21725,17774,7.230425776754891,1076.7537190899425,0.80243958573072494
portfoliomanager.energystar.gov,/pm/home,140083,10615,3297,13.196702779086198,1241.6900413167216,0.11964201601507302
fire.airnow.gov,/,138057,127198,81326,1.0853708391641379,103.4601897096731,0.51213069387883459
(other),(other),136205,294814,247530,0.46200316131527,53.5317414322522,0.28966399153364492
www.energystar.gov,/about/federal_tax_credits,131221,32161,29597,4.080128105469357,314.1542983071422,0.18245701315257609
cumulis.epa.gov,/supercpad/CurSites/csitinfo.cfm,106674,7882,7164,13.533874651103782,715.54540178419177,0.327708703374778
www.epa.gov,/enforcement/fuel-waivers,105791,37368,37649,2.8310586598158851,78.226059689895081,0.35996039391993151
www.epa.gov,/renewable-fuel-standard-program/news-notices-and-announcements-renewable-fuel-standard,98738,77267,77562,1.2778805958559281,14.033852651144729,0.79776618737624083
www.energystar.gov,/about/federal_tax_credits/non_business_energy_property_tax_credits,95423,25464,23186,3.7473688344329248,296.74397063980518,0.2229421928997801
www.epa.gov,/fuels-registration-reporting-and-compliance-help,94173,16893,16407,5.5746759012608775,220.61478186970936,0.08968211685313443
