date,browser,os_version,visits
2024-01-04,Internet Explorer,10,130
2024-01-03,Internet Explorer,10,118
2024-01-02,Internet Explorer,10,121
2023-12-21,Internet Explorer,10,105
2023-12-20,Internet Explorer,10,118
2023-12-19,Internet Explorer,10,131
2023-12-18,Internet Explorer,10,154
2023-12-17,Internet Explorer,10,107
2023-12-15,Internet Explorer,10,152
2023-12-14,Internet Explorer,10,132
2023-12-13,Internet Explorer,10,151
2023-12-12,Internet Explorer,10,126
2023-12-11,Internet Explorer,10,132
2023-12-08,Internet Explorer,10,114
2023-12-07,Internet Explorer,10,141
2023-12-06,Internet Explorer,10,119
2023-12-05,Internet Explorer,10,133
2023-12-04,Internet Explorer,10,125
2023-11-30,Internet Explorer,10,131
2023-11-29,Internet Explorer,10,141
2023-11-28,Internet Explorer,10,129
2023-11-27,Internet Explorer,10,137
2023-11-21,Internet Explorer,10,139
2023-11-20,Internet Explorer,10,141
2023-11-17,Internet Explorer,10,123
2023-11-16,Internet Explorer,10,125
2023-11-15,Internet Explorer,10,134
2023-11-14,Internet Explorer,10,147
2023-11-13,Internet Explorer,10,121
2023-11-09,Internet Explorer,10,161
2023-11-08,Internet Explorer,10,148
2023-11-07,Internet Explorer,10,140
2023-11-06,Internet Explorer,10,150
2023-11-03,Internet Explorer,10,106
2023-11-02,Internet Explorer,10,159
2023-11-01,Internet Explorer,10,135
2023-10-31,Internet Explorer,10,147
2023-10-30,Internet Explorer,10,218
2023-10-27,Internet Explorer,10,111
2023-10-26,Internet Explorer,10,121
2023-10-25,Internet Explorer,10,151
2023-10-24,Internet Explorer,10,162
2023-10-23,Internet Explorer,10,136
2023-10-19,Internet Explorer,10,173
2023-10-18,Internet Explorer,10,152
2023-10-17,Internet Explorer,10,205
2023-10-16,Internet Explorer,10,170
2023-10-13,Internet Explorer,10,109
2023-10-12,Internet Explorer,10,147
2023-10-11,Internet Explorer,10,147
2023-10-10,Internet Explorer,10,174
2023-10-09,Internet Explorer,10,142
