date,os_version,visits
2023-10-10,10,150321
2023-10-12,10,148427
2023-11-08,10,143547
2023-11-14,10,143072
2023-11-30,10,141962
2023-10-11,10,141148
2023-11-28,10,140284
2023-10-23,10,140280
2023-10-24,10,140174
2023-12-05,10,138809
2023-11-15,10,137967
2023-11-16,10,137376
2023-10-25,10,136946
2023-10-18,10,136029
2023-10-17,10,135950
2023-11-01,10,135821
2023-10-30,10,135376
2023-11-06,10,135176
2023-12-04,10,133963
2023-11-29,10,133833
2023-10-16,10,133503
2023-10-31,10,133395
2023-11-07,10,133358
2023-11-02,10,133345
2023-12-06,10,133250
2023-12-12,10,132430
2023-11-09,10,132385
2023-11-27,10,131264
2023-10-19,10,130266
2023-12-11,10,129543
2023-11-13,10,129072
2023-11-20,10,127801
2023-10-26,10,126721
2023-12-07,10,126211
2024-01-04,10,125256
2023-12-13,10,123017
2023-11-21,10,122488
2023-12-14,10,119200
2023-10-09,10,118811
2023-12-20,10,116807
2023-10-13,10,116517
2023-11-17,10,115677
2023-12-18,10,113958
2024-01-03,10,112834
2023-12-19,10,110479
2023-12-01,10,109052
2023-11-03,10,105927
2023-10-27,10,103834
2023-10-20,10,102802
2023-12-08,10,98211
2024-01-02,10,97769
2023-12-15,10,95792
2023-11-22,10,93852
2023-12-21,10,93587
2023-11-10,10,89487
2023-12-04,11,78011
2023-11-15,11,77630
2023-11-29,11,76838
2023-11-08,11,76669
2023-11-28,11,76382
2023-11-06,11,76296
2023-11-30,11,76247
2023-11-13,11,75818
2023-11-14,11,75622
2023-11-07,11,75093
2023-12-05,11,75018
2023-10-31,11,74921
2023-11-27,11,74204
2023-12-06,11,72691
2023-10-23,11,72337
2023-10-24,11,72282
2023-10-30,11,72146
2023-11-16,11,71507
2023-10-11,11,71153
2023-10-25,11,71062
2023-10-10,11,70867
2023-11-01,11,70805
2023-11-02,11,70641
2023-10-17,11,70410
2023-10-19,11,70021
2023-11-09,11,69983
2023-10-18,11,69955
2023-10-16,11,69203
2023-10-12,11,69128
2023-11-20,11,68447
2023-12-11,11,68323
2023-10-26,11,68297
2023-12-12,11,67225
2023-12-07,11,66975
2023-12-27,10,66247
2023-12-28,10,66243
2023-11-21,11,65708
2023-12-22,10,64179
2023-12-13,11,62442
2023-12-14,11,61396
2023-11-17,11,58200
2023-11-03,11,58144
2023-12-01,11,56957
2024-01-04,11,56899
2023-12-19,11,56735
2023-12-18,11,56123
2024-01-03,11,55737
2023-10-27,11,55184
2023-10-13,11,54672
2023-12-08,11,53834
2023-10-20,11,53158
2023-10-09,11,50948
2023-12-20,11,50890
2024-01-02,11,50522
2023-11-22,11,49932
2023-12-29,10,49765
2023-12-26,10,49735
2023-12-15,11,47100
2023-11-23,10,45579
2023-11-24,10,45271
2023-12-21,11,44939
2023-11-10,11,43774
2023-11-05,10,43359
2023-12-03,10,42555
2023-11-19,10,41329
2023-10-08,10,41205
2023-11-26,10,40564
2023-11-12,10,40247
2023-10-15,10,40044
2023-10-22,10,39173
2023-10-29,10,39140
2023-12-10,10,38795
2023-12-03,11,36115
2023-10-14,10,34986
2023-12-27,11,33824
2023-10-07,10,33757
2023-12-28,11,33696
2023-11-04,10,33206
2023-11-05,11,32884
2023-12-02,10,32788
2023-11-11,10,32709
2023-11-18,10,32563
2023-10-21,10,32360
2023-11-26,11,31749
2023-11-12,11,31710
2023-10-28,10,30596
2023-11-19,11,30164
2023-12-17,10,29757
2023-12-10,11,29743
2023-12-09,10,29642
2023-10-29,11,29600
2023-10-15,11,29342
2023-10-22,11,28947
2023-11-25,10,28714
2023-12-22,11,28516
2023-11-24,11,28232
2023-12-16,10,26899
2023-10-08,11,26882
2023-12-26,11,26691
2023-11-23,11,26649
2023-12-02,11,25860
2024-01-01,10,25763
2023-12-29,11,25461
2023-11-04,11,23117
2023-11-11,11,23102
2023-11-18,11,22654
2023-10-14,11,22005
2023-10-07,11,21768
2023-12-09,11,21716
2023-10-21,11,21545
2023-11-25,11,21312
2023-12-25,10,21082
2023-12-30,10,21071
2023-10-28,11,20607
2023-12-23,10,20278
2023-12-24,10,19600
2023-12-17,11,19160
2023-12-31,10,18206
2023-12-16,11,16379
2024-01-01,11,14639
2023-12-30,11,12681
2023-12-25,11,11666
2023-12-23,11,10960
2023-12-31,11,10648
2023-12-24,11,9806
2023-10-12,7,3479
2023-10-10,7,3362
2023-10-09,7,3050
2023-10-13,7,2904
2023-10-11,7,2818
2023-11-10,7,2757
2023-11-16,7,2567
2023-11-14,7,2535
2023-10-23,7,2517
2023-11-09,7,2476
2023-10-18,7,2460
2023-11-08,7,2379
2023-10-16,7,2377
2023-11-27,7,2373
2023-11-07,7,2360
2023-11-20,7,2343
2023-11-15,7,2337
2023-11-28,7,2333
2023-11-13,7,2330
2023-10-17,7,2324
2023-11-02,7,2306
2023-10-24,7,2301
2024-01-04,7,2300
2023-11-30,7,2299
2023-11-06,7,2283
2023-10-25,7,2281
2023-11-01,7,2277
2023-11-29,7,2251
2023-12-04,7,2216
2023-10-19,7,2198
2023-10-30,7,2179
2023-11-21,7,2152
2023-12-20,7,2147
2023-12-05,7,2137
2023-12-06,7,2103
2023-10-31,7,2098
2023-11-22,7,2060
2023-10-26,7,2052
2023-12-12,7,2020
2023-12-01,7,2015
2023-11-03,7,2000
2024-01-03,7,1990
2023-10-20,7,1951
2023-12-19,7,1948
2023-12-14,7,1942
2023-12-13,7,1935
2023-12-11,7,1930
2023-12-18,7,1929
2023-11-17,7,1911
2023-12-07,7,1891
2023-10-27,7,1874
2023-11-11,7,1753
2023-12-15,7,1716
2023-12-08,7,1715
2024-01-02,7,1703
2023-12-26,7,1654
2023-12-27,7,1647
2023-12-22,7,1641
2023-11-24,7,1623
2023-11-23,7,1621
2023-12-21,7,1610
2023-10-08,7,1567
2023-12-28,7,1561
2023-10-14,7,1556
2023-12-29,7,1508
2023-10-07,7,1477
2023-11-12,7,1469
2023-10-21,7,1465
2023-11-26,7,1417
2023-11-05,7,1390
2023-10-15,7,1381
2023-12-16,7,1379
2023-10-22,7,1366
2023-12-02,7,1362
2023-12-03,7,1328
2023-12-10,7,1310
2023-11-18,7,1293
2023-10-30,8,1289
2023-12-09,7,1282
2023-11-25,7,1279
2023-12-25,7,1255
2023-10-29,7,1223
2023-11-04,7,1223
2023-11-19,7,1202
2023-10-28,7,1183
2023-12-23,7,1154
2023-12-30,7,1122
2023-12-17,7,1095
2024-01-01,7,1087
2023-12-24,7,1019
2023-11-16,8.1,973
2023-11-06,8.1,877
2023-11-15,8.1,874
2023-10-19,8.1,861
2023-10-17,8.1,850
2023-10-18,8.1,850
2023-10-25,8.1,823
2023-12-31,7,806
2023-11-07,8.1,803
2023-11-28,8.1,793
2023-10-11,8.1,791
2023-10-24,8.1,790
2023-10-23,8.1,789
2023-11-08,8.1,785
2023-10-12,8.1,781
2023-10-16,8.1,774
2023-10-09,8.1,768
2023-10-10,8.1,766
2023-11-27,8.1,756
2023-11-14,8.1,755
2023-10-30,8.1,751
2023-11-29,8.1,743
2023-11-09,8.1,742
2023-10-31,8,740
2023-11-21,8.1,734
2023-10-31,8.1,733
2023-12-06,8.1,721
2023-10-26,8.1,718
2023-11-20,8.1,717
2023-12-04,8.1,711
2023-11-22,8.1,710
2023-11-30,8.1,710
2023-10-23,8,709
2023-10-20,8.1,707
2023-11-17,8.1,705
2023-11-13,8.1,700
2023-11-01,8.1,695
2023-11-03,8.1,694
2023-11-02,8.1,687
2023-10-27,8.1,674
2023-12-05,8.1,653
2023-10-13,8.1,651
2023-12-01,8.1,644
2023-12-19,8.1,630
2023-12-07,8.1,629
2023-11-10,8.1,626
2023-11-23,8.1,624
2023-12-12,8.1,600
2023-12-11,8.1,582
2023-11-26,8.1,578
2023-12-14,8.1,572
2023-11-24,8.1,570
2023-11-05,8.1,565
2023-10-08,8.1,542
2023-12-18,8.1,541
2023-10-29,8.1,537
2023-12-03,8.1,537
2023-10-22,8.1,533
2023-11-04,8.1,532
2024-01-03,8.1,529
2023-10-15,8.1,525
2023-11-12,8.1,524
2023-12-08,8.1,523
2023-12-13,8,519
2023-12-13,8.1,514
2024-01-02,8.1,511
2023-11-25,8.1,507
2023-12-20,8.1,505
2023-12-20,8,503
2024-01-04,8.1,502
2023-10-07,8.1,497
2023-12-02,8.1,490
2023-11-19,8.1,488
2023-10-14,8.1,486
2023-10-21,8.1,486
2023-11-18,8.1,475
2023-12-15,8.1,471
2023-10-28,8.1,468
2023-11-11,8.1,466
2023-12-21,8.1,449
2023-10-09,8,428
2023-12-10,8.1,418
2023-12-27,8.1,416
2023-12-26,8.1,408
2023-10-10,8,392
2023-12-28,8.1,384
2023-12-22,8.1,382
2023-11-09,8,379
2023-12-30,8,374
2023-12-29,8.1,371
2023-12-09,8.1,364
2023-12-17,8.1,350
2023-12-07,8,337
2023-10-22,8,327
2023-10-21,8,319
2024-01-01,8.1,308
2023-12-30,8.1,304
2023-12-11,8,303
2023-12-16,8.1,302
2023-12-25,8.1,301
2023-10-24,8,286
2023-11-06,8,286
2023-12-26,8,283
2023-10-17,8,281
2023-12-12,8,273
2023-11-08,8,271
2023-12-19,8,271
2023-10-18,8,270
2023-10-19,8,270
2023-11-10,8,269
2023-10-25,8,265
2023-10-20,8,261
2023-10-16,8,257
2023-10-26,8,251
2023-12-31,8.1,245
2023-11-16,XP,242
2023-11-27,8,241
2023-11-16,8,239
2023-12-23,8.1,237
2023-11-07,8,232
2023-11-21,8,231
2023-12-04,8,230
2023-12-29,8,228
2023-10-27,8,226
2023-12-18,8,225
2023-12-27,8,223
2023-11-01,8,222
2023-11-14,8,222
2023-11-13,8,221
2023-11-29,8,219
2023-11-20,8,218
2023-12-15,8,216
2023-12-24,8.1,214
2023-11-02,8,213
2023-11-15,8,210
2023-11-22,8,206
2023-12-05,8,206
2023-12-08,8,206
2023-10-12,8,205
2023-11-30,8,201
2023-10-13,8,197
2023-12-28,8,197
2023-10-11,8,195
2023-11-17,8,194
2023-12-10,8,183
2023-11-23,8,180
2023-12-06,8,178
2023-11-28,8,177
2023-10-07,8,173
2023-12-17,8,173
2023-12-14,8,172
2023-11-03,8,171
2024-01-04,8,170
2023-10-08,8,168
2023-11-24,8,168
2023-12-01,8,167
2023-12-09,8,167
2024-01-03,8,164
2023-11-26,8,159
2023-11-15,XP,154
2023-10-14,8,143
2023-11-19,8,143
2023-12-21,8,140
2023-10-29,8,129
2024-01-02,8,127
2023-11-04,8,123
2023-10-15,8,121
2023-11-18,8,120
2023-11-25,8,117
2023-12-03,8,117
2023-11-05,8,116
2023-12-22,8,115
2023-10-28,8,110
2023-10-27,XP,106
2023-10-23,XP,103
2023-11-12,8,102
