date,browser,visits
2024-01-04,Chrome,164352
2024-01-04,Safari,90741
2024-01-04,Edge,18828
2024-01-04,Firefox,5335
2024-01-04,Safari (in-app),4052
2024-01-04,Samsung Internet,3662
2024-01-04,Android Webview,2301
2024-01-04,Opera,684
2024-01-04,Amazon Silk,305
2024-01-04,(not set),243
2024-01-04,Lynx,154
2024-01-04,Mozilla Compatible Agent,147
2024-01-04,Internet Explorer,142
2024-01-04,YaBrowser,125
2024-01-04,Android Runtime,75
2024-01-04,Opera Mini,55
2024-01-04,Mozilla,47
2024-01-04,Whale Browser,31
2024-01-04,UC Browser,30
2024-01-04,Android Browser,15
2024-01-04,Phoenix Browser,5
2024-01-04,SeaMonkey,5
2024-01-04,Coc Coc,4
2024-01-04,Aloha Browser,2
2024-01-04,BlackBerry,2
2024-01-04,Meta Quest Browser,2
2024-01-04,PaleMoon,2
2024-01-04,DuckDuckGo Browser,1
2024-01-04,Iron,1
2024-01-04,NetFront,1
2024-01-03,Chrome,139298
2024-01-03,Safari,96116
2024-01-03,Edge,18625
2024-01-03,Firefox,5191
2024-01-03,Safari (in-app),4287
2024-01-03,Samsung Internet,3527
2024-01-03,Android Webview,2074
2024-01-03,Opera,664
2024-01-03,Amazon Silk,297
2024-01-03,(not set),250
2024-01-03,Mozilla Compatible Agent,163
2024-01-03,Lynx,144
2024-01-03,Internet Explorer,133
2024-01-03,YaBrowser,90
2024-01-03,Opera Mini,65
2024-01-03,Mozilla,47
2024-01-03,Whale Browser,44
2024-01-03,Android Runtime,33
2024-01-03,UC Browser,27
2024-01-03,Coc Coc,13
2024-01-03,Android Browser,12
2024-01-03,Aloha Browser,8
2024-01-03,Iron,7
2024-01-03,DuckDuckGo Browser,3
2024-01-03,Meta Quest Browser,3
2024-01-03,BlackBerry,1
2024-01-03,Galeon,1
2024-01-03,Nokia Browser,1
2024-01-03,PaleMoon,1
2024-01-03,Phoenix Browser,1
2024-01-03,SeaMonkey,1
2024-01-03,Seznam,1
2024-01-02,Chrome,99272
2024-01-02,Safari,70876
2024-01-02,Edge,15057
2024-01-02,Firefox,4418
2024-01-02,Safari (in-app),2190
2024-01-02,Samsung Internet,2065
2024-01-02,Android Webview,1386
2024-01-02,Lynx,647
2024-01-02,Opera,497
2024-01-02,(not set),383
2024-01-02,Amazon Silk,220
2024-01-02,Internet Explorer,153
2024-01-02,Mozilla Compatible Agent,86
2024-01-02,YaBrowser,69
2024-01-02,Opera Mini,65
2024-01-02,Mozilla,48
2024-01-02,Android Runtime,37
2024-01-02,UC Browser,28
2024-01-02,Whale Browser,22
2024-01-02,Coc Coc,15
2024-01-02,DuckDuckGo Browser,7
2024-01-02,Meta Quest Browser,7
2024-01-02,Android Browser,6
2024-01-02,Aloha Browser,5
2024-01-02,BlackBerry,2
2024-01-02,Konqueror,1
2024-01-02,SeaMonkey,1
2024-01-02,Waterfox,1
2024-01-01,Chrome,71961
2024-01-01,Safari,63743
2024-01-01,Edge,4124
2024-01-01,Firefox,2654
2024-01-01,Safari (in-app),1906
2024-01-01,Android Webview,1692
2024-01-01,Samsung Internet,1639
2024-01-01,Opera,415
2024-01-01,(not set),234
2024-01-01,Amazon Silk,169
2024-01-01,Internet Explorer,121
2024-01-01,Lynx,89
2024-01-01,Mozilla Compatible Agent,83
2024-01-01,Opera Mini,72
2024-01-01,YaBrowser,64
2024-01-01,Mozilla,49
2024-01-01,Android Runtime,42
2024-01-01,Whale Browser,26
2024-01-01,UC Browser,20
2024-01-01,Coc Coc,16
2024-01-01,Aloha Browser,12
2024-01-01,Android Browser,10
2024-01-01,DuckDuckGo Browser,5
2024-01-01,Waterfox,3
2024-01-01,Meta Quest Browser,2
2024-01-01,Phoenix Browser,2
2024-01-01,Konqueror,1
2024-01-01,Puffin,1
2024-01-01,SeaMonkey,1
2024-01-01,Seznam,1
2023-12-31,Safari,60099
2023-12-31,Chrome,45366
2023-12-31,Edge,3155
2023-12-31,Firefox,2582
2023-12-31,Safari (in-app),1969
2023-12-31,Samsung Internet,1619
2023-12-31,Android Webview,1270
2023-12-31,Opera,375
2023-12-31,(not set),214
2023-12-31,Amazon Silk,184
2023-12-31,Lynx,168
2023-12-31,Internet Explorer,135
2023-12-31,Mozilla Compatible Agent,122
2023-12-31,Opera Mini,59
2023-12-31,Mozilla,48
2023-12-31,YaBrowser,43
2023-12-31,Android Runtime,31
2023-12-31,UC Browser,25
2023-12-31,Whale Browser,16
2023-12-31,Coc Coc,10
2023-12-31,Android Browser,6
2023-12-31,Aloha Browser,5
2023-12-31,DuckDuckGo Browser,5
2023-12-31,Waterfox,5
2023-12-31,Iron,1
2023-12-31,Konqueror,1
2023-12-31,Meta Quest Browser,1
2023-12-31,NetFront,1
2023-12-31,Nintendo Browser,1
2023-12-31,SeaMonkey,1
2023-12-30,Safari,65200
2023-12-30,Chrome,56100
2023-12-30,Safari (in-app),5158
2023-12-30,Edge,4222
2023-12-30,Firefox,3057
2023-12-30,Android Webview,2370
2023-12-30,Samsung Internet,1980
2023-12-30,Opera,412
2023-12-30,(not set),214
2023-12-30,Amazon Silk,177
2023-12-30,Lynx,170
2023-12-30,Mozilla Compatible Agent,135
2023-12-30,Internet Explorer,113
2023-12-30,YaBrowser,88
2023-12-30,Opera Mini,79
2023-12-30,Mozilla,46
2023-12-30,Android Runtime,36
2023-12-30,UC Browser,29
2023-12-30,Whale Browser,19
2023-12-30,Aloha Browser,12
2023-12-30,Coc Coc,8
2023-12-30,Android Browser,4
2023-12-30,DuckDuckGo Browser,4
2023-12-30,Waterfox,4
2023-12-30,Meta Quest Browser,1
2023-12-30,Nintendo Browser,1
2023-12-30,Phoenix Browser,1
2023-12-30,Puffin,1
2023-12-29,Chrome,92438
2023-12-29,Safari,78286
2023-12-29,Edge,8266
2023-12-29,Firefox,4138
2023-12-29,Samsung Internet,2678
2023-12-29,Safari (in-app),2512
2023-12-29,Android Webview,1810
2023-12-29,Opera,465
2023-12-29,(not set),285
2023-12-29,Lynx,283
2023-12-29,Amazon Silk,269
2023-12-29,Mozilla Compatible Agent,140
2023-12-29,YaBrowser,114
2023-12-29,Internet Explorer,92
2023-12-29,Opera Mini,79
2023-12-29,Mozilla,48
2023-12-29,Android Runtime,36
2023-12-29,UC Browser,26
2023-12-29,Whale Browser,22
2023-12-29,Android Browser,11
2023-12-29,Coc Coc,8
2023-12-29,Aloha Browser,7
2023-12-29,DuckDuckGo Browser,4
2023-12-29,Iron,4
2023-12-29,Meta Quest Browser,3
2023-12-29,Phoenix Browser,3
2023-12-29,BlackBerry,1
2023-12-29,Nintendo Browser,1
2023-12-29,PaleMoon,1
2023-12-29,SeaMonkey,1
2023-12-28,Chrome,71840
2023-12-28,Safari,66364
2023-12-28,Edge,9509
2023-12-28,Firefox,3924
2023-12-28,Safari (in-app),2318
2023-12-28,Samsung Internet,1837
2023-12-28,Android Webview,1367
2023-12-28,Opera,428
2023-12-28,(not set),314
2023-12-28,Lynx,207
2023-12-28,Amazon Silk,193
2023-12-28,Mozilla Compatible Agent,122
2023-12-28,Internet Explorer,113
2023-12-28,YaBrowser,84
2023-12-28,Opera Mini,76
2023-12-28,Mozilla,48
2023-12-28,Android Runtime,47
2023-12-28,Coc Coc,18
2023-12-28,UC Browser,15
2023-12-28,Whale Browser,14
2023-12-28,Android Browser,6
2023-12-28,DuckDuckGo Browser,5
2023-12-28,Meta Quest Browser,2
2023-12-28,PaleMoon,2
2023-12-28,Aloha Browser,1
2023-12-28,BlackBerry,1
2023-12-28,Konqueror,1
2023-12-28,Phoenix Browser,1
2023-12-28,Puffin,1
2023-12-27,Chrome,73617
2023-12-27,Safari,64145
2023-12-27,Edge,10339
2023-12-27,Firefox,3674
2023-12-27,Samsung Internet,1729
2023-12-27,Safari (in-app),1653
2023-12-27,Android Webview,1009
2023-12-27,Opera,408
2023-12-27,Lynx,371
2023-12-27,(not set),243
2023-12-27,Amazon Silk,189
2023-12-27,Mozilla Compatible Agent,123
2023-12-27,Internet Explorer,102
2023-12-27,YaBrowser,88
2023-12-27,Opera Mini,56
2023-12-27,Mozilla,46
2023-12-27,Android Runtime,36
2023-12-27,Whale Browser,21
2023-12-27,UC Browser,14
2023-12-27,Coc Coc,13
2023-12-27,Android Browser,8
2023-12-27,Aloha Browser,4
2023-12-27,BlackBerry,1
2023-12-27,DuckDuckGo Browser,1
2023-12-27,Meta Quest Browser,1
2023-12-27,Phoenix Browser,1
2023-12-27,SeaMonkey,1
2023-12-26,Chrome,64157
2023-12-26,Safari,60183
2023-12-26,Edge,9029
2023-12-26,Firefox,3336
2023-12-26,Safari (in-app),1861
2023-12-26,Samsung Internet,1714
2023-12-26,Android Webview,1280
2023-12-26,Opera,406
2023-12-26,(not set),248
2023-12-26,Amazon Silk,198
2023-12-26,Lynx,167
2023-12-26,YaBrowser,125
2023-12-26,Mozilla Compatible Agent,116
2023-12-26,Internet Explorer,109
2023-12-26,Android Runtime,64
2023-12-26,Opera Mini,52
2023-12-26,Android Browser,50
2023-12-26,Mozilla,47
2023-12-26,Whale Browser,32
2023-12-26,Coc Coc,16
2023-12-26,UC Browser,15
2023-12-26,DuckDuckGo Browser,7
2023-12-26,Phoenix Browser,5
2023-12-26,Aloha Browser,3
2023-12-26,Iron,3
2023-12-26,BlackBerry,1
2023-12-26,Meta Quest Browser,1
2023-12-26,Puffin,1
2023-12-26,SeaMonkey,1
2023-12-26,Waterfox,1
2023-12-25,Safari,54634
2023-12-25,Chrome,44442
2023-12-25,Edge,3590
2023-12-25,Firefox,2184
2023-12-25,Safari (in-app),1818
2023-12-25,Android Webview,1451
2023-12-25,Samsung Internet,1440
2023-12-25,Opera,351
2023-12-25,(not set),215
2023-12-25,Lynx,157
2023-12-25,Amazon Silk,152
2023-12-25,Internet Explorer,116
2023-12-25,YaBrowser,113
2023-12-25,Mozilla Compatible Agent,107
2023-12-25,Android Browser,106
2023-12-25,Android Runtime,60
2023-12-25,Opera Mini,54
2023-12-25,Mozilla,49
2023-12-25,Whale Browser,23
2023-12-25,UC Browser,18
2023-12-25,Coc Coc,9
2023-12-25,Aloha Browser,8
2023-12-25,Meta Quest Browser,4
2023-12-25,Phoenix Browser,4
2023-12-25,BlackBerry,2
2023-12-25,DuckDuckGo Browser,2
2023-12-25,PaleMoon,2
2023-12-25,Nintendo Browser,1
2023-12-25,SeaMonkey,1
2023-12-25,Waterfox,1
2023-12-24,Safari,54584
2023-12-24,Chrome,47686
2023-12-24,Edge,3476
2023-12-24,Firefox,2975
2023-12-24,Safari (in-app),2079
2023-12-24,Android Webview,1893
2023-12-24,Samsung Internet,1643
2023-12-24,Opera,400
2023-12-24,(not set),211
2023-12-24,Amazon Silk,199
2023-12-24,Internet Explorer,149
2023-12-24,Mozilla Compatible Agent,108
2023-12-24,YaBrowser,88
2023-12-24,Android Browser,81
2023-12-24,Lynx,72
2023-12-24,Mozilla,50
