date,mobile_device,visits
2023-09-02,(not set),20730
2023-09-02,1,1
2023-09-02,100011886,2
2023-09-02,100071483,1
2023-09-02,100071485,5
2023-09-02,1610,1
2023-09-02,1713,1
2023-09-02,1714,1
2023-09-02,1718,2
2023-09-02,1719,1
2023-09-02,1724,1
2023-09-02,1726,2
2023-09-02,1802,1
2023-09-02,1807,1
2023-09-02,1807-A01,1
2023-09-02,1808,3
2023-09-02,1811,4
2023-09-02,1819,1
2023-09-02,1820,4
2023-09-02,1901,6
2023-09-02,1904,3
2023-09-02,1906,9
2023-09-02,1907,4
2023-09-02,1915,1
2023-09-02,1921,1
2023-09-02,1933,3
2023-09-02,1938,1
2023-09-02,2 V,1
2023-09-02,2.1,1
2023-09-02,2.2,1
2023-09-02,2.3,2
2023-09-02,2019,1
2023-09-02,2107113SG,5
2023-09-02,21081111RG,6
2023-09-02,21091116UC,1
2023-09-02,21091116UG,1
2023-09-02,2109119BC,1
2023-09-02,2109119DG,3
2023-09-02,211033MI,1
2023-09-02,21121119SC,1
2023-09-02,21121119SG,1
2023-09-02,2112123AG,1
2023-09-02,22011119UY,6
2023-09-02,2201116PG,1
2023-09-02,2201116SG,1
2023-09-02,2201117PI,1
2023-09-02,2201117SY,1
2023-09-02,2201117TG,2
2023-09-02,2201117TI,1
2023-09-02,2201117TY,5
2023-09-02,2201122G,3
2023-09-02,220233L2I,1
2023-09-02,2203121C,1
2023-09-02,2203129G,1
2023-09-02,220333QAG,1
2023-09-02,220333QBI,2
2023-09-02,220333QNY,1
2023-09-02,22041211AC,5
2023-09-02,22041216UC,1
2023-09-02,2207117BPG,1
2023-09-02,22071219CG,2
2023-09-02,2207122MC,1
2023-09-02,220733SFG,2
2023-09-02,220733SG,3
2023-09-02,220733SI,1
2023-09-02,220733SL,1
2023-09-02,22081212C,1
2023-09-02,22081212UG,1
2023-09-02,2209116AG,1
2023-09-02,22095RA98C,1
2023-09-02,22101316C,1
2023-09-02,22101316G,1
2023-09-02,22101316UG,2
2023-09-02,22101320C,1
2023-09-02,22101320G,1
2023-09-02,2210132C,1
2023-09-02,22111317IPG,1
2023-09-02,2211133C,3
2023-09-02,22126RN91Y,2
2023-09-02,22127RK46C,46
2023-09-02,23013RK75C,2
2023-09-02,23021RAA2Y,1
2023-09-02,23026RN54G,1
2023-09-02,2303CRA44A,1
2023-09-02,23049RAD8C,3
2023-09-02,3.1 Plus,3
2023-09-02,4.2,1
2023-09-02,4056W,1
2023-09-02,4063F,1
2023-09-02,4188C,2
2023-09-02,4188L,1
2023-09-02,4188R,4
2023-09-02,4U,1
2023-09-02,5.4,2
2023-09-02,5002L,1
2023-09-02,5002R,7
2023-09-02,5004S,1
2023-09-02,5007S,4
2023-09-02,5007W,5
2023-09-02,5007Z,2
2023-09-02,5024D EEA,1
2023-09-02,5028A,1
2023-09-02,5032W,2
2023-09-02,5033XR,2
2023-09-02,5087Z,1
2023-09-02,5700,1
2023-09-02,6.1,1
2023-09-02,6002A,1
2023-09-02,6159K,2
2023-09-02,8 V 5G UW,1
2023-09-02,8079,1
2023-09-02,8100,1
2023-09-02,9024W,1
2023-09-02,9029W,1
2023-09-02,9032W,2
2023-09-02,9032Z,1
2023-09-02,9048S,1
2023-09-02,9137W,8
2023-09-02,9198S,2
2023-09-02,9900,1
2023-09-02,A002SO,1
2023-09-02,A063,1
2023-09-02,A100,1
2023-09-02,A16,1
2023-09-02,A16 Plus,2
2023-09-02,A1601,4
2023-09-02,A2010-a,1
2023-09-02,A2016a40 B,1
2023-09-02,A2322,1
2023-09-02,A3-A20,2
2023-09-02,A31u,1
2023-09-02,A33f,1
2023-09-02,A37f,11
2023-09-02,A37fw,2
2023-09-02,A37m,2
2023-09-02,A4,1
2023-09-02,A5000,3
2023-09-02,A5010,3
2023-09-02,A502DL,2
2023-09-02,A507DL,1
2023-09-02,A509DL,11
2023-09-02,A51,1
2023-09-02,A512W,2
2023-09-02,A52,1
2023-09-02,A551L,1
2023-09-02,A57,1
