date,os,visits
2024-01-04,iOS,85125
2024-01-04,Windows,81920
2024-01-04,Android,66432
2024-01-04,Macintosh,36705
2024-01-04,Chrome OS,18279
2024-01-04,Linux,6926
2024-01-04,(not set),459
2024-01-04,Firefox OS,8
2024-01-04,OS/2,7
2024-01-04,Playstation 4,6
2024-01-04,Tizen,6
2024-01-04,Fuchsia,5
2024-01-04,Windows Phone,4
2024-01-04,BlackBerry,3
2024-01-04,Sony,1
2024-01-04,UNIX,1
2024-01-03,iOS,89615
2024-01-03,Windows,75158
2024-01-03,Android,56081
2024-01-03,Macintosh,34084
2024-01-03,Chrome OS,13056
2024-01-03,Linux,6504
2024-01-03,(not set),429
2024-01-03,Fuchsia,7
2024-01-03,Tizen,6
2024-01-03,BlackBerry,4
2024-01-03,Firefox OS,4
2024-01-03,OS/2,4
2024-01-03,Playstation 4,4
2024-01-03,UNIX,2
2024-01-03,Windows Phone,2
2024-01-03,SymbianOS,1
2024-01-02,Windows,63256
2024-01-02,iOS,63048
2024-01-02,Android,29929
2024-01-02,Macintosh,27796
2024-01-02,Chrome OS,6986
2024-01-02,Linux,5813
2024-01-02,(not set),1081
2024-01-02,Firefox OS,9
2024-01-02,BlackBerry,7
2024-01-02,Playstation 4,4
2024-01-02,Tizen,4
2024-01-02,Fuchsia,3
2024-01-02,OS/2,3
2024-01-02,Samsung,1
2024-01-01,iOS,58193
2024-01-01,Windows,40467
2024-01-01,Android,24050
2024-01-01,Macintosh,17188
2024-01-01,Linux,4869
2024-01-01,Chrome OS,1636
2024-01-01,(not set),379
2024-01-01,Firefox OS,8
2024-01-01,Fuchsia,6
2024-01-01,Playstation 4,5
2024-01-01,OS/2,3
2024-01-01,Tizen,3
2024-01-01,Windows Phone,2
2024-01-01,FreeBSD,1
2024-01-01,MOT,1
2024-01-01,SunOS,1
2024-01-01,UNIX,1
2023-12-31,iOS,57806
2023-12-31,Android,22692
2023-12-31,Windows,16920
2023-12-31,Macintosh,14340
2023-12-31,Linux,4892
2023-12-31,Chrome OS,1127
2023-12-31,(not set),431
2023-12-31,Firefox OS,11
2023-12-31,Fuchsia,6
2023-12-31,Playstation 4,6
2023-12-31,Tizen,5
2023-12-31,FreeBSD,3
2023-12-31,OS/2,3
2023-12-31,BeOS,1
2023-12-31,BlackBerry,1
2023-12-31,NetBSD,1
2023-12-31,Sony,1
2023-12-30,iOS,63969
2023-12-30,Android,30092
2023-12-30,Windows,21569
2023-12-30,Macintosh,16755
2023-12-30,Linux,5286
