date,screen_resolution,visits
2024-01-04,1920x1080,28676
2024-01-04,390x844,25815
2024-01-04,1366x768,18234
2024-01-04,1440x900,12938
2024-01-04,414x896,9966
2024-01-04,1536x864,9744
2024-01-04,412x915,9619
2024-01-04,428x926,9522
2024-01-04,1600x3000,9139
2024-01-04,1280x720,9094
2024-01-04,393x852,8944
2024-01-04,430x932,8880
2024-01-04,375x812,8220
2024-01-04,1280x960,7828
2024-01-04,360x800,6057
2024-01-04,375x667,5339
2024-01-04,360x780,4993
2024-01-04,810x1080,4008
2024-01-04,412x892,3769
2024-01-04,2560x1440,3641
2024-01-04,800x600,3481
2024-01-04,1280x1024,2869
2024-01-04,1280x800,2590
2024-01-04,384x854,2432
2024-01-04,385x854,2328
2024-01-04,1470x956,2039
2024-01-04,1517x852,1952
2024-01-04,320x693,1926
2024-01-04,384x824,1887
2024-01-04,1024x768,1885
2024-01-04,1680x1050,1853
2024-01-04,384x832,1829
2024-01-04,384x857,1784
2024-01-04,1600x900,1665
2024-01-04,768x1024,1646
2024-01-04,412x883,1636
2024-01-04,412x869,1623
2024-01-04,1920x1200,1591
2024-01-04,1512x982,1489
2024-01-04,820x1180,1407
2024-01-04,360x760,1224
2024-01-04,432x960,1175
2024-01-04,414x736,1172
2024-01-04,3440x1440,1167
2024-01-04,1300x730,1156
2024-01-04,320x712,1117
2024-01-04,393x873,1074
2024-01-04,320x568,1057
2024-01-04,1024x1366,1043
2024-01-04,360x740,1006
2024-01-04,360x640,969
2024-01-04,412x846,968
2024-01-04,834x1194,909
2024-01-04,1728x1117,886
2024-01-04,393x851,882
2024-01-04,1536x960,867
2024-01-04,360x772,769
2024-01-04,2048x1152,768
2024-01-04,360x720,679
2024-01-04,320x694,650
2024-01-04,1792x1120,599
2024-01-04,432x984,578
2024-01-04,360x880,522
2024-01-04,834x1112,460
2024-01-04,385x824,459
2024-01-04,448x998,457
2024-01-04,2560x1080,448
2024-01-04,376x835,448
2024-01-04,2240x1260,442
2024-01-04,339x753,439
2024-01-04,1710x1107,438
2024-01-04,320x640,434
2024-01-04,1241x697,419
2024-01-04,1504x1003,359
2024-01-04,345x883,354
2024-01-04,1368x912,347
2024-01-04,412x938,328
2024-01-04,360x820,326
2024-01-04,360x804,312
2024-01-04,377x837,288
2024-01-04,339x735,278
2024-01-04,360x803,272
2024-01-04,412x877,272
2024-01-04,347x772,271
2024-01-04,800x1280,268
2024-01-04,388x861,248
2024-01-04,1440x960,246
2024-01-04,412x823,236
2024-01-04,1187x667,227
2024-01-04,510x290,226
2024-01-04,1024x1024,225
2024-01-04,1707x960,224
2024-01-04,320x658,223
2024-01-04,1707x1067,220
2024-01-04,360x806,218
2024-01-04,320x676,207
2024-01-04,1360x768,188
2024-01-04,320x687,188
2024-01-04,412x732,181
2024-01-04,346x768,176
2024-01-04,1536x1024,174
2024-01-04,744x1133,167
2024-01-04,486x1079,163
2024-01-04,601x962,162
2024-01-04,1366x912,161
2024-01-04,352x781,159
2024-01-04,5120x1440,159
2024-01-04,1080x1920,155
2024-01-04,3840x1600,144
2024-01-04,393x786,143
2024-01-04,691x829,142
2024-01-04,412x1006,137
2024-01-04,320x569,136
2024-01-04,534x854,123
2024-01-04,412x960,119
2024-01-04,412x918,118
2024-01-04,320x872,116
2024-01-04,339x727,115
2024-01-04,1664x1110,114
2024-01-04,393x808,114
2024-01-04,1098x618,112
2024-01-04,388x883,112
2024-01-04,352x800,111
2024-01-04,2000x2000,110
2024-01-04,3840x2160,110
2024-01-04,320x714,107
2024-01-04,2752x1152,105
2024-01-04,424x942,102
2024-01-04,1500x1000,97
2024-01-04,2195x1235,95
2024-01-04,1366x625,94
2024-01-04,412x919,93
2024-01-04,1494x934,92
2024-01-04,376x814,92
2024-01-04,396x880,92
2024-01-04,800x1334,91
2024-01-04,601x1007,90
2024-01-04,1024x640,88
2024-01-04,320x729,87
2024-01-04,1344x840,86
2024-01-04,1024x2160,83
2024-01-04,1138x639,82
2024-01-04,485x1049,81
2024-01-04,361x722,80
2024-01-04,3840x1080,80
2024-01-04,486x1052,79
2024-01-04,1093x615,76
2024-01-04,377x816,75
2024-01-04,339x716,74
2024-01-04,1280x832,72
2024-01-04,1280x854,72
2024-01-04,384x811,72
2024-01-04,1152x720,71
2024-01-04,339x756,71
2024-01-04,393x830,71
2024-01-04,1536x865,70
2024-01-04,2294x960,68
2024-01-04,1396x785,67
2024-01-04,360x825,67
2024-01-04,1517x853,65
2024-01-04,485x1076,64
2024-01-04,1205x753,61
2024-01-04,320x783,61
2024-01-04,915x412,61
2024-01-04,1334x800,60
2024-01-04,1710x1112,60
2024-01-04,385x769,60
2024-01-04,393x876,59
2024-01-04,674x842,59
2024-01-04,1600x1200,58
2024-01-04,1616x909,57
2024-01-04,3008x1692,57
2024-01-04,3072x1728,57
2024-01-04,962x601,56
2024-01-04,1352x878,54
2024-01-04,1800x1169,54
2024-01-04,339x697,54
2024-01-04,1496x967,53
2024-01-04,385x833,53
2024-01-04,432x864,53
2024-01-04,1024x660,52
2024-01-04,2560x1441,52
2024-01-04,1463x915,51
2024-01-04,353x765,51
2024-01-04,414x920,51
2024-01-04,360x771,50
2024-01-04,412x797,50
2024-01-04,320x570,49
2024-01-04,2056x1329,47
