page_title,event_label,page,total_events
"Inflation Reduction Act Guidebook | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/12/Inflation-Reduction-Act-Guidebook.pdf,whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,179
"American Rescue Plan | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/03/American-Rescue-Plan-Fact-Sheet.pdf,whitehouse.gov/american-rescue-plan/,166
"Inflation Reduction Act Guidebook | Clean Energy | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/09/2023-9-21-IRA-Guidebook-Funding-Programs.csv,whitehouse.gov/cleanenergy/inflation-reduction-act-guidebook/,83
"Blueprint for an AI Bill of Rights | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/10/Blueprint-for-an-AI-Bill-of-Rights.pdf,whitehouse.gov/ostp/ai-bill-of-rights/,70
"President's Budget | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/budget_fy2024.pdf,whitehouse.gov/omb/budget/,57
"Investing In America | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Invest.gov_PublicInvestments_Map_Data_Updated11152023-1.xlsx,whitehouse.gov/invest/,42
"Get Internet | The White House",https://acpbenefit.org/wp-content/uploads/ACP-Application-Form-English.pdf,whitehouse.gov/getinternet/,36
"Guidebook to the Bipartisan Infrastructure Law | Build.gov | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/05/BUILDING-A-BETTER-AMERICA-V2.pdf,whitehouse.gov/build/guidebook/,30
"Historical Tables | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/03/hist01z1_fy2024.xlsx,whitehouse.gov/omb/budget/historical-tables/,29
"Report to Congress on Financing Mechanisms For Open Access Publishing of Federally Funded Research | OSTP | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/Open-Access-Publishing-of-Scientific-Research.pdf,whitehouse.gov/ostp/news-updates/2023/11/22/report-to-congress-on-financing-mechanisms-for-open-access-publishing-of-federally-funded-research/,20
"Get Internet | The White House",https://acpbenefit.org/wp-content/uploads/lifeline/images/ACP-Household-Worksheet-English.pdf,whitehouse.gov/getinternet/,19
"OMB Releases Implementation Guidance Following President Biden’s Executive Order on Artificial Intelligence | OMB | The White House",https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,whitehouse.gov/omb/briefing-room/2023/11/01/omb-releases-implementation-guidance-following-president-bidens-executive-order-on-artificial-intelligence/,19
"FACT SHEET: The Biden-Harris Administration’s National Security Strategy | The White House",https://www.whitehouse.gov/wp-content/uploads/2022/11/8-November-Combined-PDF-for-Upload.pdf,whitehouse.gov/briefing-room/statements-releases/2022/10/12/fact-sheet-the-biden-harris-administrations-national-security-strategy/,15
"Joe Biden: The President | The White House",https://www.whitehouse.gov/wp-content/uploads/2021/04/P20210303AS-1901.jpg,whitehouse.gov/administration/president-biden/,15
