domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.whitehouse.gov,www.whitehouse.gov/contact/,"Contact Us | The White House",1940545,540793,415561,3.5883323193902288,249.71553558193798,0.62111565793196288
www.whitehouse.gov,www.whitehouse.gov/,The White House,963832,785165,571760,1.2275534441805225,82.870988333938726,0.56246521431800955
www.whitehouse.gov,www.whitehouse.gov/briefing-room/,"Briefing Room | The White House",422157,228855,152662,1.8446483581306941,134.25949017064517,0.26897817395293966
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2023/12/08/fact-sheet-president-biden-announces-billions-to-deliver-world-class-high-speed-rail-and-launch-new-passenger-rail-corridors-across-the-country/,"FACT SHEET: President Biden Announces Billions to Deliver World-Class High-Speed Rail and Launch New Passenger Rail Corridors Across the Country | The White House",281584,260657,244615,1.0802855860383569,75.832390277038414,0.49856708241098457
www.whitehouse.gov,www.whitehouse.gov/about-the-white-house/presidents/,"Presidents | The White House",278043,241868,194011,1.1495650520118412,143.8729013929499,0.41432103461392167
www.whitehouse.gov,www.whitehouse.gov/briefing-room/presidential-actions/2023/12/22/a-proclamation-on-granting-pardon-for-the-offense-of-simple-possession-of-marijuana-attempted-simple-possession-of-marijuana-or-use-of-marijuana/,"A Proclamation on Granting Pardon for the Offense of Simple Possession of Marijuana, Attempted Simple Possession of Marijuana, or Use of Marijuana | The White House",157176,148531,136137,1.0582033380237121,56.891857152816584,0.66947640559883126
www.whitehouse.gov,www.whitehouse.gov/live/,"Live | The White House",156386,131447,51084,1.1897266578925347,193.52083055059455,0.56120717855865865
www.whitehouse.gov,www.whitehouse.gov/getinternet/,"Get Internet | The White House",116457,108947,83576,1.06893260025517,97.32037363447364,0.63987076284799027
www.whitehouse.gov,www.whitehouse.gov/briefing-room/presidential-actions/,"Presidential Actions Archives | The White House",116083,58652,49412,1.9791822955738936,90.812860895059,0.36012412193957583
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2024/01/03/a-joint-statement-from-the-governments-of-the-united-states-australia-bahrain-belgium-canada-denmark-germany-italy-japan-netherlands-new-zealand-and-the-united-kingdom/,"A Joint Statement from the Governments of the United States, Australia, Bahrain, Belgium, Canada, Denmark, Germany, Italy, Japan, Netherlands, New Zealand, Singapore, and the United Kingdom | The White House",112666,106040,100875,1.0624858543945681,57.048417997680126,0.57576386269332325
www.whitehouse.gov,www.whitehouse.gov/visit/,"Visit The White House | The White House",108145,105382,80861,1.0262188988631835,155.168753233389,0.42680913248941943
www.whitehouse.gov,www.whitehouse.gov/therecord/,"The Biden-Harris Record | The White House",99588,88203,73954,1.129077242270671,108.79913008914664,0.42583585592326789
www.whitehouse.gov,www.whitehouse.gov/administration/cabinet/,"The Cabinet | The White House",93813,89458,68709,1.0486820630910596,219.5283757649847,0.34618480180643429
www.whitehouse.gov,www.whitehouse.gov/holidays-2023/,"2023 Holidays at the White House | The White House",93660,85719,74925,1.0926399048052358,129.67879902322707,0.4210501755736768
www.whitehouse.gov,www.whitehouse.gov/about-the-white-house/our-government/the-executive-branch/,"The Executive Branch | The White House",86121,83978,64200,1.025518588201672,192.40773628886137,0.46925385219938553
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2023/12/06/statement-from-president-joe-biden-on-another-nearly-5-billion-in-debt-relief-for-over-80000-student-loan-borrowers/,"Statement from President Joe Biden on Another Nearly $5 Billion in Debt Relief for Over 80,000 Student Loan Borrowers | The White House",77445,76008,68239,1.0189059046416167,72.422639470897792,0.54190348384380593
www.whitehouse.gov,www.whitehouse.gov/american-rescue-plan/,"American Rescue Plan | The White House",77341,69917,60256,1.1061830456112247,111.28799429938357,0.3804797116581089
www.whitehouse.gov,www.whitehouse.gov/administration/president-biden/,"Joe Biden: The President | The White House",77021,69066,59571,1.1151796832015752,100.69309442340659,0.34381606000057918
www.whitehouse.gov,www.whitehouse.gov/child-tax-credit/,"The Child Tax Credit | The White House",71934,67448,61077,1.0665104969754478,72.485048154385609,0.44671450598979956
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2023/12/29/statement-from-president-joe-biden-on-russias-aerial-assault-on-ukraine/,"Statement from President Joe Biden on Russia’s Aerial Assault on Ukraine | The White House",70919,69775,63440,1.0163955571479757,62.278126253787171,0.56507345037620926
