domain,page,page_title,pageviews
www.whitehouse.gov,www.whitehouse.gov/contact/,"Contact Us | The White House",198624
www.whitehouse.gov,www.whitehouse.gov/,The White House,186698
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2024/01/03/a-joint-statement-from-the-governments-of-the-united-states-australia-bahrain-belgium-canada-denmark-germany-italy-japan-netherlands-new-zealand-and-the-united-kingdom/,"A Joint Statement from the Governments of the United States, Australia, Bahrain, Belgium, Canada, Denmark, Germany, Italy, Japan, Netherlands, New Zealand, Singapore, and the United Kingdom | The White House",112666
www.whitehouse.gov,www.whitehouse.gov/briefing-room/,"Briefing Room | The White House",93494
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2023/12/29/statement-from-president-joe-biden-on-russias-aerial-assault-on-ukraine/,"Statement from President Joe Biden on Russia’s Aerial Assault on Ukraine | The White House",70919
www.whitehouse.gov,www.whitehouse.gov/about-the-white-house/presidents/,"Presidents | The White House",59325
www.whitehouse.gov,www.whitehouse.gov/live/,"Live | The White House",31118
www.whitehouse.gov,www.whitehouse.gov/getinternet/,"Get Internet | The White House",30130
www.whitehouse.gov,www.whitehouse.gov/visit/,"Visit The White House | The White House",29100
www.whitehouse.gov,www.whitehouse.gov/briefing-room/presidential-actions/,"Presidential Actions Archives | The White House",24918
www.whitehouse.gov,www.whitehouse.gov/therecord/,"The Biden-Harris Record | The White House",22776
www.whitehouse.gov,www.whitehouse.gov/child-tax-credit/,"The Child Tax Credit | The White House",22772
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2023/12/31/statement-by-vice-president-kamala-harris-on-the-passing-of-congresswoman-eddie-bernice-johnson/,"Statement By Vice President Kamala Harris on The Passing of Congresswoman Eddie Bernice Johnson | The White House",22725
www.whitehouse.gov,www.whitehouse.gov/administration/cabinet/,"The Cabinet | The White House",16990
www.whitehouse.gov,www.whitehouse.gov/about-the-white-house/presidents/barack-obama/,"Barack Obama | The White House",15821
www.whitehouse.gov,www.whitehouse.gov/administration/president-biden/,"Joe Biden: The President | The White House",15111
www.whitehouse.gov,www.whitehouse.gov/briefing-room/statements-releases/2024/01/03/a-joint-statement-from-the-governments-of-the-united-states-australia-bahrain-belgium-canada-denmark-germany-italy-japan-netherlands-new-zealand-and-the-united-kingdom/,"A Joint Statement from the Governments of the United States, Australia, Bahrain, Belgium, Canada, Denmark, Germany, Italy, Japan, Netherlands, New Zealand, and the United Kingdom | The White House",14724
www.whitehouse.gov,www.whitehouse.gov/about-the-white-house/our-government/the-executive-branch/,"The Executive Branch | The White House",13740
www.whitehouse.gov,www.whitehouse.gov/get-involved/write-or-call/,"Write or Call the White House | The White House",13112
www.whitehouse.gov,www.whitehouse.gov/american-rescue-plan/,"American Rescue Plan | The White House",12096
