source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,3042023,5486898,2543190,1.8037003664995301,116.62416337760298,0.63779037831074914
google,Organic Search,2944892,4225112,2089735,1.434725619818995,195.69748435551421,0.43304542237881727
(not set),Unassigned,237136,348656,233079,1.4702786586600094,65.63410738261166,0.99991144322245462
bing,Organic Search,149849,240727,90162,1.6064638402658677,257.93555606473183,0.40048315304072768
getinternet.gov,Unassigned,75939,84081,57539,1.1072176352072058,87.8518165418823,0.70426263184924742
yahoo,Organic Search,31943,50748,21667,1.5887048805685127,264.423596150612,0.36981498293835896
duckduckgo,Organic Search,31554,46236,22085,1.465297585092223,189.69414091893262,0.41227736578563734
newsletter,Email,31598,33938,31561,1.0740553199569594,37.133018742641944,0.67725805430723462
govdelivery,Email,21255,27476,20121,1.2926840743354504,49.37776798136909,0.61350270524582451
substack,Email,19190,22149,17830,1.154194893173528,33.908178777644608,0.79546638874413755
invest.gov,Unassigned,9839,17127,5677,1.7407256835044211,214.21135175993496,0.55544262628315888
twitter,Organic Social,14874,17113,13525,1.1505311281430683,87.809877724149516,0.64232889606023935
baidu,Organic Search,4821,17007,2916,3.5276913503422525,305.36319521198925,0.39514623522090853
pslf.gov,Unassigned,8411,9278,7056,1.1030793009154678,82.923189823564371,0.59766971822613246
ecosia.org,Organic Search,3520,5661,2222,1.6082386363636363,231.87248283380683,0.36136363636363639
cleanenergy.gov,Unassigned,3954,5360,3203,1.3555892766818411,145.63932064693981,0.46914516944865958
kawo,Unassigned,3570,4838,2476,1.3551820728291317,129.59881992829131,0.70224089635854336
omb.gov,Unassigned,1799,4793,1054,2.6642579210672594,210.88983408727071,0.30239021678710393
link,Unassigned,3126,3563,2313,1.1397952655150352,144.1864712434421,0.62571976967370446
Sailthru,Email,3141,3501,3035,1.1146131805157593,25.003523051575929,0.69723018147086913
