date,device,visits
2024-01-04,desktop,936208
2024-01-04,mobile,291460
2024-01-04,tablet,9408
2024-01-04,smart tv,52
2024-01-03,desktop,828890
2024-01-03,mobile,317514
2024-01-03,tablet,9848
2024-01-03,smart tv,66
2024-01-02,desktop,889008
2024-01-02,mobile,290376
2024-01-02,tablet,9356
2024-01-02,smart tv,58
2024-01-01,desktop,267465
2024-01-01,mobile,192815
2024-01-01,tablet,6537
2024-01-01,smart tv,34
2023-12-31,desktop,164756
2023-12-31,mobile,156592
2023-12-31,tablet,5658
2023-12-31,smart tv,33
2023-12-30,desktop,191919
2023-12-30,mobile,182862
2023-12-30,tablet,6559
2023-12-30,smart tv,34
2023-12-29,desktop,462832
2023-12-29,mobile,228672
2023-12-29,tablet,7445
2023-12-29,smart tv,53
2023-12-28,desktop,678244
2023-12-28,mobile,248542
2023-12-28,tablet,8323
2023-12-28,smart tv,38
2023-12-27,desktop,607839
2023-12-27,mobile,243663
2023-12-27,tablet,8203
2023-12-27,smart tv,31
2023-12-26,desktop,573657
2023-12-26,mobile,234223
2023-12-26,tablet,7649
2023-12-26,smart tv,38
2023-12-25,desktop,191609
2023-12-25,mobile,143229
2023-12-25,tablet,4573
2023-12-25,smart tv,36
2023-12-24,desktop,144578
2023-12-24,mobile,132691
2023-12-24,tablet,4437
2023-12-24,smart tv,43
2023-12-23,desktop,326590
2023-12-23,mobile,151601
2023-12-23,tablet,5098
2023-12-23,smart tv,41
2023-12-22,desktop,577668
2023-12-22,mobile,196283
2023-12-22,tablet,6106
2023-12-22,smart tv,47
2023-12-21,desktop,750057
2023-12-21,mobile,231134
2023-12-21,tablet,7006
2023-12-21,smart tv,45
2023-12-20,desktop,810355
2023-12-20,mobile,257761
2023-12-20,tablet,8284
2023-12-20,smart tv,53
2023-12-19,desktop,867680
2023-12-19,mobile,267154
2023-12-19,tablet,8260
2023-12-19,smart tv,54
2023-12-18,desktop,747249
2023-12-18,mobile,250140
2023-12-18,tablet,8233
2023-12-18,smart tv,37
2023-12-17,desktop,204091
2023-12-17,mobile,182152
2023-12-17,tablet,6310
2023-12-17,smart tv,26
2023-12-16,desktop,183070
2023-12-16,mobile,178410
2023-12-16,tablet,5719
2023-12-16,smart tv,37
2023-12-15,desktop,625636
2023-12-15,mobile,240809
2023-12-15,tablet,7141
2023-12-15,smart tv,29
2023-12-14,desktop,796409
2023-12-14,mobile,251713
2023-12-14,tablet,7759
2023-12-14,smart tv,37
2023-12-13,desktop,864098
2023-12-13,mobile,251847
2023-12-13,tablet,8216
2023-12-13,smart tv,29
2023-12-12,desktop,743747
2023-12-12,mobile,242837
2023-12-12,tablet,8340
2023-12-12,smart tv,41
2023-12-11,desktop,737771
2023-12-11,mobile,260256
2023-12-11,tablet,8829
2023-12-11,smart tv,39
2023-12-10,desktop,235461
